	f_pHep_m_ConvR_1	f_pHep_m_ConvR_2	f_pHep_m_ConvR_3	f_pHep_f_ConvR_1	f_pHep_f_ConvR_2	f_pHep_f_ConvR_3	f_pHep_f_ConvR_1	f_pHep_f_GF_serum_2	f_pHep_f_GF_serum_3	f_pHep_f_GF_serum__GH_1	f_pHep_f_GF_serum_GH_2	f_pHep_f_GF_serum_GH_3	m_pHep_m_ConvR_1	m_pHep_m_ConvR_2	m_pHep_m_ConvR_3
ENSMUSG00000022878|Adipoq	6	10	0	2	5	6	3	8	12	6	5	5	16	12	6
ENSMUSG00000022881|Rfc4	267	219	277	296	312	363	279	246	300	304	290	319	192	228	195
ENSMUSG00000022883|Robo1	17	12	21	6	10	12	14	26	12	16	9	12	25	27	27
ENSMUSG00000022884|Eif4a2	13312	13195	15250	17419	20081	20697	14458	16091	14301	17033	17417	19214	13972	16246	14517
ENSMUSG00000022885|St6gal1	2608	2900	3261	4693	4761	3931	3360	3228	2837	5297	3984	5059	1988	2230	2294
ENSMUSG00000022886|Prl2a1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000022887|Masp1	341	431	443	558	590	437	401	381	339	480	349	427	579	593	624
ENSMUSG00000022889|Mrpl39	2120	2002	2221	2400	2905	2739	2195	2286	2055	2594	2406	2660	1902	2030	1961
ENSMUSG00000022890|Atp5j	3209	2585	2962	3452	3748	3226	2746	3062	2850	3898	3355	3854	2641	2787	3110
ENSMUSG00000022892|App	6903	6159	7856	7729	8861	6232	7143	8484	6119	9716	7210	8415	6701	7710	7685
ENSMUSG00000022893|Adamts1	806	698	837	997	1297	966	722	748	586	1276	852	1037	1902	2322	2151
ENSMUSG00000022894|Adamts5	2	0	4	1	1	2	3	5	4	1	2	1	0	9	1
ENSMUSG00000022895|Ets2	4312	3643	4227	4872	5960	4908	4071	4631	3765	5227	4760	5545	3680	4571	3906
ENSMUSG00000022897|Dyrk1a	2412	2168	2496	2615	3127	2796	2427	2598	2181	2925	2740	3059	1770	2140	2037
ENSMUSG00000022898|Dscr3	2586	2426	2825	2697	3157	3360	2872	2951	2607	3083	2946	3585	2237	2485	2461
ENSMUSG00000022899|Slc15a2	273	181	310	209	198	236	236	333	273	302	330	360	96	112	91
ENSMUSG00000022900|Ildr1	0	0	1	1	4	1	0	3	4	0	0	2	0	2	0
ENSMUSG00000022901|Cd86	5	0	3	4	2	4	3	1	3	2	7	15	11	1	7
ENSMUSG00000022902|Stfa2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022905|Kpna1	6618	6175	7394	7415	8667	8274	6856	7591	6491	7764	7718	8715	6389	7421	6715
ENSMUSG00000022906|Parp9	4656	5260	5610	7559	8231	6710	5521	5235	4445	7281	6042	7378	4044	4949	4373
ENSMUSG00000022911|Arl13b	642	550	736	703	823	825	745	792	674	817	883	947	639	733	683
ENSMUSG00000022912|Pros1	1775	2112	2264	2740	2890	2390	2150	2024	1797	3118	2228	2974	2870	3279	3149
ENSMUSG00000022913|Psmg1	786	772	815	978	1117	996	817	820	762	965	895	996	590	646	707
ENSMUSG00000022914|Brwd1	4925	5222	6645	6898	8060	6628	6376	6354	4775	8543	6518	7359	4587	5689	4552
ENSMUSG00000022915|1700093J21Rik	2	4	0	0	0	3	0	0	0	4	2	1	0	0	2
ENSMUSG00000022931|4930553J12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022935|Grik1	0	1	0	0	0	0	3	0	0	2	0	1	0	0	0
ENSMUSG00000022938|Fam3b	0	1	8	1	6	3	6	2	3	5	4	1	9	1	0
ENSMUSG00000022940|Pigp	178	181	248	221	260	251	223	226	221	287	255	299	225	235	259
ENSMUSG00000022941|Ripply3	4	8	5	8	0	10	5	9	6	0	1	7	1	5	6
ENSMUSG00000022945|Chaf1b	229	179	257	252	283	335	277	237	257	285	274	327	216	250	277
ENSMUSG00000022946|Dopey2	892	762	921	1193	1182	876	875	1011	621	1165	831	926	496	541	560
ENSMUSG00000022947|Cbr3	74	65	58	109	148	118	71	93	51	79	75	79	115	112	110
ENSMUSG00000022948|Setd4	225	237	235	312	329	361	254	271	210	322	294	334	202	225	208
ENSMUSG00000022949|Clic6	0	1	2	0	4	0	2	1	0	2	0	1	0	0	0
ENSMUSG00000022951|Rcan1	2500	2368	2604	3021	3613	3626	2423	2638	2289	3521	2931	3473	3307	3513	3141
ENSMUSG00000022952|Runx1	2154	1772	2126	1593	2011	1679	1615	2318	1703	2190	2058	2039	1219	1520	1396
ENSMUSG00000022956|Atp5o	5576	5326	5872	6126	6934	6633	5622	5816	5706	6708	6023	7294	5538	5854	6015
ENSMUSG00000022957|Itsn1	1091	1049	1236	1267	1395	1089	1070	1059	872	1583	1056	1348	917	951	968
ENSMUSG00000022960|Donson	401	403	387	439	500	477	393	496	405	530	493	576	422	353	332
ENSMUSG00000022961|Son	22720	19633	24626	26877	31801	27030	23886	26270	19716	29686	26739	29665	17119	20717	17522
ENSMUSG00000022962|Gart	5428	5564	6019	6285	7204	6350	5837	6109	5703	7346	6478	7540	3794	4276	4100
ENSMUSG00000022964|Tmem50b	137	152	153	176	163	197	170	151	151	183	168	192	144	146	162
ENSMUSG00000022965|Ifngr2	4304	3744	4180	4490	5071	4279	4261	4060	3828	5067	4571	5627	3724	4061	3915
ENSMUSG00000022967|Ifnar1	3722	3405	4143	4019	4801	4287	3729	4347	3584	4695	4348	5076	3252	4065	3871
ENSMUSG00000022969|Il10rb	839	989	982	1181	1271	1148	1011	1039	870	1350	1208	1366	919	1026	964
ENSMUSG00000022971|Ifnar2	1453	1557	1595	1758	2072	1931	1609	1706	1457	2070	1764	2245	1798	1858	1928
ENSMUSG00000022972|1110004E09Rik	1194	1169	1221	1476	1551	1506	1297	1416	1295	1439	1369	1649	1045	1137	1190
ENSMUSG00000022973|Synj1	1274	877	1132	1142	1309	1073	1142	1238	911	1592	1100	1291	771	872	747
ENSMUSG00000022974|Gcfc1	2146	2010	2534	2624	2963	2726	2334	2671	2075	2899	2745	2938	2045	2500	2139
ENSMUSG00000022978|Mis18a	198	211	239	197	272	291	210	240	240	232	234	251	168	188	222
ENSMUSG00000022982|Sod1	8226	7568	8104	8428	9154	8913	7453	7764	7418	9131	8459	9872	10474	11111	11248
ENSMUSG00000022983|Scaf4	1046	697	783	889	989	794	763	900	615	955	760	977	597	538	538
ENSMUSG00000022986|Krt75	10	12	8	10	5	7	8	5	3	6	4	6	2	8	5
ENSMUSG00000022987|Zfp641	54	47	56	78	107	75	73	68	55	128	74	73	65	77	42
ENSMUSG00000022991|Lalba	1	0	2	1	0	3	0	1	1	2	0	0	0	0	2
ENSMUSG00000022992|Kansl2	1374	1131	1363	1272	1538	1477	1249	1421	1305	1511	1395	1635	1164	1291	1236
ENSMUSG00000022993|4930415O20Rik	4	0	5	0	4	0	4	0	0	4	0	1	0	2	2
ENSMUSG00000022994|Adcy6	736	618	611	803	884	768	680	741	635	863	617	765	516	542	494
ENSMUSG00000022995|Enah	28	14	27	8	8	20	10	28	24	20	29	23	50	101	82
ENSMUSG00000022996|Wnt10b	0	4	3	5	1	6	0	0	0	4	0	3	3	3	5
ENSMUSG00000022997|Wnt1	1	1	6	1	0	0	1	2	0	1	0	5	0	3	0
ENSMUSG00000022999|Lmbr1l	991	801	932	592	678	714	832	953	903	822	814	868	616	686	701
ENSMUSG00000023000|Dhh	12	3	5	15	26	23	7	6	7	15	6	8	5	3	1
ENSMUSG00000023004|Tuba1b	7687	7927	8561	9037	10326	10449	8335	8324	8634	10024	8599	10462	7060	7644	7852
ENSMUSG00000023007|Prpf40b	525	518	490	630	707	651	581	525	400	629	585	638	452	465	476
ENSMUSG00000023008|Fmnl3	659	456	550	355	459	441	458	687	578	522	600	612	395	451	359
ENSMUSG00000023009|Nckap5l	40	23	29	19	17	34	26	36	30	32	30	23	21	12	15
ENSMUSG00000023010|Tmbim6	19198	20161	21294	25453	28994	24953	20626	20908	19068	27384	21365	26066	18508	20262	20086
ENSMUSG00000023011|Faim2	0	3	4	0	2	0	0	3	2	4	0	0	2	1	0
ENSMUSG00000023013|Aqp2	0	0	2	0	1	0	0	0	0	0	0	2	0	0	4
ENSMUSG00000023015|Racgap1	100	127	176	138	174	127	142	129	131	199	155	171	70	64	77
ENSMUSG00000023017|Accn2	0	0	0	1	2	1	0	1	0	0	0	1	0	1	0
ENSMUSG00000023018|Smarcd1	648	385	530	539	639	583	490	536	432	538	508	624	276	355	301
ENSMUSG00000023019|Gpd1	2591	2813	2771	3428	3626	3503	2649	2893	2669	3241	2975	3086	1353	1361	1205
ENSMUSG00000023020|2310016M24Rik	804	772	696	813	962	907	675	787	694	847	684	908	635	603	622
ENSMUSG00000023021|Lass5	371	427	404	463	580	489	370	460	356	550	439	540	309	351	349
ENSMUSG00000023022|Lima1	1810	1700	2074	2824	2848	2463	2088	2200	1753	2789	2037	2569	1333	1388	1200
ENSMUSG00000023025|Larp4	8979	7425	10326	9248	10619	10890	9328	10579	8650	11105	11294	12646	7805	9072	8070
ENSMUSG00000023026|Dip2b	1593	1477	1741	1451	1812	1455	1529	1774	1311	2073	1657	1844	1051	1203	1033
ENSMUSG00000023027|Atf1	1287	965	1160	1117	1289	1343	1071	1261	1138	1312	1352	1493	922	1036	986
ENSMUSG00000023030|Slc11a2	2926	2782	3138	3916	4635	3700	3449	3542	3044	4617	3619	4707	4391	4938	4409
ENSMUSG00000023031|Cela1	107	157	106	155	199	188	143	137	120	184	168	189	141	151	174
ENSMUSG00000023032|Slc4a8	15	18	18	7	3	17	21	26	27	15	25	23	37	33	26
ENSMUSG00000023033|Scn8a	111	112	134	206	218	153	170	179	171	199	154	207	123	144	128
ENSMUSG00000023034|Nr4a1	187	121	130	137	153	144	111	163	124	129	137	152	80	86	101
ENSMUSG00000023036|Pcdhga3	286	281	262	361	391	325	274	338	255	370	311	428	157	182	171
ENSMUSG00000023039|Krt7	13	10	6	10	8	8	5	9	5	8	26	12	10	17	38
ENSMUSG00000023041|Krt6b	9	12	8	10	5	6	8	5	4	6	6	5	2	14	4
ENSMUSG00000023043|Krt18	215632	232131	252665	241788	248666	234097	220963	237308	227252	286513	254850	298924	181895	203988	199519
ENSMUSG00000023044|Csad	145	114	158	277	287	240	124	157	137	207	172	253	633	602	671
ENSMUSG00000023045|Soat2	526	589	459	986	1251	1138	600	622	451	657	582	768	521	592	547
ENSMUSG00000023046|Igfbp6	1	13	3	6	7	5	1	14	5	8	3	11	4	9	13
ENSMUSG00000023047|Amhr2	1	8	4	10	9	2	3	9	3	14	3	12	2	4	9
ENSMUSG00000023048|Prr13	3370	2598	2975	2968	3518	3347	2966	3583	3050	3429	3399	3966	3199	3461	3420
ENSMUSG00000023050|Map3k12	19	18	18	26	44	26	27	30	20	33	27	20	20	25	18
ENSMUSG00000023051|Tarbp2	703	675	634	631	852	815	652	704	641	857	669	811	600	635	567
ENSMUSG00000023052|Npff	6	7	4	10	8	2	5	8	15	10	10	11	5	5	3
ENSMUSG00000023055|Calcoco1	1456	1030	1375	891	1087	1058	1151	1538	1154	1283	1212	1472	1168	1181	1274
ENSMUSG00000023057|Fabp2	90	125	91	224	197	151	121	55	82	186	113	146	275	306	316
ENSMUSG00000023064|Sncg	0	0	0	1	3	0	0	0	2	0	1	2	1	2	3
ENSMUSG00000023066|Rttn	264	212	286	357	381	330	272	291	247	347	266	329	170	202	180
ENSMUSG00000023067|Cdkn1a	9854	6125	7138	7613	9278	7918	6557	8512	6994	7996	7717	8515	5466	5744	5484
ENSMUSG00000023068|Nus1	4022	3176	3503	4366	4904	4200	3780	3867	3347	5086	4158	4981	3024	3514	3435
ENSMUSG00000023070|Rgn	522	648	668	878	844	775	618	513	495	871	597	761	952	1044	964
ENSMUSG00000023072|Ccdc123	298	252	341	388	389	345	327	339	274	358	354	371	204	194	199
ENSMUSG00000023073|Slc10a2	88	93	85	151	175	94	94	57	78	104	89	94	195	229	201
ENSMUSG00000023074|Mospd1	1697	1306	1920	1506	1815	2134	1810	2163	2034	1955	2228	2574	2089	2285	2209
ENSMUSG00000023075|Akirin1	3177	2813	3535	3386	3758	4014	3069	3601	3171	3848	3646	4262	2942	3379	3347
ENSMUSG00000023078|Cxcl13	4	8	2	6	8	6	13	4	1	17	2	5	13	25	25
ENSMUSG00000023079|Gtf2ird1	2439	2167	2559	2313	2673	2527	2396	2760	2315	2649	2333	2814	1931	2193	1932
ENSMUSG00000023083|H2-M10.2	1	2	4	2	1	1	0	0	0	0	2	1	0	1	1
ENSMUSG00000023084|Lrrc71	5	16	3	2	5	6	10	11	6	12	7	12	11	7	1
ENSMUSG00000023087|Ccrn4l	1633	1359	1512	1697	1851	1558	1578	1619	1311	2861	2217	2559	930	1211	1012
ENSMUSG00000023088|Abcc1	521	481	617	837	989	907	638	724	591	934	938	851	547	658	570
ENSMUSG00000023089|Ndufa5	1264	1359	1205	1469	1610	1497	1172	1173	1117	1580	1331	1637	1234	1245	1194
ENSMUSG00000023092|Fhl1	11	21	20	12	18	14	31	24	18	13	26	14	21	20	40
ENSMUSG00000023093|Gm7257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023094|Msrb2	247	264	238	365	426	327	240	259	211	382	271	357	164	177	192
ENSMUSG00000023104|Rfc2	1104	1263	1190	1344	1365	1459	1218	1238	1119	1343	1187	1527	959	1002	1114
ENSMUSG00000023106|Denr	6918	5270	7160	5501	6309	6336	5888	7611	6719	6937	7901	8152	3372	3703	4041
ENSMUSG00000023110|Prmt5	2142	1942	2257	2385	2986	2776	2150	2294	2078	2626	2595	2813	1258	1518	1405
ENSMUSG00000023118|Sympk	7156	5764	7221	5608	6598	6087	5899	7475	6484	6938	6443	7185	4697	5242	4996
ENSMUSG00000023120|Gm853	1	0	0	0	0	4	1	1	1	1	3	2	5	2	0
ENSMUSG00000023122|Sult1c2	15	17	29	44	42	51	18	32	25	43	15	36	21	25	13
ENSMUSG00000023132|Gzma	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSMUSG00000023140|Reg2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
ENSMUSG00000023143|Nagpa	1193	1290	1295	1339	1537	1221	1264	1226	1118	1582	1167	1412	725	786	776
ENSMUSG00000023147|Wrb	1112	1299	1336	1306	1527	1564	1228	1308	1257	1421	1312	1607	814	800	886
ENSMUSG00000023150|Ivns1abp	10376	8277	11735	6738	8235	8738	9063	11728	10163	9176	10340	11371	8729	10164	9738
ENSMUSG00000023151|Lrrc69	9	2	4	15	17	5	9	7	15	17	18	17	6	6	3
ENSMUSG00000023153|Tmem52	29	9	19	19	29	17	21	31	18	29	33	22	7	17	17
ENSMUSG00000023156|Rpp14	1460	1415	1611	1678	1996	1998	1467	1789	1498	1795	1816	1971	1456	1506	1467
ENSMUSG00000023159|Psg29	9	3	1	2	3	3	3	4	2	3	1	2	2	9	6
ENSMUSG00000023165|Ssxb2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSMUSG00000023169|Slc38a1	34	29	41	19	45	36	49	60	44	63	59	68	60	95	84
ENSMUSG00000023170|Gps2	865	804	860	685	875	772	813	858	764	848	823	951	749	813	796
ENSMUSG00000023175|Bsg	22056	20779	22477	23502	30920	25122	24011	23425	22667	26478	22972	28805	28320	31764	29936
ENSMUSG00000023176|Cpn2	107	110	143	467	332	381	165	145	124	314	168	190	180	200	176
ENSMUSG00000023185|Ceacam14	3	2	1	0	1	2	5	2	1	0	4	3	2	3	0
ENSMUSG00000023186|Vwa5a	4636	4107	4958	5664	6363	6287	5110	5528	4717	5847	5602	6986	6825	7456	6704
ENSMUSG00000023191|Leprel2	10	22	23	31	38	34	32	33	20	15	14	28	15	14	12
ENSMUSG00000023192|Grm2	3	2	3	0	1	0	2	0	0	5	0	1	3	2	0
ENSMUSG00000023206|Il15ra	245	322	312	487	556	445	345	324	274	665	400	503	257	324	237
ENSMUSG00000023210|Lcn9	0	0	1	0	0	1	0	0	0	1	0	2	0	0	0
ENSMUSG00000023216|Epb4.2	2	6	0	3	1	4	0	3	0	1	0	0	0	3	2
ENSMUSG00000023224|Serping1	3823	3522	3490	4398	4879	4128	3775	3630	3423	4719	3624	5139	8906	8934	8865
ENSMUSG00000023232|Serinc2	1549	1602	1575	1618	1733	1294	1385	1298	1168	1670	1349	1705	2285	2394	2363
ENSMUSG00000023235|Ccl25	151	125	155	166	212	150	154	142	130	191	132	194	120	123	152
ENSMUSG00000023236|Scg5	0	1	1	0	1	1	0	0	1	1	0	2	0	2	0
ENSMUSG00000023243|Kcnk5	263	252	248	386	454	370	246	256	248	294	255	339	284	304	300
ENSMUSG00000023247|Guca2a	1	4	9	3	3	2	3	2	6	4	4	5	6	3	7
ENSMUSG00000023249|Parp3	3996	4427	4612	5080	5633	4557	4339	4327	4006	5745	4510	5789	4056	4526	4411
ENSMUSG00000023257|Cypt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023259|Slc26a6	146	126	133	160	203	172	143	120	131	127	150	163	75	114	93
ENSMUSG00000023262|Acy1	1276	1278	1219	1386	1470	1348	1240	1193	1084	1470	1207	1559	831	897	938
ENSMUSG00000023263|9530002B09Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000023266|Frs3	83	102	101	86	143	140	86	102	95	97	78	124	55	89	91
ENSMUSG00000023267|Gabrr2	18	7	19	7	16	27	15	17	14	26	25	18	2	4	3
ENSMUSG00000023272|Creld2	894	799	948	1094	1111	1084	969	1001	884	1214	947	1184	864	1011	1017
ENSMUSG00000023274|Cd4	1	0	1	1	0	2	0	3	4	0	1	2	1	0	3
ENSMUSG00000023277|Twf2	749	757	719	948	1113	1111	754	723	723	970	772	960	601	618	536
ENSMUSG00000023279|Bmp15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023284|Zfp605	291	215	226	347	362	295	258	298	241	362	276	330	226	270	256
ENSMUSG00000023286|Ube2j2	2389	2288	2618	2454	2717	2998	2307	2738	2360	2716	2618	2961	1983	2144	2008
ENSMUSG00000023289|Sva	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000023307|March5	6216	6032	6505	7308	8334	7967	6492	6688	6208	7612	6885	8226	5663	6246	6192
ENSMUSG00000023328|Ache	0	0	4	1	1	6	6	5	1	3	0	4	1	6	2
ENSMUSG00000023330|Dtwd1	363	422	411	488	610	600	429	508	381	411	476	574	350	381	386
ENSMUSG00000023333|Gcm1	1	1	1	1	1	0	0	3	2	1	1	3	1	0	2
ENSMUSG00000023336|Wfdc1	1	1	1	0	2	6	1	0	3	0	0	3	0	3	2
ENSMUSG00000023341|Mx2	961	876	955	1367	1796	1624	1086	1021	1000	1175	1212	1247	664	828	663
ENSMUSG00000023345|Poc1a	106	96	98	100	115	122	89	86	89	110	92	111	48	70	41
ENSMUSG00000023348|Trip6	2313	2057	2217	2161	2389	2476	2216	2476	2263	2520	2278	2784	1932	2175	2177
ENSMUSG00000023349|Clec4n	0	4	2	2	4	3	0	0	1	2	0	2	7	5	3
ENSMUSG00000023350|4921501E09Rik	2	6	0	2	0	1	2	1	0	2	1	1	1	1	2
ENSMUSG00000023353|Agap3	2319	1844	2126	1535	1839	2019	1884	2332	1998	2054	2117	2205	1513	1568	1604
ENSMUSG00000023367|Tmem176a	2074	2126	2082	4738	4735	3540	2996	2661	2502	4545	2690	4156	3411	3481	3415
ENSMUSG00000023387|Kcnk16	0	1	0	2	0	1	1	0	5	1	3	0	0	3	0
ENSMUSG00000023391|Dlx2	2	1	0	0	2	0	1	0	0	2	1	0	0	0	0
ENSMUSG00000023393|Slc17a9	295	272	301	368	413	338	328	273	215	433	314	362	249	310	312
ENSMUSG00000023403|Stk31	5	2	2	0	0	0	2	0	0	1	1	3	1	0	3
ENSMUSG00000023411|Nfatc4	1	2	2	0	0	1	3	2	1	0	0	1	4	5	1
ENSMUSG00000023433|Cela3b	0	0	0	0	0	0	0	0	1	0	2	3	1	0	1
ENSMUSG00000023439|Gnb3	0	3	0	1	0	2	0	2	1	0	0	0	0	0	3
ENSMUSG00000023443|Esx1	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0
ENSMUSG00000023452|Pisd	2190	2372	2268	2323	2572	2818	2091	2275	2197	2526	2406	2831	1650	1878	1860
ENSMUSG00000023456|Tpi1	17019	16163	17571	21392	30255	23115	20989	19835	20769	23598	20721	25693	28302	30713	28679
ENSMUSG00000023460|Rab12	2871	2498	3162	2823	3335	3081	2860	2996	2827	3608	3386	3735	2016	2378	2408
ENSMUSG00000023467|Tulp2	58	75	48	69	45	68	53	144	38	50	72	67	72	67	72
ENSMUSG00000023473|Celsr3	8	7	10	3	14	12	6	6	7	14	4	11	0	7	6
ENSMUSG00000023484|Prph	6	18	15	20	23	26	15	11	12	25	11	24	6	10	28
ENSMUSG00000023495|Pcbp4	1243	1224	1182	1184	1320	1462	1121	1259	1150	1264	1123	1428	880	859	938
ENSMUSG00000023505|Cdca3	25	45	54	51	44	34	30	40	37	79	49	69	15	41	35
ENSMUSG00000023571|Fam132a	52	36	43	63	38	49	53	54	24	55	42	58	27	25	24
ENSMUSG00000023572|Ccndbp1	1380	1273	1404	1380	1627	1589	1434	1495	1412	1594	1563	1929	1360	1520	1449
ENSMUSG00000023577|Iqcf3	4	4	3	0	1	0	3	0	0	7	0	1	3	2	0
ENSMUSG00000023707|Ogfod2	611	622	640	709	775	814	658	686	624	688	669	813	571	570	578
ENSMUSG00000023723|Mrps23	1247	1268	1358	1504	1760	1675	1291	1407	1274	1584	1492	1672	1088	1235	1294
ENSMUSG00000023737|1700082M22Rik	7	9	3	3	13	4	14	11	0	12	8	3	1	4	2
ENSMUSG00000023755|Rhebl1	260	229	281	203	212	268	285	272	261	257	298	307	188	197	233
ENSMUSG00000023764|Sfi1	634	716	750	1026	1084	830	723	710	616	896	720	836	635	621	640
ENSMUSG00000023781|Hes7	9	8	7	1	1	6	6	4	2	8	7	4	5	10	3
ENSMUSG00000023791|Pigx	790	912	997	887	1076	1098	892	953	943	1070	1024	1176	808	897	856
ENSMUSG00000023795|Pisd-ps2	25	16	22	14	23	11	27	17	10	23	16	7	29	25	21
ENSMUSG00000023800|Tiam2	19	16	23	11	12	23	17	16	19	23	28	22	2	8	6
ENSMUSG00000023802|Nox3	0	5	1	1	0	0	1	1	1	0	0	3	0	0	0
ENSMUSG00000023805|Synj2	1561	1659	1933	1876	2124	1493	1537	1564	1390	2209	1616	1830	1091	1312	1237
ENSMUSG00000023806|Rsph3b	358	393	328	496	573	446	355	419	340	473	402	465	226	211	159
ENSMUSG00000023809|Rps6ka2	70	53	68	77	99	75	87	74	60	80	92	72	155	147	211
ENSMUSG00000023826|Park2	1	19	20	23	24	8	10	5	17	23	12	14	15	15	11
ENSMUSG00000023827|Agpat4	23	23	19	14	20	16	24	27	23	25	23	31	24	48	26
ENSMUSG00000023828|Slc22a3	1	2	5	5	7	2	5	3	3	4	0	2	0	0	0
ENSMUSG00000023829|Slc22a1	1094	1255	1172	1608	1678	1365	1178	1029	1089	1511	1196	1424	784	830	686
ENSMUSG00000023830|Igf2r	8341	7675	10104	8447	10238	7594	8730	9847	7270	10871	9111	10503	6504	7696	6953
ENSMUSG00000023832|Acat2	1360	1575	1782	1832	1905	1708	1467	1477	1321	2131	1498	1970	1313	1443	1430
ENSMUSG00000023845|Lnpep	5030	4776	6456	6718	8039	6648	6254	6535	5133	8707	7295	7542	4097	5348	4616
ENSMUSG00000023846|Riok2	3133	2754	3470	3247	3779	4095	3106	3688	3180	3511	3552	4256	2648	2980	2762
ENSMUSG00000023852|Chd1	8538	7508	9560	8511	10674	9689	8882	10207	7823	10490	10027	10698	6364	7715	6714
ENSMUSG00000023861|Mpc1	742	868	882	1185	1164	1195	902	825	677	1208	1017	1204	899	950	969
ENSMUSG00000023868|Pde10a	329	297	307	143	269	138	232	174	155	253	206	212	386	365	463
ENSMUSG00000023873|1700010I14Rik	191	172	165	205	245	221	205	217	125	220	197	220	160	168	189
ENSMUSG00000023882|Zfp54	486	375	474	736	881	829	515	613	503	640	648	771	487	587	534
ENSMUSG00000023883|Phf10	2519	2304	2729	2826	3438	3328	2661	2875	2544	3144	3021	3398	2464	2878	2558
ENSMUSG00000023885|Thbs2	11	13	10	4	4	7	11	8	9	7	4	7	3	9	5
ENSMUSG00000023886|Smoc2	3	6	5	0	0	0	3	2	6	0	3	5	4	5	6
ENSMUSG00000023892|Zfp51	1016	894	1184	1182	1453	1589	1078	1299	1134	1254	1365	1554	1127	1222	1260
ENSMUSG00000023902|Zscan10	4	4	6	2	9	11	4	15	3	9	4	7	1	4	9
ENSMUSG00000023903|Mmp25	13	11	6	4	7	19	20	38	19	13	11	19	15	11	14
ENSMUSG00000023904|Hcfc1r1	3446	3489	3563	4125	4444	4408	3235	3736	3404	4098	3702	4126	3272	3325	3268
ENSMUSG00000023905|Tnfrsf12a	11868	11654	11653	10806	13510	13359	10486	11928	11415	12084	11960	13386	10189	10733	11105
ENSMUSG00000023906|Cldn6	15	15	17	5	3	11	4	13	8	15	6	17	4	9	7
ENSMUSG00000023908|Pkmyt1	86	53	66	54	45	66	41	77	54	81	69	67	58	52	68
ENSMUSG00000023909|Paqr4	88	111	97	105	127	105	80	101	102	142	94	117	53	73	81
ENSMUSG00000023911|Flywch2	67	43	31	57	65	70	56	54	51	65	58	54	60	59	63
ENSMUSG00000023912|Slc25a27	115	97	134	124	194	182	165	172	116	182	134	145	80	95	104
ENSMUSG00000023913|Pla2g7	34	21	30	23	29	32	31	39	37	52	46	41	39	40	35
ENSMUSG00000023914|Mep1a	0	0	0	0	0	0	2	0	1	0	2	1	0	5	4
ENSMUSG00000023915|Tnfrsf21	75	35	71	52	60	46	65	87	66	59	58	70	27	49	34
ENSMUSG00000023918|Gpr115	24	8	15	10	8	7	8	11	21	25	21	13	7	11	2
ENSMUSG00000023919|Cenpq	74	72	80	95	94	90	100	95	57	89	82	118	44	44	57
ENSMUSG00000023921|Mut	1466	1563	1703	2238	2539	2003	1780	1788	1411	2145	1846	2304	1798	2051	1951
ENSMUSG00000023923|Tbc1d5	823	764	937	1052	1407	1132	942	1013	812	1280	956	1067	633	667	652
ENSMUSG00000023926|Rhag	2	0	2	0	0	0	0	1	2	0	0	1	1	1	0
ENSMUSG00000023927|Satb1	2	3	2	0	1	3	1	2	1	0	2	6	2	7	3
ENSMUSG00000023930|Crisp2	19	19	8	9	20	16	6	15	16	13	25	20	9	10	18
ENSMUSG00000023931|Efhb	30	8	23	27	22	22	26	19	27	24	27	32	13	27	17
ENSMUSG00000023932|Cdc5l	2304	2355	2786	2845	3358	3297	2659	2952	2523	3140	3043	3424	1877	2225	2238
ENSMUSG00000023935|Spats1	4	6	1	3	5	10	4	7	0	5	7	7	2	0	3
ENSMUSG00000023938|Aars2	1344	1387	1363	1555	1824	1537	1298	1426	1247	1678	1288	1671	871	982	1018
ENSMUSG00000023939|Mrpl14	640	674	700	754	874	805	690	641	636	906	640	812	759	693	696
ENSMUSG00000023940|Sgol1	62	45	84	86	66	63	59	69	67	77	74	78	63	82	39
ENSMUSG00000023942|Slc29a1	3122	3427	3578	3902	4365	3935	3807	3476	3401	4415	3748	4475	2418	2669	2666
ENSMUSG00000023943|Sult1c1	4	0	4	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000023944|Hsp90ab1	84834	71418	85926	82426	95344	77033	81010	97096	78338	101672	90310	100341	60249	67652	67169
ENSMUSG00000023945|Slc5a7	1	0	4	0	0	0	0	1	2	0	2	1	0	0	1
ENSMUSG00000023947|Nfkbie	188	177	198	341	373	287	262	259	211	445	297	435	140	182	142
