Gene_name	Exon_length	Sample_CTR1_WAT_ZT02	Sample_CTR1_WAT_ZT06	Sample_CTR1_WAT_ZT10	Sample_CTR1_WAT_ZT14	Sample_CTR1_WAT_ZT18	Sample_CTR1_WAT_ZT22	Sample_CTR2_WAT_ZT02	Sample_CTR2_WAT_ZT06	Sample_CTR2_WAT_ZT10	Sample_CTR2_WAT_ZT14	Sample_CTR2_WAT_ZT18	Sample_CTR2_WAT_ZT22	Sample_GFM1_WAT_ZT06	Sample_GFM1_WAT_ZT10	Sample_GFM1_WAT_ZT22	Sample_GFM2_WAT_ZT02	Sample_GFM2_WAT_ZT06	Sample_GFM2_WAT_ZT10	Sample_GFM2_WAT_ZT14	Sample_GFM2_WAT_ZT18	Sample_GFM2_WAT_ZT22
ENSMUSG00000036231|Agr3	972	79	0	0	1	0	0	63	15	1	24	61	16	0	0	150	1	88	0	1	0	8
ENSMUSG00000036241|Ube2r2	5243	3541	3515	3136	3265	2485	2868	3427	3438	4131	3078	3208	3781	3688	4209	3372	4250	4028	4011	3353	4485	4977
ENSMUSG00000036242|3632451O06Rik	4040	436	400	271	302	149	286	431	379	410	284	253	395	326	288	345	323	394	255	296	396	398
ENSMUSG00000036244|Tbc1d21	1097	1	2	1	15	0	32	3	0	0	0	2	0	26	0	20	5	0	0	0	0	0
ENSMUSG00000036246|Gmip	5552	517	515	684	489	396	403	656	498	708	504	478	623	519	516	396	688	573	490	338	493	583
ENSMUSG00000036249|Rbm43	2633	496	472	417	321	276	344	503	457	516	365	379	486	443	453	495	494	552	418	358	470	553
ENSMUSG00000036251|Trpm8	5580	1	1	1	3	1	5	0	2	0	2	1	0	1	5	1	2	0	2	1	1	2
ENSMUSG00000036256|Igfbp7	1213	11414	8918	7567	7725	4948	7861	10913	9047	9750	7532	7780	9950	8929	10956	11621	11020	14232	8930	7976	12642	11756
ENSMUSG00000036257|Pnpla8	3947	7280	8929	6321	6854	5161	6632	6832	8294	8468	5728	6015	7799	9113	10935	7383	9332	10053	8671	7563	10134	13131
ENSMUSG00000036264|Fstl4	5559	4	0	0	0	0	0	6	2	1	1	3	0	0	0	3	1	6	1	0	0	3
ENSMUSG00000036270|Edc4	5541	1339	1174	1108	1153	900	977	1355	1036	1427	1103	984	1431	1017	1245	1111	1377	1318	1330	949	1279	1421
ENSMUSG00000036273|Lrrk2	11834	2230	1918	1706	1688	1078	1465	2175	1893	2431	1624	1615	1995	2125	1723	2438	2289	2095	1625	1176	1795	3209
ENSMUSG00000036275|9530068E07Rik	3459	4707	3941	3958	4151	2807	3221	4398	3765	4781	3667	4107	4742	4084	4050	4333	5253	4658	4154	3275	4458	5174
ENSMUSG00000036278|Macrod1	7133	276	299	284	307	309	244	273	359	314	238	336	262	263	422	429	303	342	368	252	403	477
ENSMUSG00000036279|Zbtb20	3079	4664	5053	4243	3834	3648	3425	4257	3834	5163	4077	3291	4524	2775	3436	3524	2097	2974	4161	2649	2735	3347
ENSMUSG00000036281|Snapc4	7511	729	592	518	563	397	456	754	518	705	484	497	679	485	533	731	615	614	599	433	721	782
ENSMUSG00000036282|Naa30	6970	2000	1813	1647	1696	1268	1622	1943	1675	2214	1437	1440	1831	2133	2925	2079	1930	2588	2259	1895	2220	2478
ENSMUSG00000036285|Noa1	4029	523	444	406	432	368	383	478	442	497	407	398	466	479	557	473	577	522	518	445	715	806
ENSMUSG00000036291|Mudeng	3165	949	858	734	748	503	671	853	836	966	643	605	747	948	1154	931	852	1109	936	763	985	1232
ENSMUSG00000036292|Gramd1c	3753	95	81	69	76	32	64	126	82	110	71	66	84	119	127	184	102	137	84	95	119	161
ENSMUSG00000036295|Lrrn3	3180	19	18	20	16	9	22	15	16	41	21	18	20	23	25	21	32	12	11	12	40	34
ENSMUSG00000036298|Slc2a13	11079	2448	1987	920	883	886	1131	1938	2013	1405	1115	956	1162	1396	1438	1063	1269	1251	1320	1027	1300	1350
ENSMUSG00000036299|BC031181	1047	2417	2297	1685	1864	1286	1774	2030	2054	2182	1596	1878	2200	2632	2706	2146	2667	2293	1993	1887	2875	3506
ENSMUSG00000036304|Zdhhc23	1389	32	13	18	16	10	15	28	9	26	26	23	19	15	16	32	21	19	20	16	11	23
ENSMUSG00000036305|Rpl39-ps	355	225	228	173	158	95	167	176	181	138	144	146	179	272	280	202	232	201	163	174	283	370
ENSMUSG00000036306|Lzts1	1800	41	68	53	48	29	34	45	51	76	29	29	47	80	95	26	61	89	75	46	82	60
ENSMUSG00000036309|Skp1a	2705	6669	7013	4922	5705	4441	5395	6600	6840	6773	4892	5842	6530	7014	8322	7589	8324	7855	6144	5924	8858	11924
ENSMUSG00000036315|Znrd1	817	356	295	271	271	233	264	345	284	355	244	259	335	327	330	312	372	329	289	252	416	430
ENSMUSG00000036322|H2-Ea-ps	1036	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2
ENSMUSG00000036323|Srp72	5717	3864	3854	3248	3476	2273	3140	3445	3677	4415	3077	2998	3907	4151	4408	3408	3760	4153	3956	3439	4195	5185
ENSMUSG00000036327|Qsox2	4644	855	688	726	819	523	600	893	594	916	698	795	848	727	783	941	962	808	704	700	970	934
ENSMUSG00000036330|Slc18a1	6084	40	25	13	23	18	24	40	15	34	17	20	33	27	24	39	26	36	20	26	19	48
ENSMUSG00000036333|Kidins220	7402	6760	5740	6086	6018	4365	4449	6765	5225	7757	5274	5755	6638	5999	6508	5658	7572	7023	6277	4962	6087	7223
ENSMUSG00000036334|Igsf10	10084	874	921	858	646	534	616	1063	930	975	766	794	940	659	609	880	826	1027	874	453	631	840
ENSMUSG00000036339|6720456H20Rik	8165	1535	1349	1187	1234	1078	980	1386	1304	1534	1235	1216	1349	1266	1517	1389	1410	1602	1484	1247	1574	1623
ENSMUSG00000036352|Ubac1	2785	1229	1048	872	987	651	848	998	1134	1190	897	722	1000	1407	1767	1075	1384	1518	1380	1025	1546	2091
ENSMUSG00000036353|P2ry12	5058	208	226	166	147	110	110	217	210	219	166	201	159	251	235	248	354	272	195	139	297	295
ENSMUSG00000036356|Csgalnact1	6474	431	379	369	328	284	359	403	299	491	359	309	432	446	501	391	516	489	544	365	514	517
ENSMUSG00000036357|Gpr101	5410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036362|P2ry13	2524	99	132	105	74	31	61	129	115	109	75	103	78	137	102	121	175	131	119	70	147	157
ENSMUSG00000036368|Fam82a1	3148	318	305	297	292	191	290	305	314	354	237	289	314	390	511	385	432	386	357	331	494	594
ENSMUSG00000036371|Serbp1	6685	7943	7274	5792	6127	4685	5735	7942	7628	7699	5581	6048	6700	7897	8270	7639	8314	8766	6582	6178	9589	11707
ENSMUSG00000036372|1810006K21Rik	1611	904	769	630	643	397	519	801	650	746	656	583	725	846	865	787	824	793	622	497	868	1115
ENSMUSG00000036376|Abt1	1278	391	344	261	276	167	255	384	327	376	256	292	339	390	410	406	420	395	322	298	519	563
ENSMUSG00000036377|C530008M17Rik	10822	23	36	24	43	5	99	30	11	13	8	7	13	91	19	68	47	12	7	5	8	33
ENSMUSG00000036381|P2ry14	1797	73	86	88	69	47	43	68	78	81	40	53	67	106	108	97	137	135	110	122	108	141
ENSMUSG00000036390|Gadd45a	1764	218	282	316	165	138	161	375	227	403	261	248	298	366	314	459	470	464	332	141	648	523
ENSMUSG00000036391|Sec24a	10827	2807	2514	2627	2415	2210	1768	2385	2418	2751	2146	2029	2395	2130	2567	1785	1819	2039	3399	1737	1971	2636
ENSMUSG00000036395|Glb1l2	5031	14756	19133	15048	16366	13961	11623	14100	16995	17365	12815	14417	16656	17264	19555	16032	24003	17566	20192	17062	20978	20354
ENSMUSG00000036398|Ppp1r11	1975	722	645	546	573	388	553	705	623	650	481	558	623	845	756	705	863	686	523	536	800	977
ENSMUSG00000036401|Glt6d1	1403	0	1	0	1	0	8	1	0	0	0	0	0	6	0	1	1	0	0	0	0	0
ENSMUSG00000036402|Gng12	5081	4333	3446	2777	2753	2245	2910	3916	3398	3414	2835	3274	3584	3346	4129	4896	3409	4849	3775	3074	3902	4958
ENSMUSG00000036403|Cep135	7188	500	513	458	382	348	394	501	426	596	388	362	511	481	491	483	481	540	520	365	460	576
ENSMUSG00000036411|9530077C05Rik	2155	100	30	33	46	23	43	99	73	45	47	51	59	51	30	163	43	128	27	23	42	48
ENSMUSG00000036412|Arsi	2975	248	201	206	190	123	169	313	207	154	155	278	210	156	135	162	350	182	116	70	171	171
ENSMUSG00000036422|Pcdh8	4003	3	0	4	2	1	0	2	5	1	0	6	5	0	1	1	0	3	1	1	1	1
ENSMUSG00000036427|Gpi1	9040	7155	7379	6033	6268	4459	5178	6566	7293	6906	5577	5515	6466	7137	8816	7026	7698	8109	7456	5955	8240	12426
ENSMUSG00000036430|Tbcc	1843	396	352	290	340	196	317	421	339	429	320	290	436	397	415	397	439	415	324	319	448	502
ENSMUSG00000036432|Siah2	2999	259	193	217	275	153	176	303	164	297	247	201	243	294	305	277	233	302	286	236	263	279
ENSMUSG00000036435|Exoc1	9158	1628	1515	1272	1188	845	1194	1630	1290	1804	1241	1138	1586	1631	1569	1487	1692	1691	1490	1164	1677	2063
ENSMUSG00000036437|Npy1r	3007	186	79	58	113	142	79	110	72	132	131	101	110	72	77	80	54	73	103	144	120	110
ENSMUSG00000036438|Calm2	1467	6256	5089	5007	4776	3136	3786	6147	4772	6245	4715	4973	5266	5923	6639	6311	6695	6586	5110	4515	7103	7826
ENSMUSG00000036442|Thap11	1848	821	664	721	784	473	689	940	669	966	673	644	872	909	1017	846	994	923	915	734	1005	1029
ENSMUSG00000036446|Lum	2075	3231	3196	2546	2307	1093	2012	3823	3174	3146	2222	2629	2937	2300	2152	3821	3060	3615	2167	2429	3750	3510
ENSMUSG00000036449|Lcn8	651	3	0	1	0	0	0	0	1	1	2	0	2	0	0	1768	0	0	0	2	0	0
ENSMUSG00000036450|Hif1an	6606	1638	1442	1346	1431	1228	1225	1645	1410	1711	1305	1330	1480	1611	1799	1516	1600	1838	1716	1281	1620	2081
ENSMUSG00000036452|Arhgap26	28735	2576	1538	1716	1609	1447	1282	2060	1505	2216	1539	1566	1757	1594	1661	1935	1697	1767	2084	1297	1628	1924
ENSMUSG00000036459|Wtip	2233	547	457	466	522	310	391	599	452	576	501	477	506	510	521	449	564	598	589	376	470	542
ENSMUSG00000036461|Elf1	4314	1959	1795	1776	1729	1113	1539	1948	1687	2351	1613	1632	2137	2062	1800	2016	2307	2119	1894	1450	2240	2663
ENSMUSG00000036463|4930544G11Rik	1442	0	2	0	24	0	23	4	0	0	0	0	0	20	0	14	15	0	0	1	0	0
ENSMUSG00000036466|Megf11	11181	49	3	4	6	0	3	54	22	6	20	20	22	3	4	73	0	43	4	1	1	12
ENSMUSG00000036469|March1	11747	496	565	539	518	293	422	559	552	795	510	496	622	556	544	457	637	508	600	471	474	671
ENSMUSG00000036473|Tbc1d24	9679	684	547	722	698	395	411	848	592	879	592	485	555	1051	1470	729	940	1454	1255	613	963	1381
ENSMUSG00000036478|Btg1	5010	6958	6382	4123	5560	6039	7352	6166	5625	5651	5213	6022	7875	4757	4783	6184	7636	4921	5211	5892	8605	8080
ENSMUSG00000036480|Prss56	1999	51	1	0	4	0	4	84	22	4	25	31	28	2	0	215	0	115	1	2	0	8
ENSMUSG00000036492|Rnf39	1795	16	14	19	27	12	14	22	18	27	19	13	23	28	17	16	32	21	16	16	13	18
ENSMUSG00000036499|Eea1	7836	4449	4030	3566	3606	2538	3469	4154	3773	5240	3249	3400	4180	4240	4885	3503	4551	4681	4728	3514	4620	5364
ENSMUSG00000036500|Akp3	1680	44	41	47	42	30	21	11	18	12	27	41	34	26	40	25	10	23	13	19	61	40
ENSMUSG00000036501|Fam13b	3367	1399	1035	1000	1054	874	865	1430	1005	1438	974	1159	1201	1163	980	1194	1229	1224	1101	933	1278	1257
ENSMUSG00000036502|Fam70a	4570	259	317	116	132	77	116	176	287	149	113	96	191	182	210	152	200	184	156	150	183	289
ENSMUSG00000036503|Rnf13	2676	4198	4417	3561	3960	2843	3263	3881	4040	5102	3425	3924	4258	4553	4890	4182	4943	4605	4460	3784	5365	5612
ENSMUSG00000036504|Phpt1	1074	613	647	436	498	373	463	564	563	544	536	415	538	599	854	706	674	731	650	587	811	1026
ENSMUSG00000036510|Cdh8	12363	1	2	2	1	1	3	4	0	1	2	3	1	1	2	1	0	0	0	2	0	19
ENSMUSG00000036513|Commd2	4757	662	503	410	477	303	411	642	427	592	448	499	530	544	589	566	663	603	494	424	676	752
ENSMUSG00000036521|Scgb2b2	520	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036523|Greb1	9670	1575	13	5	35	6	41	1030	170	85	192	819	171	10	17	1988	0	494	35	20	7	46
ENSMUSG00000036526|Card11	4112	87	76	185	49	31	64	101	104	151	75	42	117	93	87	44	124	56	96	39	85	75
ENSMUSG00000036528|Ppfibp2	5920	352	343	426	261	221	224	469	306	460	255	346	381	443	427	393	788	480	379	251	368	645
ENSMUSG00000036529|Sbf1	6826	2726	2187	2413	2372	1990	1858	2591	2040	2783	2311	2165	2664	2257	2392	2083	2891	2654	2620	1890	2722	3091
ENSMUSG00000036533|Cdc42ep3	2085	501	599	629	579	400	482	570	542	870	553	511	705	846	732	574	748	829	656	590	631	901
ENSMUSG00000036534|Slc38a7	4144	634	596	650	668	415	489	595	618	759	614	525	642	715	888	491	766	785	963	609	753	652
ENSMUSG00000036537|Rnf113a1	1218	42	47	37	30	29	26	37	36	56	32	22	45	36	44	59	33	50	38	34	50	38
ENSMUSG00000036545|Adamts2	11810	4446	3886	4217	3967	2428	3393	4950	3876	5173	3781	4209	5363	3374	2785	2852	4844	3043	3084	1976	3028	3395
ENSMUSG00000036550|Cnot1	9162	8609	7917	6976	7062	5455	6445	7867	7375	8707	6602	6281	8125	7465	8637	6816	7211	8173	9029	5889	7395	8942
ENSMUSG00000036551|Akap14	1792	12	0	0	1	1	3	11	4	1	1	5	7	3	1	27	0	18	1	0	0	5
ENSMUSG00000036552|2210404J11Rik	2639	268	316	213	209	162	200	236	265	280	188	209	283	264	284	232	261	266	275	218	275	314
ENSMUSG00000036553|Sh3tc1	6365	3780	2670	2857	2839	1859	2436	3514	2436	3228	2671	2300	2770	3001	3251	2514	4354	3070	3368	2157	3889	4226
ENSMUSG00000036555|Iqce	12037	691	633	637	625	373	523	708	539	752	519	530	665	563	702	776	714	813	733	460	563	646
ENSMUSG00000036557|1700011E24Rik	847	0	5	2	19	0	24	6	0	0	3	2	4	29	2	26	13	1	2	0	0	0
ENSMUSG00000036560|Lgi4	5289	413	450	380	358	238	331	487	381	447	344	433	425	422	354	322	541	367	322	283	516	441
ENSMUSG00000036561|Ppp6r2	2887	1314	1370	1329	1361	1040	1088	1271	1262	1724	1203	1189	1547	1311	1666	1315	1742	1667	1701	1330	1669	1812
ENSMUSG00000036564|Ndrg4	4887	218	221	248	181	140	183	253	189	304	196	252	250	177	160	177	347	222	169	137	214	221
ENSMUSG00000036565|Ttyh3	4650	650	501	671	534	465	421	666	509	717	594	489	529	395	466	323	367	443	686	280	386	414
ENSMUSG00000036568|BC032203	7479	1170	1184	1101	976	918	943	1145	1077	1425	978	939	1174	942	1031	973	1011	1080	1394	717	991	1311
ENSMUSG00000036570|Fxyd1	709	2171	2390	1803	1777	1253	1600	1786	1985	1898	1496	1617	2265	2047	2476	1947	2590	2064	1974	1889	2647	3566
ENSMUSG00000036572|Upf3b	3999	661	545	404	423	354	451	589	548	591	429	414	559	499	702	782	519	828	562	438	699	795
ENSMUSG00000036574|1700019O17Rik	1721	0	2	0	20	0	31	5	0	0	0	2	0	23	0	7	9	0	0	0	1	0
ENSMUSG00000036578|Fxyd7	684	8	10	8	12	2	8	18	9	12	8	11	19	15	21	6	6	10	18	9	8	18
ENSMUSG00000036580|Spg20	5362	1439	1406	1231	1393	872	1210	1397	1263	1831	1110	1413	2035	1486	1373	1244	1723	1523	1467	1163	1415	1675
ENSMUSG00000036585|Fgf1	4933	5350	6493	5897	5273	2974	3115	4375	5992	5706	3907	4730	5597	4308	4066	3801	7099	3568	3111	2420	3545	5177
ENSMUSG00000036586|Grifin	613	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000036587|Fut7	2355	10	13	17	8	12	15	13	9	13	14	17	13	10	9	8	11	16	11	4	14	12
ENSMUSG00000036591|Arhgap21	9989	4576	3965	4303	4421	3233	3028	4157	3476	5634	4180	3845	4472	3387	4042	3008	3880	3927	5367	3179	3810	3675
ENSMUSG00000036594|H2-Aa	1874	7145	7643	8553	7872	3851	5738	11867	7951	10247	6615	6783	8089	9279	8418	6666	16217	9027	9394	5940	7628	10847
ENSMUSG00000036596|Cpz	2248	268	132	135	104	54	108	223	195	161	152	117	221	172	213	230	203	305	200	213	194	269
ENSMUSG00000036598|Ccdc113	1271	130	2	0	15	1	19	127	22	21	34	72	53	18	1	303	14	192	1	3	0	8
ENSMUSG00000036599|Chst12	2362	993	728	952	870	589	749	875	756	1306	908	713	1328	1013	993	678	1394	1027	1154	773	1289	1219
ENSMUSG00000036602|Alx1	2811	80	77	77	62	27	63	64	63	151	58	72	91	113	106	52	74	87	97	85	110	91
ENSMUSG00000036606|Plxnb2	7119	3930	2913	3395	2878	1836	2224	4698	2952	3709	2898	3149	3443	2404	2350	3607	3548	3111	2655	1566	2342	2800
ENSMUSG00000036611|Eepd1	3172	10704	14219	13675	11609	6933	8238	11322	10906	19209	11798	8641	12512	15189	13541	6366	12793	13824	14974	6904	8131	5763
ENSMUSG00000036613|Tssc1	1692	486	424	312	325	282	355	468	417	362	322	345	413	547	581	544	569	435	388	365	704	1027
ENSMUSG00000036615|Rfxap	2161	370	313	342	350	276	308	387	334	453	339	309	390	445	479	433	481	580	477	429	522	583
ENSMUSG00000036617|Etl4	21820	1696	1609	1460	1148	1554	1341	1455	1471	1515	1061	1213	1622	1229	1709	1756	1840	2281	2477	1115	1386	2518
ENSMUSG00000036620|Mgat4b	2719	1921	1678	1518	1981	1495	1445	1687	1657	1962	1818	1477	1820	1527	1881	1349	1812	1878	2333	1801	2261	2780
ENSMUSG00000036622|Atp13a2	6000	1435	1537	1706	1501	1010	1223	1445	1424	1891	1496	1338	1853	1476	1743	1313	1915	1671	1599	1228	1738	2091
ENSMUSG00000036632|Alg5	3537	960	952	664	700	472	709	867	956	901	657	662	775	1054	1186	796	978	1022	951	787	1131	1310
ENSMUSG00000036634|Mag	2419	25	16	33	20	15	17	30	23	19	8	16	23	21	12	19	32	19	16	8	10	15
ENSMUSG00000036636|Clcn7	5292	1982	1839	1768	1874	1268	1456	1763	1669	2167	1732	1585	2003	1788	2095	1817	2353	1988	2129	1736	2027	2397
ENSMUSG00000036639|Nudt1	1390	168	157	122	106	90	98	133	150	149	109	104	161	146	167	161	178	177	124	91	184	237
ENSMUSG00000036641|Ccdc148	10627	94	19	16	21	8	25	109	41	28	40	66	29	25	12	199	21	143	23	20	20	20
ENSMUSG00000036644|Tbc1d9b	6898	5030	4669	4481	4633	3438	3585	4372	4263	5503	3905	4229	5294	4198	4513	3790	5392	4652	4866	3814	4701	5321
ENSMUSG00000036646|Man1b1	5486	2455	2254	2348	2332	1714	1807	2333	1972	2721	1955	2242	2681	2373	2570	2247	3268	2565	2355	1891	2786	2951
ENSMUSG00000036647|Olfr6	951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036648|Gm3448	787	0	2	0	5	3	1	3	3	0	0	0	0	1	1	4	2	1	1	0	2	0
ENSMUSG00000036655|Colec11	1383	92	100	77	64	56	72	85	95	131	67	43	106	91	86	47	51	86	82	50	61	72
ENSMUSG00000036658|Olfr11	942	0	2	2	2	2	1	1	2	1	1	0	0	1	4	2	5	3	3	1	0	0
ENSMUSG00000036661|Dennd3	5703	273	263	274	318	224	236	309	246	337	256	236	331	290	337	360	441	482	502	319	385	535
ENSMUSG00000036667|Fam115a	9622	8910	7411	7145	7746	4515	6174	7599	6859	10097	6957	5441	7973	8722	8667	5945	8606	8165	7933	5911	8856	7764
ENSMUSG00000036672|Cenpt	1767	180	112	136	130	130	112	158	113	153	134	130	160	126	128	146	184	156	110	84	199	159
ENSMUSG00000036676|Tmtc3	8939	1652	1294	1303	1333	1193	1171	1528	1267	1736	1226	1516	1565	1348	1498	1271	1420	1517	1740	1195	1536	1548
ENSMUSG00000036678|Aaas	1816	304	224	264	236	152	227	252	198	298	262	189	291	231	307	210	305	267	261	193	306	278
ENSMUSG00000036686|Cc2d1a	3710	613	510	547	447	422	432	583	541	595	480	504	608	527	552	528	679	572	568	398	582	813
ENSMUSG00000036687|Tmem184a	5277	125	40	39	39	26	17	108	37	29	50	94	36	24	26	233	66	148	15	17	21	48
ENSMUSG00000036693|Nop14	3375	895	712	684	674	479	669	855	804	877	615	604	782	787	885	774	956	886	888	687	968	1111
ENSMUSG00000036698|Eif2c2	10957	3914	2904	3468	3462	3404	2291	3565	2860	3751	3135	3271	2921	2348	2378	2115	2587	2259	4102	1990	2464	2565
ENSMUSG00000036699|Zcchc12	2280	10	0	0	2	1	0	15	1	1	3	9	3	1	1	26	0	18	3	0	0	6
ENSMUSG00000036707|Cab39	4146	5553	4808	4400	4980	3401	4233	4914	4548	6099	4431	4594	5440	5817	6717	5091	6594	6262	5563	4933	6679	7511
ENSMUSG00000036712|Cyld	8035	3101	2757	2392	2355	1897	2255	3123	2445	3634	2342	2375	2805	2704	2799	2591	2746	2851	2675	2110	2811	3045
ENSMUSG00000036718|Micall2	4147	103	47	55	44	48	49	76	51	60	52	59	58	48	52	141	90	117	88	58	74	138
ENSMUSG00000036721|Zscan12	2228	350	444	316	276	217	351	326	376	484	253	279	445	371	528	358	371	514	428	340	453	493
ENSMUSG00000036731|2310002J15Rik	1062	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000036733|Rbm42	2193	1323	1201	1055	1083	767	930	1122	1145	1257	1002	866	1270	1089	1358	914	1454	1189	1160	857	1351	1595
ENSMUSG00000036737|Oxsr1	5479	3030	2771	2781	3013	2193	2305	2800	2675	3507	2570	2587	3392	3131	3588	2492	3344	3327	3294	2628	3464	3536
ENSMUSG00000036743|Psma8	1693	12	10	10	13	4	18	11	12	15	9	7	7	14	15	11	13	11	4	8	5	9
ENSMUSG00000036744|Olfr701	3068	0	0	0	1	0	3	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
ENSMUSG00000036745|Ttll7	8105	301	234	232	344	373	247	217	177	314	289	258	322	281	331	347	270	317	330	515	329	557
ENSMUSG00000036748|Cuedc2	4632	1012	946	816	830	509	718	995	860	1016	833	864	949	1083	1098	1108	1168	1138	1037	822	1188	1473
ENSMUSG00000036749|Pramel5	2299	1	0	3	0	1	0	0	0	0	1	1	2	0	0	2	1	0	0	0	3	1
ENSMUSG00000036751|Cox6b1	505	5895	6787	4472	4830	3391	4549	4997	6031	5613	4395	4526	5510	7720	9846	6390	7018	6941	7047	5951	9383	12254
ENSMUSG00000036752|Tubb4b	2088	6536	3096	3230	4129	3255	3173	5439	3162	4041	4359	4880	4127	4005	4727	5957	5943	4913	3750	4014	8063	9194
ENSMUSG00000036760|Kcnk9	1209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036764|Dnajc12	2740	110	82	72	106	42	75	107	78	97	96	68	83	89	128	122	114	122	106	94	139	120
ENSMUSG00000036766|Dner	3630	66	6	7	6	2	4	67	15	9	25	23	28	5	4	52	7	40	1	5	4	38
ENSMUSG00000036768|Kif15	4815	49	45	80	44	55	62	94	65	57	83	59	84	47	52	48	42	39	54	49	48	48
ENSMUSG00000036769|Wdr44	8353	831	745	707	692	529	676	790	673	1015	660	708	783	756	678	688	789	726	736	564	782	732
ENSMUSG00000036770|4933433C11Rik	1945	1	3	0	7	0	10	5	1	0	0	4	0	10	0	14	9	2	0	0	0	0
ENSMUSG00000036775|Decr2	2288	899	852	770	818	566	646	882	805	1002	740	773	870	898	997	828	1035	939	809	790	1023	1223
ENSMUSG00000036777|Anln	5421	699	942	963	839	536	701	648	616	993	731	674	1267	642	749	521	683	679	696	635	614	621
ENSMUSG00000036779|Papd5	4937	1647	1419	1172	1459	1048	1141	1579	1290	1685	1213	1248	1358	1625	1814	1604	1492	1826	1653	1328	1628	1608
ENSMUSG00000036781|Rps27l	816	1576	1713	1093	1211	785	1246	1553	1488	1557	1081	1181	1427	1846	1873	1591	1788	1529	1439	1364	2113	2495
ENSMUSG00000036782|Klhl13	4703	1414	1594	1140	821	608	1105	1355	1234	1353	686	814	1326	1291	888	1057	2058	1185	886	575	1038	1104
ENSMUSG00000036790|Slitrk2	8080	4	6	3	7	1	11	6	10	4	6	4	3	12	9	7	13	7	12	4	10	6
ENSMUSG00000036792|Mbd5	16064	1969	2042	1841	1699	1436	1503	1775	1768	2284	1595	1591	1902	1886	2064	1550	1730	2110	2140	1410	1704	2183
ENSMUSG00000036800|Fam135b	4623	0	0	0	5	0	6	5	0	3	0	1	1	16	3	11	6	1	0	0	0	0
ENSMUSG00000036805|Noxa1	1617	2	0	2	2	0	3	4	0	0	0	1	2	4	0	6	0	4	1	1	0	0
ENSMUSG00000036810|Tmem188	3563	1194	1075	980	1032	732	907	1144	1065	1222	854	943	987	1180	1239	1092	1285	1148	1178	863	1286	1249
ENSMUSG00000036813|Entpd8	2715	82	24	15	8	9	6	85	20	5	19	48	13	8	6	149	5	86	0	8	1	12
ENSMUSG00000036814|Slc6a20a	3502	234	26	13	18	13	8	155	29	22	52	127	39	18	25	358	4	179	9	7	5	19
ENSMUSG00000036815|Dpp10	5450	3	2	3	1	0	1	6	2	3	4	0	2	2	0	5	2	0	2	0	0	5
ENSMUSG00000036816|Atoh7	450	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000036817|Sun1	7596	3185	2629	2887	2961	2104	2267	3106	2378	3741	2672	2613	3325	2968	3389	2867	3769	3374	3420	2597	3592	3604
ENSMUSG00000036819|Jmjd4	7115	493	446	420	539	296	369	490	411	593	368	418	528	490	535	436	459	550	542	474	479	530
ENSMUSG00000036820|Amdhd2	2728	573	633	515	505	252	453	559	508	627	445	375	562	666	824	516	640	719	630	537	691	779
ENSMUSG00000036822|Topors	3961	1768	1765	1510	1683	1034	1369	1903	1603	2318	1400	1408	1926	1990	2256	1675	1671	2271	1986	1735	2007	1887
ENSMUSG00000036825|Ssx2ip	4195	593	366	357	454	215	408	624	342	533	381	500	471	523	515	804	509	635	452	376	535	581
ENSMUSG00000036826|Tmem149	2089	132	120	122	93	107	70	128	100	143	104	113	157	106	154	133	133	144	101	108	140	177
ENSMUSG00000036832|Lpar3	2494	51	24	10	32	7	20	31	22	27	44	33	27	17	12	27	10	13	33	18	13	19
ENSMUSG00000036833|Pnpla7	9177	1098	1294	1509	1502	952	881	1151	1082	1817	1136	993	1536	1262	1444	948	1468	1284	1676	1184	1229	1412
ENSMUSG00000036834|Plch1	9518	171	16	13	14	5	15	172	49	64	64	131	65	17	14	422	6	266	7	10	15	85
ENSMUSG00000036835|Psenen	648	480	449	404	425	273	369	424	460	506	441	417	477	456	595	433	623	501	511	444	539	697
ENSMUSG00000036840|Siah1a	2225	812	861	740	798	583	747	809	772	1047	778	719	982	1046	1080	936	993	1179	982	805	1022	1175
ENSMUSG00000036845|Lin37	1388	235	223	194	153	139	167	218	206	218	159	160	202	216	280	196	247	266	211	167	232	291
ENSMUSG00000036850|Mrpl41	776	878	838	548	701	409	605	751	725	831	605	631	745	923	1097	736	869	841	790	700	1059	1085
