	Cry_KO_Exon_ZT_02_1	Cry_KO_Exon_ZT_06_1	Cry_KO_Exon_ZT_10_1	Cry_KO_Exon_ZT_14_1	Cry_KO_Exon_ZT_18_1	Cry_KO_Exon_ZT_22_1	Cry_KO_Exon_ZT_02_2	Cry_KO_Exon_ZT_06_2	Cry_KO_Exon_ZT_10_2	Cry_KO_Exon_ZT_14_2	Cry_KO_Exon_ZT_18_2	Cry_KO_Exon_ZT_22_2
ENSMUSG00000004552|Ctse	18	11	10	5	7	78	4	5	12	10	5	4
ENSMUSG00000004558|Ndrg2	52923	50333	40457	42323	40710	44902	48406	50339	46952	49508	40870	39612
ENSMUSG00000004561|Mettl17	549	543	419	605	484	463	454	450	409	623	519	454
ENSMUSG00000004562|Arhgef40	570	610	716	734	633	622	625	824	732	716	574	535
ENSMUSG00000004565|Pnpla6	1117	992	1517	1521	1066	1038	808	829	1211	1649	1196	1127
ENSMUSG00000004567|Mcoln1	1220	1333	1147	1296	1065	995	1165	1192	1484	1530	1086	1013
ENSMUSG00000004568|Arhgef18	1723	1711	1483	1501	1769	1389	1371	1397	1636	1782	1345	1428
ENSMUSG00000004591|Pkn2	3302	3382	3652	1905	2516	2804	2739	2451	3633	3142	2516	2721
ENSMUSG00000004609|Cd33	33	22	24	24	35	31	22	26	24	26	11	25
ENSMUSG00000004610|Etfb	8029	7312	6309	6847	7114	6606	6201	6369	6695	7431	6852	6969
ENSMUSG00000004612|Nkg7	22	12	10	9	7	22	13	8	22	9	10	21
ENSMUSG00000004626|Stxbp2	1131	955	951	802	862	896	787	956	1003	943	769	839
ENSMUSG00000004631|Sgce	197	190	119	246	193	236	142	196	331	180	150	134
ENSMUSG00000004633|Chn2	1841	1639	1307	1398	1506	1435	1565	1687	1640	1821	1574	1494
ENSMUSG00000004637|Wwox	346	350	218	260	269	232	264	277	326	266	237	214
ENSMUSG00000004642|Slbp	468	509	536	396	435	504	355	397	574	521	373	461
ENSMUSG00000004651|Tyr	1	4	1	0	1	0	0	1	1	0	1	0
ENSMUSG00000004655|Aqp1	5954	5048	5772	5486	5426	5333	5731	4389	5753	5981	4915	5030
ENSMUSG00000004661|Arid3b	118	122	161	119	126	72	126	107	130	149	113	95
ENSMUSG00000004665|Cnn2	290	251	185	302	312	263	200	215	258	303	230	213
ENSMUSG00000004667|Polr2e	600	585	557	652	537	544	576	599	728	694	551	639
ENSMUSG00000004668|Abca13	1	1	0	0	0	2	1	0	2	4	0	0
ENSMUSG00000004677|Myo9b	1659	1654	1583	1471	1679	1566	1482	1626	1661	1642	1578	1462
ENSMUSG00000004698|Hdac9	97	65	55	55	58	46	60	73	88	55	41	74
ENSMUSG00000004707|Ly9	117	77	100	83	91	79	88	58	99	77	73	131
ENSMUSG00000004709|Cd244	13	15	18	11	13	10	11	5	7	8	8	15
ENSMUSG00000004730|Emr1	1582	889	1136	964	1163	968	1015	953	1000	868	909	1281
ENSMUSG00000004748|Mtfp1	810	876	767	873	766	834	563	654	845	1024	773	920
ENSMUSG00000004768|Rab23	436	332	145	206	212	242	195	226	196	229	254	259
ENSMUSG00000004771|Rab11a	1885	1859	1887	1681	1378	1456	1432	1443	2183	2261	1415	1473
ENSMUSG00000004788|Eif2b2	530	429	538	525	479	465	359	395	413	508	485	500
ENSMUSG00000004789|Dlst	7855	7383	5188	5794	5772	6426	5078	4892	5616	6761	5973	5490
ENSMUSG00000004791|Pgf	2	1	1	0	5	1	3	0	0	1	1	1
ENSMUSG00000004798|Ulk2	4203	3616	4061	2808	3212	3552	3505	3112	3290	3852	3528	3756
ENSMUSG00000004814|Ccl24	146	100	42	61	76	49	64	47	69	69	57	67
ENSMUSG00000004815|Dgkq	1385	1388	1688	1557	1422	1170	1250	1248	1645	1472	1303	1314
ENSMUSG00000004837|Grap	181	145	141	118	159	164	119	139	194	160	136	188
ENSMUSG00000004843|Chmp2b	1100	989	891	797	880	933	838	820	1062	1054	776	828
ENSMUSG00000004846|Plod3	1000	889	1093	1110	1185	964	922	882	1143	1291	1002	1035
ENSMUSG00000004849|Ap1s1	667	548	399	521	546	478	481	427	439	540	510	576
ENSMUSG00000004864|Mapk13	9	3	3	4	4	41	3	7	9	7	2	9
ENSMUSG00000004865|Srpk1	1421	1246	1759	1266	1324	1242	1001	1014	1513	1566	1276	1411
ENSMUSG00000004880|Lbr	737	792	736	624	679	636	553	495	916	731	663	776
ENSMUSG00000004891|Nes	267	261	169	292	359	221	116	139	236	469	270	190
ENSMUSG00000004895|Prcc	747	713	798	718	763	591	694	669	744	817	719	717
ENSMUSG00000004896|Rrnad1	396	421	527	452	403	343	290	371	535	593	328	395
ENSMUSG00000004897|Hdgf	7052	6783	6605	5514	5805	5744	5690	5608	7993	7382	5302	5961
ENSMUSG00000004929|Thop1	483	490	373	478	536	547	400	404	350	434	573	558
ENSMUSG00000004931|Apba3	1515	1403	1413	2279	1854	1393	1175	1081	1506	2063	1904	1429
ENSMUSG00000004933|Matk	22	14	3	14	12	9	11	15	23	7	11	17
ENSMUSG00000004934|Pias4	664	547	674	495	606	511	603	579	585	649	617	624
ENSMUSG00000004936|Map2k1	2236	2244	2277	1872	2098	1897	1851	1812	2033	2278	1967	2086
ENSMUSG00000004937|Sgta	1770	1598	1464	1565	1589	1471	1482	1422	1663	1669	1518	1608
ENSMUSG00000004945|Tmem242	1214	1120	784	878	922	1065	896	893	989	925	850	1011
ENSMUSG00000004947|Dtx2	252	209	277	229	246	204	222	193	267	247	196	217
ENSMUSG00000004951|Hspb1	450	477	812	1536	2285	926	722	538	710	1635	2108	1220
ENSMUSG00000004952|Rasa4	89	71	75	77	101	66	85	120	106	68	64	62
ENSMUSG00000004961|Syt5	1	0	0	1	0	1	1	2	2	1	1	0
ENSMUSG00000004980|Hnrnpa2b1	7595	7082	7672	5604	4947	5773	5390	4701	7185	7802	5804	5998
ENSMUSG00000004994|Ccdc130	138	120	149	208	159	150	138	131	165	219	134	152
ENSMUSG00000004996|Mri1	609	622	672	641	588	529	591	678	843	904	542	613
ENSMUSG00000005034|Prkacb	2955	3012	2576	2220	2195	2455	2577	2654	3084	2929	2076	2290
ENSMUSG00000005043|Sgsh	437	303	277	435	339	395	326	323	370	389	364	358
ENSMUSG00000005045|Chd5	0	1	1	2	2	7	6	6	3	6	2	4
ENSMUSG00000005054|Cstb	819	775	623	712	682	597	614	586	766	720	609	590
ENSMUSG00000005057|Sh2b2	111	106	101	145	130	101	117	108	225	196	119	144
ENSMUSG00000005069|Pex5	6352	5975	5151	4886	5292	5392	4293	4311	4948	5796	5057	5184
ENSMUSG00000005078|Jkamp	742	755	691	596	632	645	581	664	739	742	594	637
ENSMUSG00000005087|Cd44	596	376	460	353	545	563	362	363	430	378	288	482
ENSMUSG00000005089|Slc1a2	5866	5840	7032	4956	4230	5167	6269	5733	7930	7436	4653	5592
ENSMUSG00000005102|Eif2ak4	651	519	462	404	498	439	465	532	581	464	448	515
ENSMUSG00000005103|Wdr1	2594	2508	2124	2181	2227	2468	2103	2157	2413	2680	2132	2415
ENSMUSG00000005107|Slc2a9	1785	1817	1077	1296	1295	1198	1590	1730	1577	1556	1351	1277
ENSMUSG00000005124|Wisp1	77	87	57	48	77	88	84	49	73	64	42	82
ENSMUSG00000005125|Ndrg1	393	286	373	343	328	331	382	405	506	366	271	306
ENSMUSG00000005131|4930550C14Rik	2	1	9	7	8	3	2	1	3	1	4	4
ENSMUSG00000005142|Man2b1	6016	5208	4816	5226	5165	4715	4998	4834	6123	5817	4523	4804
ENSMUSG00000005148|Klf5	2	3	5	1	2	60	1	0	6	5	1	1
ENSMUSG00000005150|Wdr83	489	477	446	452	485	438	350	330	436	559	486	420
ENSMUSG00000005161|Prdx2	4218	4080	3920	3663	3442	3735	3149	3440	4219	4234	3288	3500
ENSMUSG00000005198|Polr2a	591	485	653	531	524	467	523	537	708	498	476	557
ENSMUSG00000005204|Senp3	1369	1314	1552	1349	1320	1237	1202	1073	1551	1607	1128	1258
ENSMUSG00000005220|Corin	9	3	4	6	1	4	3	9	6	12	1	0
ENSMUSG00000005225|Plekha8	2324	2391	2571	3005	2324	2228	1653	1664	2611	3711	2299	2036
ENSMUSG00000005233|Spc25	153	124	209	74	120	88	129	103	270	156	65	144
ENSMUSG00000005237|Dnahc2	22	14	8	7	12	13	18	6	8	12	7	8
ENSMUSG00000005251|Ripk4	618	573	580	615	600	463	483	448	592	727	474	524
ENSMUSG00000005262|Ufd1l	1293	1278	1394	1197	1099	1118	1113	984	1220	1463	1100	1074
ENSMUSG00000005267|Zfp287	41	32	37	27	40	27	21	44	49	37	30	33
ENSMUSG00000005268|Prlr	5745	3274	4048	2331	2326	2165	4586	4839	3815	2921	1937	4865
ENSMUSG00000005299|Letm1	3839	3249	3487	2604	3267	2965	2596	2281	2586	3019	3127	3012
ENSMUSG00000005312|Ubqln1	7552	7102	6321	6631	7457	6595	5187	4847	5870	7995	7463	6313
ENSMUSG00000005320|Fgfr4	1074	1067	1073	1073	864	897	905	935	1233	1212	928	1254
ENSMUSG00000005338|Cadm3	235	238	163	243	267	175	230	248	274	244	211	199
ENSMUSG00000005354|Txn2	3160	2939	2553	2847	2670	2536	2361	2343	2715	3052	2688	2965
ENSMUSG00000005357|Slc1a6	3	1	1	0	0	2	1	0	3	0	0	1
ENSMUSG00000005360|Slc1a3	16	20	17	9	16	14	13	11	14	12	9	15
ENSMUSG00000005362|Crbn	1611	1563	1459	884	928	1238	1424	1297	1649	1393	1007	1238
ENSMUSG00000005364|Il5ra	1	0	0	0	0	2	0	0	1	0	1	0
ENSMUSG00000005370|Msh6	751	817	751	659	707	756	675	625	839	810	622	841
ENSMUSG00000005371|Fbxo11	875	835	944	596	700	768	702	703	1052	936	647	662
ENSMUSG00000005373|Mlxipl	11326	10874	8416	7812	9083	6587	8394	5748	7656	6892	7362	7593
ENSMUSG00000005374|Tbl2	768	703	727	1114	866	725	547	482	881	1198	843	906
ENSMUSG00000005378|Wbscr22	930	754	873	747	863	854	653	553	776	903	847	1017
ENSMUSG00000005397|Nid1	1135	817	681	840	868	804	851	718	886	911	701	824
ENSMUSG00000005410|Mcm5	218	160	51	79	93	138	83	49	71	65	102	245
ENSMUSG00000005413|Hmox1	667	673	919	964	846	510	665	548	627	884	633	721
ENSMUSG00000005417|Mprip	4282	4318	4298	4105	4365	3779	4048	3947	4623	4647	3970	3612
ENSMUSG00000005442|Cic	1056	830	1101	982	1139	911	1008	988	1190	1046	973	1153
ENSMUSG00000005447|Pafah1b3	82	112	110	98	109	94	67	103	147	91	76	90
ENSMUSG00000005465|Il27ra	64	57	65	48	39	47	71	63	80	59	40	67
ENSMUSG00000005469|Prkaca	2509	2453	2124	2185	2534	2087	1835	1960	2166	2295	2486	2429
ENSMUSG00000005470|Asf1b	28	16	12	23	30	15	8	6	29	26	19	27
ENSMUSG00000005481|Ddx39	734	594	704	611	691	712	588	451	626	620	649	787
ENSMUSG00000005483|Dnajb1	558	698	836	1413	800	694	528	503	1125	1788	702	737
ENSMUSG00000005493|Msh4	4	4	2	6	6	6	9	5	8	9	1	11
ENSMUSG00000005501|Usp40	1649	1584	1531	1150	1278	1321	1294	1395	1378	1499	1389	1263
ENSMUSG00000005505|Kbtbd4	683	632	747	703	630	619	496	526	644	828	595	608
ENSMUSG00000005506|Celf1	5094	4952	5088	4057	4786	4695	4388	3917	5178	5160	4538	4710
ENSMUSG00000005510|Ndufs3	3297	3220	2788	3291	2897	2901	2774	2915	3302	3474	2777	2847
ENSMUSG00000005514|Por	18399	17274	16528	13983	10067	11532	19301	16503	18814	13120	9156	13066
ENSMUSG00000005533|Igf1r	113	120	127	124	120	116	103	142	142	129	102	76
ENSMUSG00000005534|Insr	8690	8824	8527	5929	6337	6773	7774	8225	9327	7976	5955	6700
ENSMUSG00000005540|Fcer2a	17	19	9	8	10	31	20	39	27	12	15	24
ENSMUSG00000005547|Cyp2a5	27048	34285	11311	10878	11860	9556	13481	18559	16123	23321	13458	11424
ENSMUSG00000005553|Atp4a	19	15	11	32	30	66	24	5	10	13	43	47
ENSMUSG00000005566|Trim28	2871	2788	2927	3084	2978	2388	2842	3112	3594	3338	2457	2437
ENSMUSG00000005575|Ube2m	1820	1687	2266	2176	2263	1692	1629	1863	2224	2163	2046	2119
ENSMUSG00000005580|Adcy9	1368	1610	1198	1202	1305	1317	1511	1425	1463	1417	1262	1271
ENSMUSG00000005583|Mef2c	175	200	259	213	184	232	185	252	238	331	152	164
ENSMUSG00000005609|Ctr9	1731	1514	1690	1630	1455	1567	1263	1090	1743	1910	1498	1471
ENSMUSG00000005610|Eif4g2	17237	16629	18867	14540	14576	14792	13115	13248	19130	18662	15075	15855
ENSMUSG00000005611|Mrvi1	69	81	67	87	66	121	67	61	98	81	73	54
ENSMUSG00000005615|Pcyt1a	5086	5251	4002	4057	4112	4108	3720	3988	4648	5108	4217	4060
ENSMUSG00000005621|Zfp592	1282	1251	1731	1002	1388	1103	1112	1064	1413	1395	1245	1313
ENSMUSG00000005625|Psmd4	3354	3337	3294	2852	3048	2915	2645	2437	3047	3443	2964	3048
ENSMUSG00000005628|Tmod4	2	4	5	4	6	3	5	9	8	6	0	4
ENSMUSG00000005640|Insrr	1	1	0	3	1	0	0	2	0	0	1	0
ENSMUSG00000005656|Snx6	766	760	576	742	575	764	520	557	749	846	606	653
ENSMUSG00000005667|Mthfd2	71	47	105	38	82	56	19	15	39	64	84	80
ENSMUSG00000005672|Kit	511	273	453	320	265	423	592	252	398	367	349	396
ENSMUSG00000005674|Tomm40l	324	238	440	304	362	356	297	320	296	289	335	310
ENSMUSG00000005677|Nr1i3	14968	13840	17927	8753	8402	8223	19715	19333	13062	10374	9265	8840
ENSMUSG00000005681|Apoa2	217892	204396	194094	194984	179349	175373	184690	200730	205157	195814	159464	188619
ENSMUSG00000005682|Pan2	1105	910	794	705	668	838	766	780	766	903	767	781
ENSMUSG00000005683|Cs	5107	5548	3458	4955	4864	4334	3345	3012	4014	4825	4406	4407
ENSMUSG00000005686|Ampd3	64	65	65	60	51	60	44	60	70	72	60	46
ENSMUSG00000005687|Bcas2	1004	924	1069	864	752	895	799	903	1133	1009	739	890
ENSMUSG00000005696|Sh2d1a	2	2	3	0	1	1	0	1	3	0	6	3
ENSMUSG00000005698|Ctcf	1459	1517	1551	1463	1148	1409	1093	1195	1732	1696	1210	1344
ENSMUSG00000005699|Pard6a	120	103	127	75	79	98	70	72	89	95	92	85
ENSMUSG00000005718|Tfap4	201	157	119	109	114	116	243	208	243	200	145	167
ENSMUSG00000005732|Ranbp1	1006	893	776	952	929	950	644	693	1069	1131	960	992
ENSMUSG00000005763|Cd247	27	12	21	11	11	13	10	14	13	14	3	17
ENSMUSG00000005774|Rfx5	571	483	422	434	428	438	486	601	373	460	369	401
ENSMUSG00000005779|Psmb4	4608	4620	3944	3905	3914	3808	3649	3549	4091	4760	4056	3958
ENSMUSG00000005800|Mmp8	5	3	1	0	1	2	1	0	3	3	0	5
ENSMUSG00000005802|Slc30a4	927	952	1072	736	763	846	778	734	1226	1171	767	859
ENSMUSG00000005803|Sqrdl	8966	8271	5812	7323	6192	6883	7253	7476	8574	8366	5343	6314
ENSMUSG00000005804|Bloc1s6	643	558	524	445	488	581	571	506	492	612	454	589
ENSMUSG00000005813|Metap1	1611	1476	1940	1562	1621	1532	1226	1303	1814	2019	1554	1479
ENSMUSG00000005823|Gpr108	856	790	953	991	1118	1028	839	874	988	1121	1016	932
ENSMUSG00000005824|Tnfsf14	13	7	5	7	15	4	6	5	15	13	7	8
ENSMUSG00000005836|Gata6	284	256	282	305	319	230	252	228	320	312	311	227
ENSMUSG00000005846|Rsl1d1	1667	1637	1556	1861	1166	1356	1208	1344	2276	2131	1200	1312
ENSMUSG00000005871|Apc	2702	2570	3426	1934	2212	2228	2381	2247	3363	2857	1982	2302
ENSMUSG00000005873|Reep5	647	572	608	612	664	705	495	399	559	649	529	575
ENSMUSG00000005881|Ergic3	2165	2188	2095	1725	1902	1918	1768	1901	2087	2170	1801	2017
ENSMUSG00000005882|Uqcc	1739	1571	1343	1354	1331	1503	1312	1315	1491	1748	1343	1341
ENSMUSG00000005883|Spo11	4	2	2	3	1	0	0	0	0	4	3	1
ENSMUSG00000005886|Ncoa2	3174	3015	2860	1842	2419	2514	2675	2552	2744	2499	2228	2715
ENSMUSG00000005893|Nr2c2	1901	2080	2394	792	1345	1580	2055	1718	2141	1307	1258	1788
ENSMUSG00000005897|Nr2c1	530	454	400	280	462	336	396	367	399	382	445	449
ENSMUSG00000005899|Smpd4	677	607	608	508	513	656	560	519	527	589	502	574
ENSMUSG00000005907|Pex1	1676	1633	1234	1498	1365	1355	1406	1431	1451	1761	1408	1176
ENSMUSG00000005936|Kctd20	1479	1455	1315	1199	1178	1227	1099	1195	1454	1384	1256	1247
ENSMUSG00000005947|Itgae	20	19	50	39	67	45	29	42	20	41	42	43
ENSMUSG00000005949|Ctns	565	568	713	576	546	489	558	465	647	676	513	547
ENSMUSG00000005950|P2rx5	5	3	0	17	2	8	0	3	0	1	3	3
ENSMUSG00000005951|Shpk	2045	2177	1725	2254	1790	1790	1503	1783	1846	2463	1797	1830
ENSMUSG00000005952|Trpv1	6	2	8	35	9	7	0	6	5	15	8	6
ENSMUSG00000005958|Ephb3	13	17	25	21	18	29	17	21	24	25	17	22
ENSMUSG00000005968|Tuft1	217	175	238	246	178	336	207	175	415	462	200	273
ENSMUSG00000005973|Rcn1	403	368	344	374	283	333	297	273	380	377	292	310
ENSMUSG00000005980|Dnase1	15	12	6	31	16	14	24	28	19	17	18	9
ENSMUSG00000005981|Trap1	7715	7355	6002	6485	6337	6407	6247	5839	7208	8072	6055	6067
ENSMUSG00000005982|Nat15	3597	3351	3931	3155	3204	3105	3034	3303	3897	3892	3126	3514
ENSMUSG00000005983|1700037C18Rik	51	21	41	52	53	48	18	49	52	30	39	38
ENSMUSG00000005986|Ankrd13d	24	21	17	25	27	16	15	17	23	22	14	13
ENSMUSG00000006005|Tpr	5477	5195	5787	4024	4017	4598	4404	4472	5700	5371	3835	4247
ENSMUSG00000006010|BC003331	1845	1756	1574	1240	1439	1723	1330	1244	1431	1901	1500	1579
ENSMUSG00000006014|Prg4	263	196	144	160	208	216	180	131	143	209	214	336
ENSMUSG00000006019|Dhx34	427	394	262	388	380	336	326	374	265	355	354	356
ENSMUSG00000006021|Kptn	525	590	313	382	387	441	402	389	446	469	403	399
ENSMUSG00000006024|Napa	2998	3000	2780	2766	2772	2505	2492	2483	2719	3129	2375	2759
ENSMUSG00000006050|Sra1	1874	1642	1987	1561	1715	1826	1478	1646	2073	2190	1690	1738
ENSMUSG00000006057|Atp5g1	6185	5713	4431	5835	5563	5044	3982	4470	4999	5468	5131	5500
ENSMUSG00000006058|Snf8	782	792	761	783	748	793	702	647	731	846	716	875
ENSMUSG00000006095|Tbcb	663	623	666	750	826	772	540	507	577	763	858	833
ENSMUSG00000006127|Inpp5k	631	743	547	362	464	533	686	687	679	522	401	496
ENSMUSG00000006134|Crkl	1628	1643	1476	1445	1531	1276	1090	1115	1580	1843	1318	1343
ENSMUSG00000006154|Eps8l1	72	32	43	78	70	73	47	98	53	111	41	82
ENSMUSG00000006169|Clint1	2726	2454	2253	2711	2413	2393	2268	2261	2609	3363	1957	1862
ENSMUSG00000006179|Prss16	1	0	0	0	1	0	0	0	1	0	1	0
ENSMUSG00000006191|Cdkal1	694	509	567	460	496	554	496	436	546	585	550	562
ENSMUSG00000006205|Htra1	52	61	33	78	85	114	57	78	67	102	65	53
ENSMUSG00000006215|Zbtb17	474	445	483	499	405	410	398	433	462	533	351	491
ENSMUSG00000006218|Fam131c	51	24	26	43	88	56	16	42	28	53	81	37
ENSMUSG00000006219|Fblim1	41	27	22	32	29	40	36	40	67	35	37	21
ENSMUSG00000006221|Hspb7	2	0	2	2	0	6	1	10	1	2	1	3
ENSMUSG00000006235|Epor	79	62	43	27	30	44	59	48	50	39	33	35
ENSMUSG00000006241|Ccdc159	185	165	102	141	144	147	124	137	116	150	130	131
ENSMUSG00000006262|Mob1b	2603	2744	3090	1630	1761	2104	2165	1880	3118	2650	1885	2069
ENSMUSG00000006273|Atp6v1b2	1790	1667	1726	1344	1312	1451	1526	1411	1533	1596	1434	1502
ENSMUSG00000006276|Eps15l1	561	573	561	543	513	494	516	531	589	552	469	491
ENSMUSG00000006281|Tep1	962	840	564	712	772	798	668	661	738	820	746	713
ENSMUSG00000006288|Ttc5	377	298	264	229	201	288	270	321	272	249	247	265
ENSMUSG00000006289|Osgep	454	461	351	411	307	463	432	422	452	446	356	372
ENSMUSG00000006299|Aamp	4718	4451	4373	4084	3835	3848	3962	4436	4876	5030	3709	4113
ENSMUSG00000006301|Tmbim1	1955	1946	2040	1858	1885	1832	1725	1804	2153	2275	1877	1809
ENSMUSG00000006304|Arpc2	3513	3267	3204	3321	3082	3085	2809	2879	3758	3536	2940	2997
ENSMUSG00000006307|Wbp7	784	756	981	931	782	661	735	847	1205	1082	705	797
ENSMUSG00000006310|Zbtb32	3	7	4	3	8	2	3	4	6	8	9	3
ENSMUSG00000006313|Upk1a	1	0	0	0	3	4	3	0	3	2	2	2
ENSMUSG00000006315|Tmem147	2306	2161	1917	2262	2637	2417	1851	1744	1996	2130	2375	2766
ENSMUSG00000006333|Rps9	8072	7728	8081	8516	7650	7539	6702	7179	10026	8935	6781	7798
ENSMUSG00000006335|Tfpt	194	196	294	270	189	207	199	199	287	291	163	238
ENSMUSG00000006342|Susd2	87	71	45	95	110	73	74	90	104	92	83	83
ENSMUSG00000006344|Ggt5	74	80	80	93	128	68	71	91	82	69	81	73
ENSMUSG00000006345|Ggt1	5	5	0	3	3	5	6	2	9	1	2	2
ENSMUSG00000006356|Crip2	1178	974	1060	1797	1752	1257	950	1079	1425	1407	1274	1472
ENSMUSG00000006360|Crip1	122	138	88	144	172	154	100	134	139	133	106	105
ENSMUSG00000006362|Cbfa2t3	86	80	83	138	74	63	51	66	128	145	58	60
ENSMUSG00000006369|Fbln1	60	38	33	42	65	146	44	50	73	46	57	30
ENSMUSG00000006373|Pgrmc1	56726	59510	48185	37309	40624	43705	41412	39703	50311	59618	43279	39265
ENSMUSG00000006378|Gcat	4598	4317	2948	3742	3854	3728	2753	2704	2922	3420	3450	3496
ENSMUSG00000006386|Tek	1257	977	998	928	960	980	1070	799	984	1109	822	898
ENSMUSG00000006389|Mpl	1	0	0	0	1	0	1	0	0	0	1	0
ENSMUSG00000006390|Elovl1	1781	1406	1682	1894	2371	1831	993	941	1151	1806	2299	1795
ENSMUSG00000006392|Med8	1149	1115	1219	1106	1233	1114	935	854	1050	1304	1238	1196
ENSMUSG00000006395|Hyi	1426	1377	770	1361	905	955	1285	1666	1685	1375	911	928
ENSMUSG00000006398|Cdc20	63	33	17	18	42	29	14	10	19	35	67	37
ENSMUSG00000006403|Adamts4	22	9	13	69	46	13	6	22	22	34	16	8
ENSMUSG00000006411|Pvrl4	13	13	13	7	5	7	8	20	8	14	13	8
ENSMUSG00000006412|Pfdn2	841	895	838	666	693	763	801	785	748	859	786	684
ENSMUSG00000006418|Rnf114	2537	2258	2554	2165	2229	2083	2026	2095	2575	2433	1943	2296
ENSMUSG00000006423|C330007P06Rik	1539	1456	1288	1003	992	1260	1190	973	1448	1472	1060	1114
ENSMUSG00000006435|Neurl1a	17	17	12	12	13	25	12	23	11	11	7	15
ENSMUSG00000006442|Srm	1057	772	994	1929	1380	1142	688	723	1180	1943	1354	1191
ENSMUSG00000006445|Epha2	782	364	1112	1567	1088	309	514	846	1007	960	1617	896
ENSMUSG00000006456|Rbm14	729	737	746	805	774	704	633	544	931	918	724	728
ENSMUSG00000006457|Actn3	2	0	3	2	0	1	4	2	0	1	0	2
ENSMUSG00000006462|A530013C23Rik	39	51	19	27	22	29	45	66	36	24	21	19
ENSMUSG00000006463|Zdhhc24	118	147	112	98	138	114	125	138	145	115	154	140
ENSMUSG00000006464|Bbs1	104	73	99	91	52	94	73	102	85	80	51	81
ENSMUSG00000006471|Ndor1	588	594	652	659	467	514	517	576	679	737	495	528
ENSMUSG00000006476|Nelf	3206	2877	2708	3860	3956	3238	1730	2063	2687	3742	3505	3374
ENSMUSG00000006494|Pdk1	7845	9939	3355	6092	3973	5369	4959	6626	8563	6576	3874	4307
ENSMUSG00000006498|Ptbp1	2979	2986	2870	2344	3240	2850	2922	2566	3398	2931	2655	3107
ENSMUSG00000006517|Mvd	832	552	134	742	974	616	81	217	187	721	1083	883
ENSMUSG00000006519|Cyba	315	217	268	250	257	265	234	218	280	212	186	297
ENSMUSG00000006522|Itih3	41740	31103	38421	35641	37085	38428	34447	33733	36452	40721	33088	50007
ENSMUSG00000006526|Tmem110	411	477	325	402	457	419	319	397	354	486	437	458
ENSMUSG00000006527|Sfmbt1	1237	1366	1562	1022	1098	1146	1176	1090	1461	1523	1131	1107
ENSMUSG00000006529|Itih1	33174	26948	26075	24197	22962	25390	27371	22733	27033	28705	21872	29412
ENSMUSG00000006538|Ihh	28	32	84	91	96	103	43	35	115	101	110	93
ENSMUSG00000006542|Prkag3	1	4	5	0	0	19	0	5	2	2	0	0
ENSMUSG00000006567|Atp7b	2021	1929	1200	1902	1683	1734	1609	2341	1974	2168	1653	1685
ENSMUSG00000006574|Slc4a1	64	9	6	13	3	24	7	6	17	14	11	19
ENSMUSG00000006575|Rundc3a	51	50	36	36	54	57	49	54	36	51	43	50
ENSMUSG00000006576|Slc4a3	32	26	29	35	25	50	47	57	42	30	48	18
ENSMUSG00000006585|Cdt1	99	80	120	71	94	69	90	70	86	58	87	106
ENSMUSG00000006586|Runx1t1	5	15	10	17	21	15	11	16	20	19	4	12
ENSMUSG00000006587|Snai3	8	3	3	9	4	1	3	10	2	7	2	2
ENSMUSG00000006589|Aprt	943	730	631	1017	946	776	630	588	844	770	759	775
ENSMUSG00000006599|Gtf2h1	1473	1458	1821	1302	1340	1334	1245	1317	1966	1904	1274	1328
ENSMUSG00000006611|Hfe	2125	2103	2141	1548	1711	1880	1591	1580	1806	2034	1910	1956
ENSMUSG00000006638|Abhd1	240	149	258	241	269	179	233	216	183	238	221	297
ENSMUSG00000006641|Slc5a6	617	737	731	862	485	508	624	700	1161	923	468	655
ENSMUSG00000006642|Tcf23	4	4	3	2	1	6	3	4	5	1	2	3
ENSMUSG00000006651|Aplp1	19	9	4	11	15	24	6	11	12	10	19	12
ENSMUSG00000006673|Qrich1	2590	2261	2463	2176	2277	2166	2018	2092	2488	2737	2094	2217
ENSMUSG00000006675|P4htm	10	12	9	10	10	12	7	6	11	13	11	6
ENSMUSG00000006676|Usp19	2687	2700	3094	2651	2455	2342	2520	2497	2866	3133	2360	2565
ENSMUSG00000006678|Pola1	320	301	204	155	189	281	248	192	277	202	152	222
ENSMUSG00000006699|Cdc42	7140	6400	5466	4711	5433	5738	4689	4238	5913	6137	4802	5626
ENSMUSG00000006705|Pknox1	647	606	648	793	666	689	491	451	650	938	739	636
ENSMUSG00000006711|D130043K22Rik	327	338	58	95	161	177	161	196	157	83	150	157
ENSMUSG00000006715|Gmnn	232	247	206	171	179	226	163	182	245	203	141	194
ENSMUSG00000006717|Acot13	1367	1310	737	1041	990	917	1024	1112	1311	1142	974	928
ENSMUSG00000006720|Zfp184	10	19	18	12	12	7	13	6	18	21	8	12
ENSMUSG00000006724|Cyp27b1	1	1	1	3	0	1	0	1	0	2	1	2
ENSMUSG00000006728|Cdk4	1158	1105	1116	1445	1223	1142	1203	1304	1562	1520	1143	1162
ENSMUSG00000006731|B4galnt1	1981	1855	1709	1989	2066	1615	1513	1939	1828	2079	1903	2198
ENSMUSG00000006732|Mettl1	420	295	267	552	401	451	186	271	361	528	473	389
ENSMUSG00000006736|Tspan31	9254	8111	7880	6737	7535	7538	6706	6238	7641	8971	8143	7847
