ovary_CV1	ovary_CV2	ovary_CV3	ovary_CV4	ovary_GF1	ovary_GF2	ovary_GF3	ovary_GF4	ovary_GF5	testis_CV1	testis_CV2	testis_CV3	testis_CV4	testis_GF1	testis_GF2	testis_GF3
ENSMUSG00000030610|Det1	255	269	244	215	279	208	205	241	217	302	328	360	309	346	318	305
ENSMUSG00000030611|Mrps11	309	322	305	380	367	349	399	383	387	636	645	742	696	688	745	699
ENSMUSG00000030612|Mrpl46	214	254	207	235	260	207	208	206	214	362	405	335	425	373	468	402
ENSMUSG00000030613|Ccdc90b	457	473	423	417	519	391	402	448	478	480	429	467	480	412	481	478
ENSMUSG00000030614|Tmem126b	288	305	309	346	341	253	321	297	425	88	89	78	85	86	101	100
ENSMUSG00000030615|Tmem126a	292	327	277	321	303	288	315	256	264	267	271	228	258	261	314	256
ENSMUSG00000030616|Sytl2	606	455	522	569	630	476	552	515	553	136	113	110	128	101	134	115
ENSMUSG00000030617|Ccdc83	1	0	0	0	4	1	3	1	0	2589	2484	2606	2833	2586	2759	2680
ENSMUSG00000030619|Eed	485	434	405	398	521	482	421	445	472	800	728	713	803	765	795	784
ENSMUSG00000030621|Me3	671	723	777	789	818	522	815	980	610	372	382	374	422	370	357	342
ENSMUSG00000030623|1700019G06Rik	38	25	36	20	23	21	33	27	15	437	543	502	442	477	530	522
ENSMUSG00000030629|Zfand6	1089	1101	1027	1086	1127	853	949	877	1119	3165	3353	3280	3234	3107	3273	3090
ENSMUSG00000030630|Fah	198	219	157	172	277	197	295	151	240	65	79	72	52	59	61	61
ENSMUSG00000030636|1700010L04Rik	0	0	0	0	0	0	0	0	0	35	38	40	39	36	35	52
ENSMUSG00000030638|Sh3gl3	59	52	36	45	40	50	39	34	47	3944	3851	4098	4286	4166	4464	4134
ENSMUSG00000030641|4632434I11Rik	150	103	130	133	141	86	143	131	134	4441	4345	4517	4970	4438	4614	4694
ENSMUSG00000030643|Rab30	112	162	119	125	107	129	128	94	123	48	38	46	49	42	29	56
ENSMUSG00000030647|Ndufc2	1065	930	811	853	1302	792	919	734	781	629	603	629	612	592	685	589
ENSMUSG00000030649|3200002M19Rik	288	254	250	271	315	239	232	261	316	831	792	893	869	808	951	827
ENSMUSG00000030650|Tmc5	774	342	376	394	457	339	369	313	255	2910	2910	3080	2878	2603	2610	2536
ENSMUSG00000030651|Art2b	1	2	0	2	2	2	2	1	5	1	0	0	0	0	0	0
ENSMUSG00000030652|Coq7	194	224	196	216	221	200	175	192	209	213	189	204	172	202	201	163
ENSMUSG00000030653|Pde2a	437	422	319	316	368	400	460	316	547	374	372	364	425	348	457	419
ENSMUSG00000030654|Arl6ip1	2064	1733	1628	1794	2138	1507	1675	1789	2099	4763	4744	4719	4963	4566	4780	4673
ENSMUSG00000030655|Smg1	7243	6895	6333	6301	7668	6232	6633	6953	7215	9130	9455	10111	10559	10085	10048	9946
ENSMUSG00000030657|Xylt1	216	74	86	103	210	87	97	105	101	25	32	41	32	37	33	44
ENSMUSG00000030659|Nucb2	623	786	723	683	692	657	728	690	752	656	593	589	721	554	599	612
ENSMUSG00000030660|Pik3c2a	3048	2825	2457	2600	3053	2693	2330	2301	2625	2473	2539	2649	2818	2668	2891	2759
ENSMUSG00000030662|Ipo5	3323	3445	3089	3085	3918	3289	3131	3215	3531	35809	37050	39213	39407	37153	39047	37866
ENSMUSG00000030663|1110004F10Rik	1064	1123	959	1039	1230	1000	1039	1013	1041	1475	1463	1502	1476	1336	1415	1347
ENSMUSG00000030664|1110006G14Rik	3	7	0	2	5	0	8	0	2	0	2	2	0	0	3	1
ENSMUSG00000030666|Calcb	1	6	1	0	6	6	3	0	1	0	0	0	0	1	0	0
ENSMUSG00000030669|Calca	2	2	2	0	3	4	0	0	9	10	7	8	6	14	13	11
ENSMUSG00000030670|Cyp2r1	40	19	20	31	40	38	26	34	26	156	167	155	196	149	157	173
ENSMUSG00000030671|Pde3b	599	951	681	485	488	511	902	344	707	3351	3463	3581	3822	3266	3326	3297
ENSMUSG00000030672|Mylpf	12	16	10	4	26	19	11	7	8	15	18	15	14	19	29	25
ENSMUSG00000030674|Qprt	14	18	16	12	11	7	15	7	17	0	4	0	0	5	1	1
ENSMUSG00000030677|Kif22	270	225	239	253	385	225	256	367	361	473	501	588	594	572	519	512
ENSMUSG00000030678|Maz	1155	1049	936	1068	1334	1032	1068	1168	1195	925	923	1002	1014	921	921	919
ENSMUSG00000030680|2900092E17Rik	578	568	440	497	585	524	534	461	712	355	324	361	410	331	398	355
ENSMUSG00000030681|Mvp	993	1127	929	988	1004	1088	994	775	1209	121	85	111	106	118	103	112
ENSMUSG00000030682|Cdipt	863	867	721	809	886	812	814	744	808	489	525	570	538	389	435	447
ENSMUSG00000030683|Sez6l2	108	133	124	101	157	99	145	131	144	154	171	142	174	201	184	169
ENSMUSG00000030685|Kctd13	236	163	159	174	192	142	189	170	160	1016	1015	1081	1147	973	991	1091
ENSMUSG00000030688|Stard10	295	331	308	316	295	293	302	272	298	10645	11059	11358	11263	9886	9840	9817
ENSMUSG00000030689|Ino80e	408	452	394	426	482	414	499	436	512	1222	1403	1374	1473	1299	1328	1307
ENSMUSG00000030691|Fchsd2	886	839	743	743	927	702	698	814	914	465	460	453	523	435	455	443
ENSMUSG00000030693|Klk10	4	5	1	4	6	6	1	2	7	0	0	1	0	1	0	0
ENSMUSG00000030695|Aldoa	7023	9040	7102	7423	9267	7127	8466	7123	8560	8457	8608	8762	8969	7858	8510	8436
ENSMUSG00000030697|Ppp4c	820	846	720	837	981	813	828	853	860	2269	2453	2385	2457	2441	2453	2503
ENSMUSG00000030699|Tbx6	6	8	1	6	9	10	6	8	9	7	2	6	4	11	6	4
ENSMUSG00000030701|Plekhb1	192	152	139	139	146	159	183	123	158	44	39	40	60	51	65	57
ENSMUSG00000030703|Gdpd3	28	19	19	24	39	25	21	36	36	6	8	8	7	6	6	4
ENSMUSG00000030704|Rab6a	1875	1783	1635	1718	1851	1585	1609	1681	1552	1972	1968	2008	2151	2003	2101	2105
ENSMUSG00000030706|Mrpl48	552	601	527	541	632	524	508	503	619	795	746	750	801	814	856	747
ENSMUSG00000030707|Coro1a	164	236	146	181	193	192	208	86	168	17	28	43	34	6	27	29
ENSMUSG00000030708|Dnajb13	153	160	132	137	206	102	148	168	158	5926	6090	6145	5885	5273	5624	5428
ENSMUSG00000030711|Sult1a1	338	456	348	260	207	185	459	210	446	119	108	114	127	123	139	164
ENSMUSG00000030713|Klk7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030714|Ccdc101	226	192	179	224	196	162	220	227	203	4285	4594	4519	4377	4071	4103	4158
ENSMUSG00000030717|Nupr1	779	792	844	692	892	2845	616	404	598	13	23	24	29	31	13	19
ENSMUSG00000030718|Ppme1	605	634	588	562	671	578	581	596	602	1888	1972	2033	2001	1816	2021	1905
ENSMUSG00000030720|Cln3	304	308	287	330	361	310	313	280	405	251	247	284	246	247	292	241
ENSMUSG00000030722|Nfatc2ip	103	121	127	125	110	103	121	104	140	1297	1355	1435	1423	1229	1321	1416
ENSMUSG00000030724|Cd19	10	18	12	13	4	9	12	7	8	14	31	22	36	26	33	30
ENSMUSG00000030725|Lipt2	219	203	246	217	257	204	205	229	166	43	42	47	58	38	61	50
ENSMUSG00000030726|Pold3	835	705	841	816	878	702	742	780	876	4361	4402	4464	4593	4116	4733	4605
ENSMUSG00000030727|Rabep2	695	764	678	677	794	603	916	872	858	460	515	457	542	509	568	484
ENSMUSG00000030729|Pgm2l1	1802	1994	1933	1967	1817	1397	1638	1768	1182	889	827	883	992	868	948	902
ENSMUSG00000030730|Atp2a1	3	1	6	2	3	3	3	4	7	3	5	12	13	6	8	9
ENSMUSG00000030731|Syt3	28	34	29	25	27	16	28	22	46	27	31	34	25	26	38	33
ENSMUSG00000030732|Chrdl2	30	50	10	10	7	37	5	5	12	3	2	3	2	2	1	0
ENSMUSG00000030733|Sh2b1	531	477	396	429	495	411	436	489	587	591	638	638	729	688	706	668
ENSMUSG00000030735|Gm9755	211	178	199	191	276	191	218	193	194	243	227	225	252	248	248	256
ENSMUSG00000030737|Slco2b1	335	414	273	268	326	286	436	191	373	90	100	102	85	111	105	100
ENSMUSG00000030738|Eif3c	4300	4475	3798	4052	4904	4121	4120	4104	4842	10958	10952	11534	12043	11320	12090	12038
ENSMUSG00000030739|Myh14	341	918	502	614	280	444	482	404	636	75	75	67	94	76	81	79
ENSMUSG00000030741|Spns1	463	442	411	466	548	414	444	501	598	268	286	277	308	246	255	278
ENSMUSG00000030742|Lat	7	13	13	7	10	10	16	13	11	7	3	9	7	8	5	6
ENSMUSG00000030744|Rps3	10223	10460	9395	9518	11684	9652	9547	9305	10852	2377	2346	2430	2453	2424	2658	2572
ENSMUSG00000030745|Il21r	27	26	29	18	17	20	25	21	19	1	1	1	5	3	1	8
ENSMUSG00000030747|Dgat2	1004	1673	557	406	289	944	1507	122	1034	6458	6732	6907	6650	6231	7258	6791
ENSMUSG00000030748|Il4ra	1351	2182	1579	1652	1092	1573	1787	1123	1701	161	181	199	156	176	204	132
ENSMUSG00000030750|Nsmce1	377	453	363	456	429	439	417	383	501	2962	2933	3129	3097	3009	3290	3265
ENSMUSG00000030751|Psma1	1453	1525	1289	1386	1851	1423	1448	1249	1555	818	750	761	878	683	821	855
ENSMUSG00000030752|Jmjd5	73	71	73	64	105	70	86	81	89	106	102	116	128	72	100	109
ENSMUSG00000030753|Prkrir	1895	2018	1643	1775	2233	1762	1748	1553	1869	737	740	690	738	697	758	697
ENSMUSG00000030754|Copb1	2757	2903	2544	2706	3002	2528	2659	2515	2875	2176	2089	2185	2428	2230	2205	2222
ENSMUSG00000030757|Zkscan2	50	70	72	60	61	66	66	54	95	225	218	278	248	253	288	245
ENSMUSG00000030759|Far1	4630	3063	2926	3539	3780	5045	2494	2208	2566	1932	1922	1972	2229	2035	2113	2133
ENSMUSG00000030760|Acer3	517	609	463	507	564	429	425	435	503	393	422	380	440	371	497	435
ENSMUSG00000030761|Myo7a	885	605	457	765	1483	621	509	439	626	3300	3232	3459	3963	3564	3805	3871
ENSMUSG00000030762|Aqp8	16	268	219	217	18	72	123	56	139	560	551	639	641	485	548	562
ENSMUSG00000030763|Lcmt1	428	470	399	456	339	432	350	340	426	1022	956	965	1090	939	878	882
ENSMUSG00000030766|Arhgap17	493	454	383	462	456	428	432	394	548	111	150	151	150	120	165	141
ENSMUSG00000030768|Disp1	382	383	377	400	399	293	400	396	442	117	85	94	141	117	122	135
ENSMUSG00000030769|Slc5a11	18	5	4	0	3	8	8	1	2	0	0	0	1	0	1	2
ENSMUSG00000030770|Parva	2384	2537	1675	1858	2268	2367	1889	1713	2660	157	166	150	158	151	183	164
ENSMUSG00000030771|Micalcl	40	25	31	20	24	21	33	15	28	5153	5475	5636	5243	5011	5534	5161
ENSMUSG00000030772|Dkk3	1754	1689	1773	1897	1782	1497	1807	1648	1871	29	18	15	11	23	12	16
ENSMUSG00000030774|Pak1	276	292	220	199	187	220	230	204	254	335	312	305	315	250	351	292
ENSMUSG00000030775|Trat1	1	1	1	2	0	3	1	1	0	2	3	0	1	3	4	4
ENSMUSG00000030779|Rbbp6	2496	2329	2123	2172	2509	2046	2041	2173	2624	5697	5603	5851	6262	5341	5736	5698
ENSMUSG00000030780|BC017158	768	899	697	812	741	651	787	847	852	204	161	189	167	160	176	150
ENSMUSG00000030781|Slc5a2	6	4	10	2	9	2	5	6	6	9	20	7	10	16	14	6
ENSMUSG00000030782|Tgfb1i1	830	884	601	642	663	787	674	672	981	24	30	32	45	16	31	31
ENSMUSG00000030785|Cox6a2	4	1	3	4	1	4	1	3	4	1	4	1	2	1	2	3
ENSMUSG00000030786|Itgam	152	561	236	219	188	164	272	95	317	23	27	21	26	20	20	24
ENSMUSG00000030787|Lyve1	281	428	279	280	165	299	350	166	360	11	2	10	9	14	10	8
ENSMUSG00000030788|Rnf141	1122	1312	1158	1176	1197	969	1104	1057	1246	2005	2055	2132	2137	2105	2437	2193
ENSMUSG00000030789|Itgax	80	119	94	76	86	110	87	74	90	14	7	18	7	13	10	7
ENSMUSG00000030790|Adm	143	115	75	79	70	86	91	45	83	7	3	10	4	3	5	2
ENSMUSG00000030792|Dkkl1	26	40	15	36	25	27	20	31	29	17585	19030	19361	18990	17622	19331	18547
ENSMUSG00000030793|Pycard	161	249	171	175	149	162	175	129	176	17	24	9	23	9	20	20
ENSMUSG00000030795|Fus	1631	1454	1022	1056	1222	1283	1212	1274	1667	622	698	807	796	687	722	771
ENSMUSG00000030796|Tead2	823	532	618	608	842	646	624	717	864	290	323	316	298	278	341	286
ENSMUSG00000030798|Cd37	26	43	13	17	31	40	31	22	34	266	295	267	252	343	409	361
ENSMUSG00000030800|Prss8	220	291	211	213	197	287	184	168	195	7	4	6	8	11	4	11
ENSMUSG00000030801|Kat8	301	253	327	302	339	278	307	297	335	3421	3666	3774	3768	3607	4088	3630
ENSMUSG00000030802|Bckdk	736	846	693	718	893	736	767	725	895	166	146	162	192	131	148	171
ENSMUSG00000030804|Vkorc1	295	323	226	277	341	264	290	235	309	102	86	88	93	74	101	71
ENSMUSG00000030805|Stx4a	459	408	326	355	425	406	422	438	564	93	79	107	113	91	102	95
ENSMUSG00000030806|Stx1b	53	72	58	50	44	76	75	32	89	15	9	8	16	16	12	13
ENSMUSG00000030811|Fbxl19	767	573	540	625	810	592	540	676	697	1096	1102	1183	1144	1083	1226	1196
ENSMUSG00000030814|Bcl7c	499	435	425	402	490	443	449	447	466	1256	1407	1288	1319	1268	1259	1298
ENSMUSG00000030815|Phkg2	454	402	331	327	448	372	359	348	500	14520	15512	16236	16819	15165	14775	15564
ENSMUSG00000030816|Rnf40	1125	1216	1042	1086	1254	999	1113	1047	1106	4812	4968	4826	5614	5002	5138	5128
ENSMUSG00000030822|Prr14	648	616	505	556	575	541	529	567	605	812	808	808	882	886	856	833
ENSMUSG00000030823|9130019O22Rik	149	133	134	139	148	149	144	113	169	38	19	16	25	24	22	20
ENSMUSG00000030824|Nucb1	2241	2623	2287	2321	2643	2056	2315	1884	2730	1024	951	985	1118	1049	1075	983
ENSMUSG00000030825|Hsd17b14	1	0	3	2	2	1	0	3	4	2	0	5	1	1	0	1
ENSMUSG00000030826|Bcat2	725	900	662	833	796	671	884	930	811	468	467	507	500	468	532	499
ENSMUSG00000030827|Fgf21	2	0	1	0	1	0	0	1	0	17	17	13	18	9	20	11
ENSMUSG00000030830|Itgal	58	81	52	49	57	54	68	48	61	19	28	20	31	20	34	25
ENSMUSG00000030834|Abcc6	10	6	14	8	14	4	15	12	13	16	11	10	7	11	15	27
ENSMUSG00000030835|Nomo1	997	998	697	888	1217	819	857	877	1086	2548	2579	2523	2953	2704	2590	2763
ENSMUSG00000030838|Ush1c	0	1	0	1	1	0	0	0	0	55	60	48	67	49	109	77
ENSMUSG00000030839|Sergef	114	110	87	103	102	137	96	113	110	51	56	75	53	61	77	70
ENSMUSG00000030842|Lamtor1	568	663	520	557	682	563	625	448	661	473	464	451	546	458	479	499
ENSMUSG00000030844|Rgs10	327	209	235	261	528	209	253	149	217	576	650	644	590	606	650	635
ENSMUSG00000030846|Tial1	1878	1572	1460	1540	1863	1500	1564	1570	1667	1079	1081	1257	1323	1210	1193	1265
ENSMUSG00000030847|Bag3	405	337	278	292	309	389	326	283	388	838	834	890	927	699	817	777
ENSMUSG00000030849|Fgfr2	12351	12136	10525	11072	12626	11549	11202	10944	13477	9063	9071	9205	9768	9420	9621	9320
ENSMUSG00000030850|Ate1	1347	1339	1240	1173	1447	1234	1231	1210	1375	2058	2032	2043	2265	2092	2105	2077
ENSMUSG00000030851|Ldhc	22	11	7	9	2	8	7	7	11	79450	79836	83206	81825	79144	83276	79106
ENSMUSG00000030852|Tacc2	1309	1009	830	916	931	1073	818	912	1037	137	127	125	147	155	180	159
ENSMUSG00000030854|Ptpn5	62	404	159	153	15	241	100	64	112	6	0	2	2	5	1	3
ENSMUSG00000030858|1700007K09Rik	1	0	0	0	0	1	0	0	0	1156	1110	1162	1224	968	1051	1057
ENSMUSG00000030859|Fam24a	0	0	0	0	0	1	0	0	0	985	1003	1054	1001	872	904	914
ENSMUSG00000030861|Acadsb	2517	3177	2725	2943	2386	2269	3140	2613	2572	813	858	816	888	827	849	841
ENSMUSG00000030862|Cpxm2	238	159	132	129	251	219	195	66	222	29	17	35	24	24	34	25
ENSMUSG00000030865|2010110P09Rik	224	207	207	203	230	210	209	193	329	291	359	311	339	328	349	334
ENSMUSG00000030866|Ern2	0	0	1	0	0	0	0	0	0	2	7	6	7	7	5	3
ENSMUSG00000030867|Plk1	205	169	146	150	281	148	147	239	255	1643	1654	1709	1866	1628	1648	1751
ENSMUSG00000030868|Dctn5	755	777	609	671	815	640	648	682	846	799	705	702	776	782	836	834
ENSMUSG00000030869|Ndufab1	674	811	657	698	795	585	729	719	827	597	607	685	677	615	623	665
ENSMUSG00000030870|Ubfd1	1635	1507	1405	1569	1798	1379	1508	1646	1677	895	913	939	1029	982	966	964
ENSMUSG00000030871|Ears2	375	355	352	360	414	342	308	361	322	238	238	261	297	243	259	299
ENSMUSG00000030872|Gga2	954	858	775	869	911	728	882	882	898	182	218	246	215	182	191	186
ENSMUSG00000030873|Scnn1b	17	23	5	6	16	8	7	7	28	5	10	4	5	4	4	11
ENSMUSG00000030876|Mettl9	1049	1083	944	1042	1083	900	944	925	1154	711	717	754	735	783	820	784
ENSMUSG00000030877|4933427G17Rik	8	7	6	6	8	11	7	12	17	2903	3075	3041	3015	2766	3270	3070
ENSMUSG00000030878|Cdr2	320	318	292	266	253	261	290	257	252	1620	1549	1706	1749	1703	1784	1706
ENSMUSG00000030879|Mrpl17	680	720	603	634	811	685	686	638	695	405	391	383	441	396	381	388
ENSMUSG00000030880|Polr3e	706	677	610	625	709	565	659	794	515	1273	1381	1351	1472	1329	1395	1295
ENSMUSG00000030881|Arfip2	1001	1109	961	937	1024	886	983	906	1049	289	273	273	288	255	265	272
ENSMUSG00000030882|Dnhd1	663	655	519	614	785	631	641	614	599	7037	6949	7236	8358	8326	8261	8041
ENSMUSG00000030884|Uqcrc2	2176	2482	2038	2248	2669	2051	2244	2145	2235	2545	2417	2440	2645	2629	3132	2826
ENSMUSG00000030887|Pdzd9	1	1	2	0	1	2	0	1	2	4265	4027	4139	4537	4261	4504	4468
ENSMUSG00000030888|Rrp8	423	353	371	340	454	432	359	342	343	193	117	164	151	147	175	167
ENSMUSG00000030889|Vwa3a	367	325	349	331	406	253	311	376	352	2617	2929	2932	2721	2793	2975	2929
ENSMUSG00000030890|Ilk	2146	2360	1687	2012	2091	2236	2027	1705	2391	627	635	617	734	610	700	683
ENSMUSG00000030894|Tpp1	1088	1192	1055	1144	1136	894	1071	1056	1388	125	117	124	125	120	142	103
ENSMUSG00000030895|Hpx	23	18	13	15	19	21	14	17	16	15	26	7	15	15	22	20
ENSMUSG00000030897|Cnga4	9	1	4	4	13	6	4	2	8	87	95	118	100	104	103	86
ENSMUSG00000030898|Cckbr	6	8	12	10	20	10	13	15	8	0	1	2	0	1	2	1
ENSMUSG00000030905|Crym	13	15	8	12	14	11	16	0	26	5	1	2	3	4	3	7
ENSMUSG00000030909|Anks4b	23	14	15	15	17	6	20	13	9	70	68	73	98	55	76	92
ENSMUSG00000030911|Zp2	880	536	699	707	606	427	510	712	686	3	0	0	2	0	1	0
ENSMUSG00000030917|Tmem159	583	519	428	482	873	565	531	514	1108	154	167	151	159	163	168	155
ENSMUSG00000030921|Trim30a	375	467	340	275	465	388	484	351	583	29	59	39	42	48	51	53
ENSMUSG00000030922|Lyrm1	37	46	57	41	50	34	55	38	47	854	855	927	953	874	932	921
ENSMUSG00000030924|2610020H08Rik	190	161	162	168	183	133	130	189	184	4284	4208	4392	4848	4250	4310	4164
ENSMUSG00000030929|Eri2	484	358	364	423	451	308	391	407	452	462	418	443	494	433	416	409
ENSMUSG00000030930|Chst15	401	416	349	428	345	430	371	353	404	104	100	105	141	92	116	106
ENSMUSG00000030934|Oat	2635	2884	2348	2627	3083	2706	2661	2276	3423	1099	1087	1037	1137	942	1130	1117
ENSMUSG00000030935|Acsm3	38	97	44	26	11	13	33	14	37	41	42	56	50	46	46	46
ENSMUSG00000030942|Thumpd1	861	783	783	798	935	857	816	838	857	980	950	1009	1108	855	994	1029
ENSMUSG00000030945|Acsm2	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0
ENSMUSG00000030946|Lhpp	329	364	323	335	333	324	316	306	438	107	114	109	120	107	111	128
ENSMUSG00000030954|Gp2	0	2	2	0	4	2	4	2	1	1	0	5	1	0	1	2
ENSMUSG00000030956|Fam53b	945	905	724	769	928	769	858	834	994	429	447	468	476	472	486	461
ENSMUSG00000030960|Mettl10	386	402	380	388	438	345	372	382	421	146	170	142	167	162	176	215
ENSMUSG00000030963|Umod	0	7	3	0	0	1	0	7	0	4	1	2	3	1	2	1
ENSMUSG00000030965|Fam175b	880	778	745	756	887	660	772	755	829	1334	1264	1366	1539	1386	1393	1415
ENSMUSG00000030966|Trim21	297	300	256	248	327	255	319	264	322	43	29	43	37	48	38	43
ENSMUSG00000030967|Zranb1	1678	1363	1451	1537	1880	1369	1467	1521	1633	5547	5656	5769	5864	5368	5832	5717
ENSMUSG00000030968|Pdilt	0	0	0	0	0	1	0	2	1	5992	6286	6460	5958	5479	6154	5744
ENSMUSG00000030970|Ctbp2	1128	1187	1014	1141	1214	1158	1104	1131	1139	1121	1153	1187	1201	1183	1280	1253
ENSMUSG00000030972|Acsm5	8	31	4	3	2	2	17	2	8	10	10	4	8	3	7	5
ENSMUSG00000030976|Tex36	0	1	2	0	0	0	1	1	0	3278	3226	3495	3167	2780	3164	3042
ENSMUSG00000030978|Rrm1	1231	1218	1099	1211	1639	1217	984	1158	1603	3356	3209	3311	3766	3459	3633	3650
ENSMUSG00000030979|Uros	270	237	231	258	294	218	275	197	209	264	303	287	306	287	347	283
ENSMUSG00000030980|2310008H09Rik	1692	1565	1459	1591	2087	1503	1458	1601	1549	6183	6065	6285	6354	5985	6556	6389
ENSMUSG00000030981|Mmp21	1	0	0	0	0	2	1	2	0	1	2	0	2	0	2	2
ENSMUSG00000030982|9030624J02Rik	1389	1330	1195	1372	1597	1201	1351	1237	1650	1058	992	1002	1143	1054	1119	1017
ENSMUSG00000030983|Bccip	591	562	557	548	609	558	546	533	535	284	244	234	294	264	289	261
ENSMUSG00000030986|Dhx32	1107	1076	928	1069	1295	1059	1010	851	928	1437	1338	1462	1479	1364	1469	1397
ENSMUSG00000030987|Stim1	568	542	494	542	578	529	553	500	655	3241	3329	3465	3745	3550	3734	3576
ENSMUSG00000030990|Pgap2	719	883	763	934	734	690	791	871	802	2000	2075	2040	2044	2078	2219	2156
ENSMUSG00000030994|D7Ertd443e	92	49	94	59	103	82	83	82	105	2880	3024	3052	3234	2594	2536	2550
ENSMUSG00000030996|Art1	1	0	3	2	1	1	3	3	1	233	213	206	201	194	192	201
ENSMUSG00000031004|Mki67	3583	3337	3331	3456	4992	2999	2877	4148	4731	2137	2100	2166	2321	2291	2434	2294
ENSMUSG00000031007|Atp6ap2	1018	1069	852	1012	1071	900	867	824	970	364	389	414	368	379	407	361
ENSMUSG00000031010|Usp9x	10530	9630	9645	10135	11180	8953	9352	10139	10553	5874	5712	6015	6537	5585	5969	5738
ENSMUSG00000031012|Cask	1199	1272	1068	1158	1318	1083	1096	1129	1307	159	141	143	181	111	153	124
ENSMUSG00000031015|Swap70	1294	1050	942	977	1110	941	902	901	1058	246	193	206	208	223	288	233
ENSMUSG00000031016|Wee1	189	152	124	135	199	155	151	167	156	1208	1258	1160	1228	1086	1148	1083
ENSMUSG00000031021|Tmem9b	502	567	496	540	554	484	470	444	502	657	689	631	787	631	753	742
ENSMUSG00000031022|BC051019	121	100	101	104	116	89	78	128	93	10	8	5	10	12	5	4
ENSMUSG00000031023|Akip1	211	202	191	184	195	163	171	182	205	580	563	535	556	495	476	487
ENSMUSG00000031024|St5	1479	1257	1255	1256	1567	1206	1304	1319	1677	1046	1025	1132	1163	1105	1096	1038
ENSMUSG00000031026|Trim66	9	15	5	10	11	11	6	4	26	1172	1220	1273	1195	1126	1311	1233
ENSMUSG00000031027|Stk33	71	79	72	68	62	73	76	76	69	11343	11295	11530	12496	11236	11707	11493
ENSMUSG00000031028|Tub	111	67	88	117	93	81	80	86	87	708	735	772	826	820	873	849
ENSMUSG00000031029|Eif3f	1562	1720	1490	1488	1851	1521	1621	1459	1598	2007	1900	1885	2048	2094	2003	2021
ENSMUSG00000031059|Ndufb11	953	1082	927	968	1051	861	1042	829	932	205	210	213	222	175	235	201
ENSMUSG00000031060|Rbm10	739	727	748	783	855	682	739	807	781	281	303	299	380	273	289	280
ENSMUSG00000031065|Cdk16	2063	2128	1850	2084	2413	1900	2085	2126	2559	2910	3060	2959	3102	2634	2451	2574
ENSMUSG00000031066|Usp11	874	784	790	819	1025	651	816	1064	1043	185	191	177	168	201	208	202
ENSMUSG00000031068|Glrx3	934	934	768	884	1145	836	882	826	971	6588	6549	6602	6609	6582	7086	6682
ENSMUSG00000031070|Mrgprf	57	64	41	44	42	39	46	42	97	2	3	3	10	3	4	5
ENSMUSG00000031072|Oraov1	256	288	203	241	227	231	222	235	280	359	380	397	394	414	524	446
ENSMUSG00000031073|Fgf15	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	1
ENSMUSG00000031074|Fgf3	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0
ENSMUSG00000031075|Ano1	1970	1818	1726	1775	1912	1605	1835	1664	1805	649	626	603	694	598	680	611
ENSMUSG00000031077|Fadd	276	256	230	237	286	190	256	207	297	144	146	136	160	155	118	131
ENSMUSG00000031078|Cttn	3239	2497	2148	2623	3608	2718	2215	2217	2720	1191	1123	1266	1342	1235	1210	1226
ENSMUSG00000031079|Zfp300	107	97	105	140	89	96	100	90	108	26	23	27	33	26	29	31
ENSMUSG00000031085|Gm498	0	0	4	0	0	0	3	0	1	3789	3841	3869	3877	4038	3964	4001
ENSMUSG00000031089|Slc6a14	173	66	39	32	21	23	20	16	25	219	228	194	204	197	219	199
ENSMUSG00000031090|Nadsyn1	123	118	121	127	146	126	135	125	124	382	430	416	431	439	467	430
ENSMUSG00000031093|Dock11	512	704	454	431	520	494	520	408	835	153	140	151	174	144	160	136
ENSMUSG00000031095|Cul4b	1456	1341	1351	1332	1560	1124	1303	1225	1600	2746	2903	3034	2978	2618	2898	2872
ENSMUSG00000031097|Tnni2	32	42	16	17	15	20	5	8	19	2	0	0	3	0	2	0
ENSMUSG00000031098|Syt8	4	26	0	1	2	2	1	0	0	0	0	0	1	0	0	3
ENSMUSG00000031099|Smarca1	3602	4251	4164	4682	4963	2672	4463	4216	4640	451	406	442	483	415	415	468
ENSMUSG00000031101|Sash3	45	87	64	49	59	51	75	37	39	16	21	25	19	19	7	16
ENSMUSG00000031103|Elf4	358	398	269	269	307	382	301	237	351	129	101	113	116	112	135	115
ENSMUSG00000031104|Rab33a	81	60	59	47	149	55	33	44	51	3	3	0	7	1	3	3
ENSMUSG00000031105|Slc25a14	98	84	91	78	109	84	73	78	96	101	129	104	125	117	123	126
ENSMUSG00000031107|Rbmx2	98	89	67	93	112	94	91	92	101	86	70	79	75	89	86	66
ENSMUSG00000031109|Enox2	381	389	346	438	445	319	365	356	537	32	49	33	40	30	37	24
ENSMUSG00000031111|Igsf1	6	9	16	11	5	8	7	8	13	1	2	0	1	0	1	0
ENSMUSG00000031112|2610018G03Rik	289	341	333	293	338	284	323	274	365	193	224	232	222	195	218	199
ENSMUSG00000031118|1700080O16Rik	0	0	0	1	0	0	0	0	2	843	957	945	957	808	823	943
