geneID	Gho_TRT_Liver_male_1	Gho_TRT_Liver_male_2	Gho_TRT_Liver_male_3	Gho_TRT_Liver_male_4	Gho_TRT_Liver_male_5	Gho_TRT_Liver_male_6	Gho_CTR_Liver_male_1	Gho_CTR_Liver_male_2	Gho_CTR_Liver_male_3	Gho_CTR_Liver_male_4	Gho_CTR_Liver_male_5	Gho_CTR_Liver_male_6
ENSMUSG00000006498|Ptbp1	1349	1406	1495	1525	1388	1406	1670	1570	1442	1451	1513	1567
ENSMUSG00000006517|Mvd	161	196	333	198	111	30	257	217	392	323	488	619
ENSMUSG00000006519|Cyba	73	86	78	70	99	112	107	54	108	71	108	76
ENSMUSG00000006522|Itih3	37513	35189	32854	42454	35914	63370	32179	34862	29926	30311	38605	28137
ENSMUSG00000006526|Tmem110	122	138	163	147	138	163	150	142	125	148	136	153
ENSMUSG00000006527|Sfmbt1	570	605	686	733	766	755	668	721	539	490	488	579
ENSMUSG00000006529|Itih1	17028	17366	17533	17914	16858	19858	16428	16101	17220	16557	16865	17496
ENSMUSG00000006538|Ihh	80	54	40	70	42	10	17	29	33	10	30	10
ENSMUSG00000006542|Prkag3	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000006546|Cryba2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006567|Atp7b	512	689	623	683	555	605	757	609	540	443	687	720
ENSMUSG00000006570|Defb2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006574|Slc4a1	6	6	12	3	17	14	0	3	4	2	14	3
ENSMUSG00000006575|Rundc3a	9	10	13	13	12	15	17	14	11	21	28	14
ENSMUSG00000006576|Slc4a3	6	0	12	8	9	9	5	8	5	14	4	12
ENSMUSG00000006585|Cdt1	33	19	15	32	50	41	48	33	38	18	20	27
ENSMUSG00000006586|Runx1t1	5	4	10	15	11	13	9	16	7	10	17	15
ENSMUSG00000006587|Snai3	1	3	0	1	6	1	1	1	0	2	1	0
ENSMUSG00000006589|Aprt	443	354	399	356	439	410	401	347	330	316	454	381
ENSMUSG00000006599|Gtf2h1	563	592	513	675	645	709	757	688	618	565	633	659
ENSMUSG00000006611|Hfe	783	734	916	953	905	1545	824	663	755	794	1278	940
ENSMUSG00000006638|Abhd1	97	89	94	107	121	91	177	143	99	123	79	113
ENSMUSG00000006641|Slc5a6	74	64	77	85	96	113	152	114	55	76	84	90
ENSMUSG00000006642|Tcf23	0	2	4	0	3	1	2	0	3	4	2	1
ENSMUSG00000006649|Nphs1	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000006651|Aplp1	5	5	6	5	8	10	5	3	3	8	2	6
ENSMUSG00000006673|Qrich1	900	1058	926	1023	1130	1281	1259	1230	1034	1039	1148	1167
ENSMUSG00000006675|P4htm	9	4	0	1	0	4	4	1	5	5	4	4
ENSMUSG00000006676|Usp19	904	909	837	954	1022	1188	1204	1030	969	806	1094	1102
ENSMUSG00000006678|Pola1	100	104	123	142	130	131	162	148	160	143	140	171
ENSMUSG00000006699|Cdc42	2547	2551	2752	3131	2578	2875	3009	2992	2869	2942	2551	3286
ENSMUSG00000006705|Pknox1	318	273	332	344	350	343	370	365	381	295	340	402
ENSMUSG00000006711|D130043K22Rik	34	41	78	57	32	41	54	66	72	64	159	145
ENSMUSG00000006715|Gmnn	111	52	83	77	100	125	137	89	83	54	92	119
ENSMUSG00000006717|Acot13	415	471	493	510	491	525	663	505	534	464	718	649
ENSMUSG00000006720|Zfp184	10	9	17	12	10	33	13	25	17	11	18	25
ENSMUSG00000006724|Cyp27b1	0	1	1	1	0	0	3	0	0	2	1	4
ENSMUSG00000006728|Cdk4	458	569	513	501	489	586	585	476	544	461	643	592
ENSMUSG00000006731|B4galnt1	825	821	743	839	732	661	1007	833	742	607	870	970
ENSMUSG00000006732|Mettl1	107	112	118	98	99	84	100	92	132	189	186	169
ENSMUSG00000006736|Tspan31	3561	3636	3921	3711	3898	4535	4086	3323	3235	3383	4122	4157
ENSMUSG00000006740|Kif5b	1652	1846	1666	1924	1848	1721	1717	1984	1781	1838	1504	1960
ENSMUSG00000006763|Saal1	131	112	123	129	101	118	92	131	78	108	122	107
ENSMUSG00000006764|Tph2	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000006777|Krt23	14	41	17	22	39	81	32	22	15	9	28	23
ENSMUSG00000006782|Cnp	295	244	333	349	311	240	287	233	340	301	230	325
ENSMUSG00000006784|Ttc25	3	11	6	3	2	7	6	4	8	8	3	4
ENSMUSG00000006800|Sulf2	138	121	124	158	233	502	272	141	141	87	267	198
ENSMUSG00000006818|Sod2	3615	3411	3379	3501	3625	3903	4179	3609	3482	3241	3801	4233
ENSMUSG00000006850|Tmco6	90	122	131	138	98	86	142	134	129	130	112	158
ENSMUSG00000006906|Stambp	48	56	58	75	61	76	58	81	36	44	55	67
ENSMUSG00000006920|Ezh1	360	354	392	420	449	447	423	384	365	366	346	396
ENSMUSG00000006930|Hap1	14	24	21	32	45	17	23	37	21	23	28	18
ENSMUSG00000006931|Leprel4	6	13	13	9	9	21	10	13	14	8	11	13
ENSMUSG00000006932|Ctnnb1	5272	5472	5721	6014	5700	5825	5396	5439	5544	5504	5546	5982
ENSMUSG00000006941|Eif1b	193	200	186	200	210	246	260	223	255	237	319	276
ENSMUSG00000006948|Klk4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006958|Chrd	86	92	101	80	96	123	94	86	74	59	103	69
ENSMUSG00000006998|Psmd2	2998	3050	3241	3113	2956	3174	3298	2875	3106	3135	3359	3891
ENSMUSG00000007021|Syngr3	4	2	0	0	2	2	3	1	0	0	1	1
ENSMUSG00000007029|Vars	355	284	324	308	327	372	362	265	307	283	495	387
ENSMUSG00000007030|Vwa7	2	7	4	3	7	3	9	5	2	5	3	1
ENSMUSG00000007033|Hspa1l	4	0	5	6	6	0	3	0	13	3	2	1
ENSMUSG00000007034|Slc44a4	2	4	2	3	0	4	1	7	9	5	1	4
ENSMUSG00000007035|Msh5	21	24	18	14	12	7	15	18	21	15	19	22
ENSMUSG00000007036|Abhd16a	555	613	533	575	510	536	741	559	579	525	558	666
ENSMUSG00000007038|Neu1	832	831	756	837	995	766	903	723	630	493	730	694
ENSMUSG00000007039|Ddah2	46	44	39	35	32	28	33	32	38	25	40	32
ENSMUSG00000007041|Clic1	143	181	165	241	250	232	228	178	231	200	227	244
ENSMUSG00000007050|Lsm2	139	141	125	138	137	129	181	102	119	136	137	137
ENSMUSG00000007080|Pole	103	63	81	79	96	91	103	69	47	58	67	57
ENSMUSG00000007097|Atp1a2	8	14	10	7	8	17	13	15	16	6	10	15
ENSMUSG00000007107|Atp1a4	0	1	4	2	4	6	2	1	5	0	4	9
ENSMUSG00000007122|Casq1	5	1	2	1	3	6	0	8	3	0	2	6
ENSMUSG00000007207|Stx1a	3	1	8	3	3	9	4	7	10	1	10	7
ENSMUSG00000007209|Ceacam9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000007216|Zfp775	48	46	42	52	55	49	50	41	37	54	44	41
ENSMUSG00000007279|Scube2	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000007338|Mrpl49	570	614	510	526	516	599	535	495	516	465	565	635
ENSMUSG00000007379|Dennd2c	33	22	38	25	28	30	20	27	27	24	22	13
ENSMUSG00000007411|Mark3	964	931	951	910	1008	855	1042	953	981	994	984	1191
ENSMUSG00000007415|Gatad1	977	1046	1004	1168	1057	1341	1255	1244	1086	999	1192	1266
ENSMUSG00000007440|Pcdha10	0	0	2	5	0	1	2	0	0	3	1	3
ENSMUSG00000007457|2310003L06Rik	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000007458|M6pr	2446	2414	2633	2818	2474	2587	2786	2634	2675	2643	2675	2902
ENSMUSG00000007476|Lrrc8a	1871	1820	1722	1918	2091	2293	2080	1760	1698	1677	1671	1964
ENSMUSG00000007480|Mc5r	0	0	0	2	0	0	1	0	0	0	0	0
ENSMUSG00000007564|Ppp2r1a	867	987	943	1012	1015	971	1228	945	1058	1013	1107	1266
ENSMUSG00000007570|Fance	116	131	149	159	121	158	123	93	159	101	178	158
ENSMUSG00000007589|Tinf2	158	226	228	179	220	173	198	204	207	187	208	189
ENSMUSG00000007591|Tssk4	2	0	5	2	10	2	3	1	2	2	1	4
ENSMUSG00000007594|Hapln4	63	49	63	46	41	70	38	36	23	43	64	49
ENSMUSG00000007603|Dus3l	123	146	128	164	163	160	195	165	139	144	179	160
ENSMUSG00000007610|Gtpbp3	152	144	158	129	142	156	149	133	141	136	192	167
ENSMUSG00000007613|Tgfbr1	629	631	677	741	710	828	901	969	775	829	592	834
ENSMUSG00000007617|Homer1	323	352	415	482	340	347	346	476	346	405	368	441
ENSMUSG00000007646|Rad51c	6	2	3	3	4	5	5	5	4	3	11	4
ENSMUSG00000007653|Gabrb2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000007655|Cav1	191	166	185	254	113	91	153	177	199	212	53	165
ENSMUSG00000007656|Arpp19	594	610	692	738	625	599	739	783	715	670	733	813
ENSMUSG00000007659|Bcl2l1	725	608	643	741	921	932	786	544	454	573	577	752
ENSMUSG00000007670|Khsrp	366	388	378	372	424	477	514	373	408	420	494	457
ENSMUSG00000007682|Dio2	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000007721|Ccdc124	370	349	369	325	412	318	403	350	353	317	409	413
ENSMUSG00000007739|Cct4	1517	1515	1533	1663	1504	1672	1779	1576	1771	1737	1730	2041
ENSMUSG00000007777|0610009B22Rik	245	230	304	331	262	337	323	279	301	267	270	343
ENSMUSG00000007783|Cpt1c	3	3	10	5	8	7	12	2	1	6	5	16
ENSMUSG00000007805|Twist2	0	0	2	0	2	2	2	0	1	0	1	0
ENSMUSG00000007812|Zfp655	525	658	568	758	1007	1002	1182	969	722	810	614	702
ENSMUSG00000007815|Rhoa	1948	2120	2129	2299	2173	2531	2492	2544	2250	2124	2321	2650
ENSMUSG00000007817|Zmiz1	320	398	449	426	448	709	476	437	266	264	289	331
ENSMUSG00000007827|Ankrd26	176	173	150	167	135	138	145	166	178	183	194	191
ENSMUSG00000007833|Aldh16a1	1108	1078	1094	1190	1282	1406	1431	1172	946	1026	1180	1358
ENSMUSG00000007836|Hnrnpa0	513	534	675	577	651	715	808	660	578	505	796	745
ENSMUSG00000007837|Prrg2	272	282	244	287	274	243	240	230	233	188	281	303
ENSMUSG00000007850|Hnrnph1	1375	1321	1420	1689	1255	1460	1372	1684	1717	1699	1526	1804
ENSMUSG00000007867|Ift43	27	42	26	30	47	35	32	37	36	31	44	40
ENSMUSG00000007872|Id3	337	264	172	386	842	789	1022	655	289	450	887	232
ENSMUSG00000007877|Tcap	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000007880|Arid1a	381	394	482	423	426	594	546	486	347	268	411	408
ENSMUSG00000007888|Crlf1	0	0	0	1	0	1	2	1	0	1	1	1
ENSMUSG00000007891|Ctsd	5738	5405	6184	6391	6382	6067	6276	5189	5350	5452	6099	6715
ENSMUSG00000007892|Rplp1	5501	4609	5641	5381	4933	5243	4298	3614	4369	3945	6146	5065
ENSMUSG00000007907|Cabs1	0	0	0	2	2	4	1	0	0	0	0	0
ENSMUSG00000007908|Hmgcll1	0	0	0	0	0	2	2	0	0	2	2	1
ENSMUSG00000007944|Ttc9b	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000007946|Phox2a	0	0	3	0	1	1	1	0	1	0	0	0
ENSMUSG00000007950|Abhd8	71	73	84	77	59	51	81	48	61	41	106	67
ENSMUSG00000007987|Rabl5	38	44	44	35	19	48	47	41	30	33	37	33
ENSMUSG00000007989|Fzd3	10	12	7	4	14	9	2	10	10	6	8	14
ENSMUSG00000008028|1700008O03Rik	0	2	0	0	1	0	0	0	0	3	0	0
ENSMUSG00000008035|Mid1ip1	591	431	712	524	505	510	642	718	650	854	816	758
ENSMUSG00000008036|Ap2s1	729	718	713	683	726	759	787	678	668	615	862	838
ENSMUSG00000008090|Fgfrl1	339	413	438	368	454	413	583	420	368	259	331	375
ENSMUSG00000008129|4930432K21Rik	0	0	0	1	1	2	0	5	0	1	3	1
ENSMUSG00000008136|Fhl2	8	12	13	12	0	2	4	5	12	9	4	17
ENSMUSG00000008140|Emc10	698	623	688	684	786	769	871	645	614	594	854	798
ENSMUSG00000008153|Clstn3	52	84	129	84	45	45	42	21	51	42	72	58
ENSMUSG00000008167|Fbxw9	441	520	518	444	390	364	361	303	287	321	310	339
ENSMUSG00000008193|Spib	2	0	10	5	5	9	8	8	15	3	9	12
ENSMUSG00000008200|Fnbp4	425	416	559	514	543	506	585	550	558	477	533	619
ENSMUSG00000008206|Lass4	78	75	54	60	72	89	65	86	67	50	51	83
ENSMUSG00000008226|Scrn3	1096	1068	1149	1220	1130	1169	1220	1234	1144	1153	1003	1322
ENSMUSG00000008301|Phax	381	354	399	431	416	521	478	463	381	397	411	422
ENSMUSG00000008305|Tle1	1750	1406	1850	1690	1464	1187	1544	1553	1834	1972	1820	2428
ENSMUSG00000008307|1700109H08Rik	5	8	11	8	4	11	9	10	5	5	7	6
ENSMUSG00000008318|Relt	6	9	13	10	2	19	16	6	3	7	6	2
ENSMUSG00000008333|Snrpb2	168	173	215	231	193	235	285	222	231	230	200	238
ENSMUSG00000008348|Ubc	2470	3139	2345	2510	3576	3286	3799	2354	3420	3607	3073	3764
ENSMUSG00000008373|Prpf31	182	207	262	195	153	234	265	254	253	262	338	270
ENSMUSG00000008384|Sertad1	99	69	41	57	107	78	105	103	83	51	87	107
ENSMUSG00000008393|Carhsp1	1527	1627	1642	1533	1923	1982	1660	1422	1391	1226	1437	1624
ENSMUSG00000008398|Elk3	222	182	183	232	237	262	262	236	171	166	244	197
ENSMUSG00000008429|Herpud2	346	348	337	322	343	384	431	361	344	300	393	464
ENSMUSG00000008435|Rdh13	177	159	134	159	184	238	241	163	192	193	244	215
ENSMUSG00000008438|Adam21	0	0	2	8	1	6	4	3	4	3	3	2
ENSMUSG00000008450|Nutf2	69	82	86	102	72	70	62	87	91	87	101	87
ENSMUSG00000008461|Fut1	0	0	2	1	0	2	0	2	2	0	0	0
ENSMUSG00000008475|Arpc5	1068	1081	1139	1307	1231	1458	1355	1315	1282	1267	1308	1486
ENSMUSG00000008482|Rnf151	1	1	1	0	1	0	3	1	0	0	0	2
ENSMUSG00000008489|Elavl2	0	0	3	1	0	0	0	1	0	0	0	0
ENSMUSG00000008496|Pou2f2	11	14	8	5	15	15	6	12	20	14	11	13
ENSMUSG00000008540|Mgst1	51977	49276	58247	56938	51079	50268	52897	44336	44755	52721	39700	53830
ENSMUSG00000008575|Nfib	2042	2456	2881	2978	2259	3034	2404	3033	2287	2323	2306	2700
ENSMUSG00000008590|Htr3b	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000008601|Rab25	1	1	2	10	0	4	4	3	5	2	2	0
ENSMUSG00000008604|Ubqln4	326	335	377	363	420	456	494	437	410	426	625	586
ENSMUSG00000008658|Rbfox1	0	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000008668|Rps18	3268	3087	3337	3664	3254	3324	3243	2636	3389	2825	3627	3521
ENSMUSG00000008682|Rpl10	4072	3976	4123	4497	3947	4462	4144	3603	4411	4289	4470	4776
ENSMUSG00000008683|Rps15a	1379	1282	1431	1512	1217	1447	1298	1056	1403	1306	1544	1438
ENSMUSG00000008690|Ncaph2	645	690	687	716	813	877	891	686	719	692	833	822
ENSMUSG00000008730|Hipk1	1578	1535	1693	1775	1722	1902	1814	1929	1468	1517	1283	1778
ENSMUSG00000008734|Gprc5b	4	8	8	11	14	14	5	6	9	6	12	13
ENSMUSG00000008763|Man1a2	1156	1196	1230	1453	1382	1716	1568	1634	1281	1274	1413	1400
ENSMUSG00000008789|Ceacam5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000008813|Tppp2	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000008822|Acyp1	95	73	80	103	97	100	91	85	68	85	68	80
ENSMUSG00000008843|Cldn13	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000008845|Cd163	414	275	434	637	534	351	714	438	292	508	292	452
ENSMUSG00000008855|Hdac5	568	562	572	590	636	731	672	560	555	360	497	636
ENSMUSG00000008859|Rala	376	373	398	420	389	431	409	403	402	390	441	477
ENSMUSG00000008874|Clec3a	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000008892|Vdac3	898	944	1022	1144	1028	1046	1105	940	1244	1212	1126	1330
ENSMUSG00000008932|Slc1a7	1	1	0	1	0	3	0	3	0	1	2	3
ENSMUSG00000008958|Vps72	192	220	198	211	193	213	231	216	185	207	244	270
ENSMUSG00000008976|Gabpa	1068	1104	1108	1392	1198	1385	1512	1540	1373	1313	1212	1537
ENSMUSG00000008999|Bmp7	40	28	56	22	45	30	31	37	20	28	21	33
ENSMUSG00000009013|Dynll1	251	261	237	208	183	163	151	142	205	266	222	211
ENSMUSG00000009030|Pdcl	437	485	513	560	505	581	614	637	493	602	545	675
ENSMUSG00000009035|Tmem184b	113	95	124	121	93	125	108	118	99	85	138	126
ENSMUSG00000009047|Gm5965	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009070|Rtdr1	0	1	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000009073|Nf2	419	453	432	418	527	540	568	514	481	454	554	515
ENSMUSG00000009075|Cabp7	0	1	2	1	2	0	0	0	0	0	2	2
ENSMUSG00000009076|Zmat5	46	79	66	69	69	70	73	74	80	55	107	58
ENSMUSG00000009079|Ewsr1	1035	1191	1204	1335	1092	1292	1500	1347	1455	1352	1411	1590
ENSMUSG00000009090|Ap1b1	918	1088	1152	1040	1065	1151	1114	1120	1027	1026	1334	1174
ENSMUSG00000009092|Derl3	129	213	43	51	188	144	75	37	45	12	32	39
ENSMUSG00000009093|Gstt4	1	0	0	0	0	3	1	2	0	0	0	0
ENSMUSG00000009097|Tbx1	0	0	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000009108|Gnat2	54	55	39	38	45	31	9	18	11	24	32	19
ENSMUSG00000009112|Bcl2l13	655	692	678	641	760	763	801	811	638	664	691	806
ENSMUSG00000009114|2610028H24Rik	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000009115|1700027D21Rik	1	2	1	4	0	0	0	4	4	2	3	5
ENSMUSG00000009145|Dqx1	133	179	217	199	228	300	232	248	186	155	197	211
ENSMUSG00000009185|Ccl8	0	1	0	0	0	0	0	0	0	1	4	0
ENSMUSG00000009207|Lnp	104	121	158	137	115	115	108	189	118	138	104	134
ENSMUSG00000009210|2310007L24Rik	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009214|Tmem8c	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009216|Fam163b	0	1	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000009246|Trpm5	1	1	6	6	8	3	6	2	2	0	4	3
ENSMUSG00000009248|Ascl2	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000009281|Rarres2	5261	5617	5047	5825	6261	7851	7454	5669	6422	5487	6862	7145
ENSMUSG00000009291|Pttg1ip	3442	3557	3619	4012	4340	4975	4455	3536	3543	3289	3532	4180
ENSMUSG00000009292|Trpm2	184	187	179	194	200	206	205	153	149	193	170	151
ENSMUSG00000009293|Ube2g2	613	557	496	537	651	659	620	513	576	645	583	632
ENSMUSG00000009350|Mpo	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009356|Lpo	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009376|Met	2894	3424	3269	3926	3194	3707	3037	3432	2926	2529	2639	3673
ENSMUSG00000009378|Slc16a12	948	1051	1050	1250	964	743	1256	1229	911	900	844	1412
ENSMUSG00000009394|Syn2	1	3	8	0	3	2	2	0	0	1	5	1
ENSMUSG00000009406|Elk1	95	104	110	125	132	168	124	116	76	82	84	131
ENSMUSG00000009418|Nav1	146	150	165	193	131	155	87	135	110	82	88	119
ENSMUSG00000009470|Tnpo1	2330	2293	2400	2828	2476	2797	2681	3165	2500	2432	2076	2747
ENSMUSG00000009471|Myod1	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000009487|Otog	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000009535|Rnmt	277	319	270	325	310	316	363	348	310	344	262	358
ENSMUSG00000009545|Kcnq1	43	36	38	18	27	24	45	29	46	29	31	31
ENSMUSG00000009549|Srp14	394	443	430	477	437	474	490	407	476	461	470	509
ENSMUSG00000009551|6330409D20Rik	0	0	0	3	0	1	0	1	2	0	0	0
ENSMUSG00000009555|Cdk9	388	450	420	406	528	604	512	433	334	341	478	428
ENSMUSG00000009563|Tor2a	608	552	606	542	554	666	619	494	530	461	624	571
ENSMUSG00000009566|Fpgs	2619	2662	3090	2903	2851	3032	2940	2452	2627	2308	2968	3367
ENSMUSG00000009569|Mkl2	647	699	699	858	706	659	608	583	515	499	411	627
ENSMUSG00000009575|Cbx5	939	948	986	1174	952	1184	1141	1192	1144	1010	1063	1084
ENSMUSG00000009580|Odam	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009585|Apobec3	18	57	48	43	41	56	48	44	34	36	29	53
ENSMUSG00000009588|St6galnac1	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000009596|Taf7l	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009614|Sardh	13948	14174	12383	13899	15177	20632	17209	12049	11946	10201	19461	16623
ENSMUSG00000009621|Vav2	616	633	653	582	572	793	689	656	665	537	744	693
ENSMUSG00000009628|Tex15	2	0	0	0	1	3	4	1	0	3	0	2
ENSMUSG00000009630|Ppp2cb	506	592	556	533	593	660	628	641	599	494	605	564
ENSMUSG00000009633|G0s2	550	498	347	364	1361	1199	1095	964	231	174	452	316
ENSMUSG00000009640|Dmap1	155	172	179	173	171	180	237	173	203	197	214	216
ENSMUSG00000009646|Pla2g12b	741	806	829	828	867	942	904	734	787	644	792	844
ENSMUSG00000009647|Ccdc109a	576	671	661	680	620	497	636	556	674	586	545	765
ENSMUSG00000009654|Oit3	691	745	790	836	883	626	885	937	898	831	836	971
ENSMUSG00000009670|Tex11	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009681|Bcr	545	575	622	568	531	650	525	455	450	353	736	569
ENSMUSG00000009687|Fxyd5	34	39	43	75	43	60	68	56	77	57	76	81
ENSMUSG00000009731|Kcnd1	1	4	7	4	7	5	3	3	0	0	3	2
ENSMUSG00000009733|Tfcp2	114	128	150	126	160	176	154	144	140	112	136	151
ENSMUSG00000009734|Pou6f2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009739|Pou6f1	97	119	108	118	92	87	84	68	119	77	71	102
ENSMUSG00000009741|Ubp1	833	846	782	857	815	904	986	899	930	801	894	1046
ENSMUSG00000009772|Nuak2	182	137	122	154	297	296	298	300	92	158	173	105
ENSMUSG00000009828|Ick	288	337	364	373	364	341	351	356	337	367	324	395
ENSMUSG00000009863|Sdhb	3122	3238	3182	3392	3548	3720	4080	2893	3502	3317	4009	4083
ENSMUSG00000009876|Cox4i2	1	1	1	0	8	5	0	0	0	3	0	2
ENSMUSG00000009894|Snap47	1120	1276	1225	1305	1209	1188	1173	1086	1059	1078	1113	1277
ENSMUSG00000009900|Wnt3a	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000009905|Kdsr	299	257	272	332	352	350	478	434	365	305	281	388
ENSMUSG00000009907|Vps4b	1067	1164	1104	1333	1211	1282	1505	1391	1250	1389	1138	1509
ENSMUSG00000009927|Rps25	2569	2643	2724	2988	2651	2840	2694	2234	2928	2384	3229	3019
ENSMUSG00000009941|Nxf2	0	0	0	3	0	0	0	0	0	0	0	3
ENSMUSG00000009995|Taz	567	620	549	727	623	590	670	566	605	591	682	768
ENSMUSG00000010021|Kif19a	3	5	1	2	2	6	6	0	1	2	4	6
ENSMUSG00000010025|Aldh3a2	2578	2463	2538	2735	2535	2027	5659	3767	2999	2752	1846	5721
ENSMUSG00000010044|Zmynd10	1	1	3	1	2	2	4	3	2	1	10	2
ENSMUSG00000010045|Tmem115	389	387	385	405	472	461	559	416	427	454	501	492
ENSMUSG00000010047|Hyal2	701	662	730	711	920	942	984	841	629	502	640	699
ENSMUSG00000010048|Ifrd2	406	412	381	399	498	450	512	536	454	410	545	516
ENSMUSG00000010051|Hyal1	874	828	907	917	995	893	1259	1111	1108	1093	1091	1441
ENSMUSG00000010054|Tusc2	548	497	510	504	602	556	631	584	475	488	652	562
ENSMUSG00000010057|Nprl2	220	230	261	229	265	301	262	268	277	234	268	266
ENSMUSG00000010064|Slc38a3	16311	14959	16522	16667	22911	31818	25420	22048	16087	16371	21578	19147
ENSMUSG00000010066|Cacna2d2	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000010067|Rassf1	109	129	142	181	220	147	145	146	165	188	132	184
ENSMUSG00000010080|Epn3	2	2	2	11	3	1	1	4	1	2	1	0
ENSMUSG00000010086|Rnf112	1	0	0	0	0	0	0	0	2	0	0	2
ENSMUSG00000010095|Slc3a2	537	508	531	551	670	624	752	611	638	532	604	788
ENSMUSG00000010097|Nxf1	703	675	676	776	801	834	816	760	814	801	890	816
ENSMUSG00000010110|Stx5a	801	927	842	836	945	844	1132	1143	1160	1457	1045	1242
ENSMUSG00000010122|Slc47a1	1533	1640	1734	1720	1664	1630	2339	1566	1761	1723	1618	2412
ENSMUSG00000010136|1700027A23Rik	0	0	0	0	1	0	0	1	0	0	0	1
ENSMUSG00000010142|Tnfrsf13b	3	8	1	6	5	11	5	8	4	2	3	7
ENSMUSG00000010154|Spire2	0	1	0	2	1	3	5	1	0	1	4	1
ENSMUSG00000010175|Prox1	1310	1461	1335	1435	1892	2707	1999	2721	1129	976	1639	1358
ENSMUSG00000010205|Raver1	203	242	243	209	207	241	244	195	227	180	250	220
ENSMUSG00000010277|2610507B11Rik	3669	4283	4225	4260	4278	4663	4514	4346	4131	3697	4172	4693
ENSMUSG00000010290|AI597479	265	309	320	356	277	298	280	327	329	310	318	307
ENSMUSG00000010307|Tmem86a	74	57	48	55	71	68	78	58	66	57	74	66
ENSMUSG00000010311|Optc	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000010342|Tex14	7	5	0	6	8	5	7	6	7	4	8	9
ENSMUSG00000010358|Ifi35	291	281	268	342	273	267	414	291	377	440	291	453
ENSMUSG00000010362|Rdm1	84	100	88	73	84	135	98	68	107	76	124	126
ENSMUSG00000010376|Nedd8	782	713	828	764	740	688	694	650	697	578	734	794
ENSMUSG00000010392|Gosr1	742	762	773	905	847	1064	1020	981	987	852	842	983
ENSMUSG00000010406|Mrpl52	411	403	452	450	480	507	412	388	409	377	520	473
ENSMUSG00000010435|Spaca7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000010453|Kansl3	846	855	780	935	1087	1197	923	744	751	631	899	888
ENSMUSG00000010461|Eya4	6	8	8	11	3	7	9	2	7	12	5	16
ENSMUSG00000010476|Ebf3	0	3	2	0	0	1	4	2	1	1	0	0
ENSMUSG00000010492|Gm16119	2	3	1	8	7	1	5	6	4	0	2	6
ENSMUSG00000010505|Myt1	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000010517|Faf1	907	932	1012	1045	1024	1140	1142	1025	1009	965	1022	1163
ENSMUSG00000010529|Gm266	0	0	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000010538|Tsacc	41	28	26	33	39	38	38	30	26	20	45	33
ENSMUSG00000010554|Mettl16	307	301	310	354	350	342	294	321	324	330	377	339
ENSMUSG00000010592|Dazl	0	0	1	3	0	2	0	2	0	0	3	0
