"","Gene_name","Sample_CTR1_liver_ZT02","Sample_CTR1_liver_ZT06","Sample_CTR1_liver_ZT10","Sample_CTR1_liver_ZT14","Sample_CTR1_liver_ZT18","Sample_CTR1_liver_ZT22","Sample_CTR2_liver_ZT02","Sample_CTR2_liver_ZT06","Sample_CTR2_liver_ZT10","Sample_CTR2_liver_ZT14","Sample_CTR2_liver_ZT18","Sample_CTR2_liver_ZT22"
"1327","ENSMUSG00000010517|Faf1",1838,1867,1645,1731,1724,1825,1647,2155,3621,1520,1633,1619
"1329","ENSMUSG00000010538|Tsacc",75,53,59,61,54,55,34,50,87,64,53,56
"1330","ENSMUSG00000010554|Mettl16",787,589,525,609,632,674,704,670,979,590,706,524
"1332","ENSMUSG00000010601|Apol7a",4159,4202,4922,3990,2860,3660,3630,4953,7841,3333,3191,2910
"1333","ENSMUSG00000010607|Pigyl",342,459,385,405,468,372,356,473,922,408,435,369
"1334","ENSMUSG00000010608|Rbm25",2369,1901,2770,3124,2523,2554,2251,2236,6116,2706,2444,1965
"1335","ENSMUSG00000010609|Psen2",8994,8911,3681,3727,7275,7265,7587,13373,5538,4140,8108,6090
"1336","ENSMUSG00000010651|Acaa1b",24332,24920,33332,41045,31669,19445,37623,37681,64146,33222,34770,16661
"1337","ENSMUSG00000010660|Plcd1",25,21,22,21,34,23,27,24,30,17,21,25
"1338","ENSMUSG00000010663|Fads1",18240,16183,15587,15094,15688,16047,18094,20621,27537,14049,14462,11133
"1339","ENSMUSG00000010721|Lmbr1",228,284,278,342,226,311,267,284,521,263,246,260
"1340","ENSMUSG00000010751|Tnfrsf22",27,16,14,21,21,16,20,32,18,17,15,17
"1341","ENSMUSG00000010755|Cars",961,1182,829,1002,996,1093,1366,1401,2477,1045,798,862
"1342","ENSMUSG00000010760|Phlda2",23,13,4,6,28,12,5,16,13,20,44,15
"1344","ENSMUSG00000010797|Wnt2",230,166,96,170,186,146,181,269,387,170,183,152
"1347","ENSMUSG00000010830|Kdelr3",18,15,5,9,5,18,20,7,11,14,4,8
"1349","ENSMUSG00000010911|Apip",547,460,384,474,368,459,426,496,815,409,384,378
"1350","ENSMUSG00000010914|Pdhx",1471,1254,1198,1510,1358,1179,1265,1283,3034,1365,1481,1125
"1351","ENSMUSG00000010936|Vac14",829,738,912,1209,965,722,785,864,1731,989,1115,605
"1352","ENSMUSG00000011008|Mcoln2",6,21,24,10,4,14,10,23,29,16,7,14
"1353","ENSMUSG00000011034|Slc5a1",210,158,205,128,111,142,109,85,151,72,92,97
"1355","ENSMUSG00000011096|Akt1s1",1465,1396,1115,1279,1373,1223,1487,1532,2580,1211,1557,1178
"1356","ENSMUSG00000011114|Tbrg1",1849,1540,1025,1254,1523,1337,1457,1694,2274,1259,1653,1262
"1358","ENSMUSG00000011148|Adssl1",549,498,606,490,318,480,444,743,865,527,407,436
"1360","ENSMUSG00000011158|Brf1",629,722,791,898,737,715,630,754,1552,737,699,628
"1362","ENSMUSG00000011179|Odc1",3468,2148,1984,3202,4220,2805,3170,2923,5290,3355,4454,2265
"1363","ENSMUSG00000011254|Thg1l",111,83,71,78,78,95,129,96,214,73,72,107
"1364","ENSMUSG00000011256|Adam19",78,79,46,46,64,79,82,105,90,69,62,67
"1365","ENSMUSG00000011257|Pabpc4",2888,1963,2077,1877,2008,1829,2327,2172,4245,2125,2387,1674
"1366","ENSMUSG00000011263|Exoc3l2",235,259,216,212,214,282,211,322,466,197,251,237
"1367","ENSMUSG00000011267|Zfp296",29,13,8,5,31,11,29,11,14,10,26,4
"1368","ENSMUSG00000011305|Plin5",1864,1079,1147,2840,2497,1608,1925,1230,2505,2741,2794,1806
"1369","ENSMUSG00000011306|Sugp1",345,291,327,279,346,335,371,345,561,443,363,261
"1372","ENSMUSG00000011382|Dhdh",7427,6740,7921,7517,5278,6475,6845,8268,13209,6155,5787,4857
"1373","ENSMUSG00000011427|Zfp790",570,403,562,746,528,495,841,509,1231,700,521,478
"1374","ENSMUSG00000011463|Cpb1",2,2,4,3,1236,9,1,1,1,2,0,2
"1378","ENSMUSG00000011658|Fuz",400,323,296,294,282,308,299,422,464,295,328,337
"1380","ENSMUSG00000011752|Pgam1",1893,1610,1351,1468,1588,1496,1492,1866,2624,1393,1504,1176
"1381","ENSMUSG00000011831|Evi5",7648,8515,7685,7180,6946,9514,8006,10976,15844,5950,6755,7044
"1382","ENSMUSG00000011832|Evi5l",277,315,226,220,190,322,249,293,389,245,261,243
"1383","ENSMUSG00000011837|Snapc2",333,313,301,274,292,392,329,374,747,288,320,312
"1384","ENSMUSG00000011877|Git1",375,313,335,344,312,288,274,337,637,271,349,230
"1385","ENSMUSG00000011884|Gltp",109,114,106,84,70,101,95,119,154,87,94,103
"1386","ENSMUSG00000011958|Bnip2",1738,1580,1784,2249,2051,1922,1617,1912,3914,1899,1991,1548
"1387","ENSMUSG00000011960|Ccnt1",2076,1285,1819,2324,1774,1574,2061,1426,3407,1929,1808,1278
"1388","ENSMUSG00000012017|Scarf2",216,154,129,163,161,189,201,194,251,148,202,154
"1390","ENSMUSG00000012076|Brms1l",201,188,161,166,174,142,167,184,324,157,185,153
"1391","ENSMUSG00000012114|Med15",542,561,497,470,549,545,500,570,892,505,549,406
"1392","ENSMUSG00000012117|Dhdds",1030,912,642,659,865,934,838,1016,1108,719,877,705
"1393","ENSMUSG00000012123|Aim1l",106,39,36,109,79,74,85,166,84,80,24,44
"1394","ENSMUSG00000012126|Ubxn11",5,6,4,1,2,5,2,12,5,5,2,3
"1395","ENSMUSG00000012187|Mogat1",13,10,22,13,13,5,6,14,25,6,15,7
"1398","ENSMUSG00000012296|Tjap1",241,190,131,168,205,178,174,214,306,171,196,168
"1399","ENSMUSG00000012350|Ehf",57,34,62,37,48,66,55,39,107,56,47,31
"1401","ENSMUSG00000012405|Rpl15",3681,2982,2265,3141,3049,3227,3407,3610,5986,2773,3064,2801
"1402","ENSMUSG00000012422|Tmem167",2718,1998,1589,2136,2328,2490,2617,2039,4071,2363,2356,2106
"1403","ENSMUSG00000012428|Steap4",7040,6898,5211,8560,4656,9935,4005,5860,10154,7222,6366,10016
"1404","ENSMUSG00000012429|2810021B07Rik",316,459,346,375,376,435,336,529,717,280,412,367
"1405","ENSMUSG00000012443|Kif11",45,60,73,81,67,135,92,71,170,75,65,75
"1406","ENSMUSG00000012483|Rpa3",156,163,148,201,114,156,164,170,345,140,129,133
"1407","ENSMUSG00000012519|Mlkl",145,199,126,96,92,322,156,351,219,113,90,225
"1409","ENSMUSG00000012535|Tnpo3",2637,2135,2254,2998,2765,2450,2627,2458,4568,2589,2662,2051
"1410","ENSMUSG00000012609|Ttll5",454,467,504,550,494,427,460,586,1024,428,537,394
"1411","ENSMUSG00000012640|Zfp715",548,546,691,791,573,607,666,593,1351,652,517,526
"1412","ENSMUSG00000012705|Retn",40,34,16,15,13,13,10,3,8,8,1,6
"1414","ENSMUSG00000012819|Cdh23",14,4,6,11,16,7,7,10,7,3,14,5
"1415","ENSMUSG00000012848|Rps5",7665,6820,5093,7013,7695,6875,7737,7798,13504,6260,7435,6614
"1416","ENSMUSG00000012889|Podnl1",12,10,10,16,10,10,7,9,8,6,10,23
"1417","ENSMUSG00000013033|Lphn1",232,232,206,260,217,286,212,262,411,185,226,200
"1418","ENSMUSG00000013076|Amotl1",1074,895,782,872,1008,921,1048,1129,1617,771,1025,683
"1420","ENSMUSG00000013089|Etv5",181,192,176,171,148,154,165,276,394,163,194,149
"1422","ENSMUSG00000013150|Gfod2",355,284,161,258,459,384,410,362,336,216,484,332
"1423","ENSMUSG00000013155|Enkd1",26,16,7,23,25,21,11,20,16,20,29,22
"1425","ENSMUSG00000013160|Atp6v0d1",2946,2439,2311,2622,2524,2515,2503,2804,5188,2497,2649,2289
"1426","ENSMUSG00000013236|Ptprs",262,229,267,233,153,281,223,341,514,191,177,210
"1427","ENSMUSG00000013275|Slc41a1",334,293,318,206,191,306,230,331,566,248,253,238
"1430","ENSMUSG00000013367|Iglon5",2,21,7,8,5,11,5,3,14,7,7,9
"1432","ENSMUSG00000013418|B4galnt2",19,17,13,11,18,15,5,3,14,3,7,7
"1433","ENSMUSG00000013419|Zfp651",38,33,46,64,42,51,62,27,90,54,41,45
"1434","ENSMUSG00000013465|Cobra1",1048,1087,785,812,963,875,867,1080,1367,729,899,810
"1436","ENSMUSG00000013495|Tmem175",410,297,238,232,276,293,243,386,374,231,261,250
"1438","ENSMUSG00000013539|D16H22S680E",749,584,464,789,934,661,623,746,1011,860,891,538
"1440","ENSMUSG00000013584|Aldh1a2",9,12,16,7,5,15,9,4,19,6,4,10
"1441","ENSMUSG00000013593|Ndufs2",8474,7274,6927,8137,7978,6931,7768,8333,15100,7187,8280,6507
"1443","ENSMUSG00000013622|Atraid",1991,2148,1903,2318,2114,2152,1882,2432,4314,1946,2057,1947
"1444","ENSMUSG00000013629|Cad",1723,1255,423,670,1942,1038,1219,1041,1267,1257,1647,844
"1445","ENSMUSG00000013643|Lypd8",59,51,39,22,29,21,10,8,28,7,12,18
"1446","ENSMUSG00000013646|Sh3bp5l",692,562,646,666,620,573,716,703,1401,590,799,508
"1448","ENSMUSG00000013662|Atad1",2299,2190,2464,2675,1923,2414,2321,2539,4885,2189,1995,1978
"1449","ENSMUSG00000013663|Pten",9079,8682,9791,10174,8109,9768,8586,10345,19323,8648,8406,7806
"1451","ENSMUSG00000013698|Pea15a",777,687,473,469,621,720,744,851,940,469,622,663
"1452","ENSMUSG00000013701|Timm23",1623,1515,1235,1737,1517,1564,1793,1757,3193,1521,1704,1445
"1453","ENSMUSG00000013707|Tnfaip8l2",57,53,40,49,51,52,52,69,71,44,38,62
"1454","ENSMUSG00000013736|Trnt1",749,694,712,804,608,692,742,830,1535,711,610,630
"1456","ENSMUSG00000013787|Ehmt2",2857,2825,2683,2610,2696,2693,2646,3071,5469,2366,3038,2365
"1457","ENSMUSG00000013822|Elof1",835,775,723,980,1004,861,812,868,1760,856,1004,783
"1458","ENSMUSG00000013833|Med16",526,560,519,436,323,522,506,697,842,454,411,434
"1459","ENSMUSG00000013846|St3gal1",2183,1787,1139,1111,1991,2231,2070,2253,2071,1259,1727,1593
"1460","ENSMUSG00000013858|ORF61",3066,3368,3089,3648,2998,3150,3011,3012,6277,2859,3328,3054
"1461","ENSMUSG00000013878|Rnf170",870,778,893,1021,828,874,796,904,1808,878,816,736
"1462","ENSMUSG00000013921|Clip3",2,14,6,4,10,13,9,7,15,16,4,12
"1464","ENSMUSG00000013936|Myl2",0,0,0,0,0,0,1,0,43,0,0,0
"1465","ENSMUSG00000013973|Dedd",830,711,737,741,732,751,738,919,1294,713,693,632
"1467","ENSMUSG00000013997|Nit1",4035,3366,2703,3229,3287,3646,3529,4150,5525,2839,3342,2907
"1468","ENSMUSG00000014030|Pax5",9,14,5,4,1,14,5,14,16,2,11,8
"1469","ENSMUSG00000014039|Prdm15",383,292,282,389,317,239,390,295,621,342,316,223
"1470","ENSMUSG00000014074|Rnf168",920,691,688,846,854,745,841,772,1516,852,907,692
"1471","ENSMUSG00000014075|Tctex1d2",42,41,24,30,23,54,27,57,41,17,19,26
"1472","ENSMUSG00000014077|1500003O03Rik",10058,8989,10760,14074,11940,11071,11043,10562,22823,11153,11341,9387
"1474","ENSMUSG00000014158|Trpv4",21,22,17,24,23,27,19,13,20,18,17,19
"1475","ENSMUSG00000014164|Klhl3",147,176,168,163,189,163,134,218,294,164,184,146
"1476","ENSMUSG00000014177|Fam18b",821,707,604,764,796,760,703,850,1348,680,664,600
"1477","ENSMUSG00000014195|Dnajc7",1223,1052,1071,1119,1139,1210,1252,1208,2292,1189,1044,859
"1479","ENSMUSG00000014226|Cacybp",1748,1104,782,1273,1793,967,1154,1228,2129,1123,1693,884
"1480","ENSMUSG00000014232|Cluap1",210,237,224,324,306,269,184,208,564,266,316,250
"1481","ENSMUSG00000014243|Zswim7",205,209,168,206,201,162,187,246,343,210,205,157
"1482","ENSMUSG00000014245|Pigl",141,132,115,108,112,94,133,116,172,80,140,108
"1483","ENSMUSG00000014294|Ndufa2",2085,1933,1459,2125,2236,1821,1931,2148,3572,1807,2361,1796
"1484","ENSMUSG00000014301|Pam16",430,353,304,390,427,325,376,379,747,392,409,376
"1485","ENSMUSG00000014303|Glis2",64,85,57,70,80,66,68,63,96,65,94,79
"1486","ENSMUSG00000014313|Cox6c",5684,5270,4553,6460,5683,5048,5279,6166,11488,5211,5486,4286
"1487","ENSMUSG00000014329|Bicc1",243,212,228,180,169,284,270,208,346,193,168,202
"1488","ENSMUSG00000014349|Ube2z",1742,1698,1684,1877,1688,1667,1715,1991,3578,1598,1773,1600
"1490","ENSMUSG00000014353|Tmem87b",1381,1295,1532,1929,1159,1523,1453,1417,2968,1614,1013,1268
"1491","ENSMUSG00000014355|Anapc1",3100,2676,2558,2670,2508,2826,2654,2896,4192,2465,2310,2157
"1492","ENSMUSG00000014361|Mertk",1037,1088,1187,1536,1181,1101,855,1203,2327,1212,1166,1023
"1493","ENSMUSG00000014402|Tsg101",1429,1168,1102,1327,1262,1151,1222,1236,2522,1262,1235,1068
"1494","ENSMUSG00000014418|Hps5",800,734,743,809,669,792,689,778,1169,761,730,678
"1495","ENSMUSG00000014426|Map3k4",1500,1381,1246,1141,1262,1327,1287,1472,2254,1064,1365,1085
"1496","ENSMUSG00000014444|Fam38a",398,438,285,341,360,429,365,462,599,291,468,290
"1497","ENSMUSG00000014453|Blk",4,15,10,5,4,17,10,21,27,12,6,9
"1498","ENSMUSG00000014470|Rnf166",389,365,403,467,374,330,351,369,786,423,432,336
"1499","ENSMUSG00000014496|Ankrd28",1405,1508,2129,2369,1658,1898,1537,1800,4612,1959,1684,1636
"1500","ENSMUSG00000014498|Ankrd52",1043,771,889,1026,865,694,875,739,1646,901,893,660
"1502","ENSMUSG00000014504|Srp19",747,468,408,596,556,537,724,547,941,689,624,463
"1504","ENSMUSG00000014542|Clec4f",3736,4703,3248,4364,3609,4996,3138,5576,6168,3543,4081,4738
"1506","ENSMUSG00000014547|Wdfy2",586,501,466,540,475,481,519,536,976,492,469,428
"1507","ENSMUSG00000014550|Zfyve20",828,816,713,785,730,783,905,810,1455,690,766,627
"1508","ENSMUSG00000014551|Mrps25",539,350,324,411,489,465,397,456,632,401,434,368
"1509","ENSMUSG00000014554|Dguok",380,351,313,352,344,321,385,387,589,294,360,279
"1510","ENSMUSG00000014592|Camta1",1208,1187,2679,2225,1266,943,652,1190,4798,1793,1575,815
"1511","ENSMUSG00000014599|Csf1",511,470,401,559,429,548,466,507,770,550,677,390
"1512","ENSMUSG00000014601|Fam40a",602,526,526,636,633,555,680,544,1159,600,689,522
"1513","ENSMUSG00000014602|Kif1a",17,11,21,11,9,13,14,8,17,8,7,11
"1515","ENSMUSG00000014606|Slc25a11",2713,2444,2584,3037,2259,2789,2771,3053,5092,2677,2385,2237
"1517","ENSMUSG00000014633|2310061C15Rik",290,240,257,272,315,258,283,272,498,269,340,275
"1518","ENSMUSG00000014668|Chfr",751,697,682,806,709,741,723,812,1386,680,684,648
"1520","ENSMUSG00000014704|Hoxa2",22,16,11,10,15,16,26,38,25,14,14,19
"1523","ENSMUSG00000014748|Tex261",2392,2186,2414,3058,2586,2234,2244,2719,4333,2531,2790,2232
"1524","ENSMUSG00000014763|Fam120b",913,698,973,1082,897,796,973,730,2152,918,987,630
"1525","ENSMUSG00000014767|Tbp",454,350,387,484,418,446,528,433,761,433,386,360
"1526","ENSMUSG00000014769|Psmb1",4139,3825,3265,4134,3751,3950,4017,4555,8054,3679,3865,3421
"1527","ENSMUSG00000014771|Pdcd2",469,507,538,617,469,484,532,517,1269,505,466,473
"1528","ENSMUSG00000014773|Dll1",234,216,257,325,228,144,248,239,553,329,312,116
"1529","ENSMUSG00000014776|Nol3",26,37,12,20,12,50,7,59,46,21,20,13
"1530","ENSMUSG00000014778|Fhod1",288,215,163,211,277,237,195,224,319,200,300,181
"1532","ENSMUSG00000014786|Slc9a5",9,20,12,13,17,27,12,18,22,19,10,16
"1533","ENSMUSG00000014791|Elmo3",772,890,929,868,727,965,874,1015,1957,870,741,946
"1535","ENSMUSG00000014837|4931428F04Rik",56,28,12,26,43,17,39,28,33,32,46,31
"1536","ENSMUSG00000014846|Tppp3",8,4,3,7,9,6,16,6,10,6,8,3
"1537","ENSMUSG00000014850|Msh3",483,574,652,774,470,743,577,620,1724,570,469,622
"1538","ENSMUSG00000014852|Adamts13",262,254,201,280,204,294,261,298,427,214,257,219
"1539","ENSMUSG00000014856|Tmem208",1345,1170,835,1192,1157,1183,1069,1155,2016,1030,1122,1083
"1540","ENSMUSG00000014859|E2f4",526,338,356,451,377,387,564,426,812,454,496,377
"1541","ENSMUSG00000014867|Surf4",11904,10709,8519,10537,11414,11059,11359,11836,20201,10463,11096,9895
"1542","ENSMUSG00000014873|Surf2",396,313,404,437,393,535,442,399,764,441,456,334
"1543","ENSMUSG00000014905|Dnajb9",4381,745,1461,2860,2259,1198,4626,979,5129,4010,2362,1131
"1544","ENSMUSG00000014907|Naf1",145,164,149,119,119,145,104,188,275,115,96,118
"1545","ENSMUSG00000014932|Yes1",1442,1567,1873,1900,1256,1729,1494,1791,3922,1376,1141,1303
"1546","ENSMUSG00000014956|Ppp1cb",4100,3893,4172,4347,3833,4251,4124,4450,9063,4168,3613,3284
"1547","ENSMUSG00000014959|Gorasp2",3698,3253,2599,2984,3113,3081,3332,3493,6098,3284,3234,2790
"1548","ENSMUSG00000014980|Tsen15",277,155,134,175,228,152,196,195,252,174,255,150
"1550","ENSMUSG00000015002|Efr3a",2789,2773,3079,3305,2465,3248,2972,3211,6429,2663,2473,2633
"1551","ENSMUSG00000015013|Trappc2l",344,358,305,397,244,364,312,366,712,331,250,346
"1552","ENSMUSG00000015016|Acsf3",907,687,763,623,553,781,952,1077,1174,708,687,611
"1553","ENSMUSG00000015023|Ddx19a",601,505,657,624,654,582,578,688,1266,689,598,455
"1554","ENSMUSG00000015027|Galns",352,385,319,272,310,491,335,508,569,305,318,325
"1555","ENSMUSG00000015053|Gata2",36,21,30,50,39,32,30,36,52,33,41,19
"1556","ENSMUSG00000015083|C8g",10995,10816,8708,10242,10882,8856,10009,11004,19753,8542,11759,8772
"1557","ENSMUSG00000015085|Entpd2",63,72,65,65,60,73,49,101,73,54,52,84
"1558","ENSMUSG00000015087|Rabl6",1192,720,1005,1139,994,874,1217,754,2233,1118,1161,717
"1559","ENSMUSG00000015090|Ptgds",70,53,37,21,29,62,61,104,99,22,75,41
"1560","ENSMUSG00000015092|Edf1",4736,3584,3474,4151,4295,3883,4122,3834,8625,4051,4728,3898
"1561","ENSMUSG00000015093|Clic3",7,11,8,4,12,3,11,19,20,5,22,7
"1562","ENSMUSG00000015094|Npdc1",138,141,112,86,112,151,107,186,189,110,110,156
"1563","ENSMUSG00000015095|Fbxw5",1565,1357,1178,1263,1315,1430,1373,1474,2242,1311,1406,1227
"1564","ENSMUSG00000015112|Slc25a13",11222,10436,12368,15095,10902,10046,10750,11575,23906,11745,11097,8044
"1565","ENSMUSG00000015120|Ube2i",1577,1803,1679,1710,1569,1896,1744,1952,3358,1397,1571,1446
"1566","ENSMUSG00000015126|0610007P22Rik",377,363,288,357,348,397,386,460,649,355,364,352
"1567","ENSMUSG00000015127|Unkl",478,373,320,470,415,394,579,422,689,433,560,333
"1568","ENSMUSG00000015133|Lrrk1",989,786,721,757,716,710,724,811,1044,697,756,687
"1569","ENSMUSG00000015134|Aldh1a3",16,42,37,31,22,19,27,28,49,14,22,25
"1570","ENSMUSG00000015143|Actn1",1269,1221,1561,1348,991,1308,1093,1431,3036,1243,1040,1014
"1571","ENSMUSG00000015149|Sirt2",1213,1024,1082,1246,1204,1094,1136,1206,2151,1055,1166,995
"1572","ENSMUSG00000015165|Hnrnpl",3437,3447,4177,3400,2584,3802,3733,3938,7321,3210,2602,3515
"1573","ENSMUSG00000015176|Nolc1",1510,625,827,1393,1607,923,2252,592,1978,1623,1704,810
"1574","ENSMUSG00000015189|Casd1",1706,1591,1516,1668,1450,1877,1699,1800,3214,1452,1436,1459
"1575","ENSMUSG00000015202|Cnksr3",451,593,386,435,454,507,535,706,723,355,481,408
"1576","ENSMUSG00000015214|Mtmr1",1618,1779,2049,2468,1313,1844,1921,2066,4677,1949,1424,1570
"1577","ENSMUSG00000015217|Hmgb3",149,262,260,286,199,285,247,276,563,231,207,240
"1578","ENSMUSG00000015222|Mtap2",62,66,61,82,60,76,78,52,111,64,49,33
"1579","ENSMUSG00000015224|Cyp2j9",146,400,515,654,355,460,334,314,1261,452,284,443
"1581","ENSMUSG00000015243|Abca1",21413,16879,14777,14369,15687,14988,17829,18601,29283,15616,16235,12326
"1582","ENSMUSG00000015247|Nipsnap3b",2126,1962,2050,2483,1994,2112,2236,2236,4755,2147,1956,1795
"1583","ENSMUSG00000015289|Lage3",419,376,321,351,344,338,395,497,604,306,307,292
"1584","ENSMUSG00000015290|Ubl4",1119,737,764,1112,1094,897,1106,834,1962,1060,1132,830
"1585","ENSMUSG00000015291|Gdi1",2376,1866,1750,1956,2062,1929,1877,1801,3612,1955,2130,1690
"1586","ENSMUSG00000015305|Sash1",2423,2902,2750,2319,2770,2668,2185,4048,5484,2099,2367,2155
"1587","ENSMUSG00000015312|Gadd45b",19,36,31,31,75,32,40,26,56,37,59,25
"1588","ENSMUSG00000015314|Slamf6",5,13,14,15,3,6,5,15,18,10,9,13
"1590","ENSMUSG00000015335|Zdhhc12",468,402,286,335,378,342,387,429,531,294,416,323
"1591","ENSMUSG00000015337|Endog",1359,1132,980,1283,1547,1144,1248,1450,2387,1358,1582,1169
"1592","ENSMUSG00000015340|Cybb",620,894,775,970,659,1010,572,1115,1466,737,643,970
"1593","ENSMUSG00000015341|Golga7",2120,1922,1782,2229,1787,2318,2061,2573,4163,1939,1887,1852
"1594","ENSMUSG00000015342|Xk",274,227,227,241,244,271,286,283,389,213,248,220
"1595","ENSMUSG00000015354|Pcolce2",76,150,96,109,91,117,97,116,219,97,99,140
"1596","ENSMUSG00000015355|Cd48",65,66,61,90,87,80,72,113,116,96,70,91
"1597","ENSMUSG00000015357|Clpx",7115,6731,2387,3915,9066,11863,8441,9460,5272,3453,7173,7618
"1598","ENSMUSG00000015363|Trabd",4932,3388,2869,4880,4857,3102,4361,3598,8567,5091,5259,3440
"1600","ENSMUSG00000015377|Fam116b",275,228,134,219,189,256,224,251,313,182,236,174
"1601","ENSMUSG00000015396|Cd83",43,45,43,52,61,30,19,67,77,30,52,47
"1603","ENSMUSG00000015405|Ace2",98,94,81,85,70,75,26,46,77,27,39,41
"1604","ENSMUSG00000015437|Gzmb",5,12,7,12,14,13,9,19,19,5,14,15
"1607","ENSMUSG00000015451|C4a",5296,1853,3274,3365,5192,2936,2481,1738,5180,2776,3913,1813
"1608","ENSMUSG00000015452|Ager",5,8,9,7,5,8,4,16,14,2,6,4
"1609","ENSMUSG00000015461|Atf6b",748,704,328,532,853,661,633,883,792,650,857,596
"1610","ENSMUSG00000015467|Egfl8",11,14,12,26,21,19,7,22,30,27,15,14
"1611","ENSMUSG00000015468|Notch4",128,181,132,130,156,184,141,218,247,139,216,148
"1612","ENSMUSG00000015474|Ppt2",664,727,671,767,817,781,701,873,1291,723,875,650
"1614","ENSMUSG00000015478|Rnf5",480,471,638,571,614,583,662,642,1245,754,605,444
"1616","ENSMUSG00000015488|Cacfd1",538,403,434,527,508,571,761,725,1142,760,607,491
"1617","ENSMUSG00000015501|Hivep2",730,528,562,562,520,485,386,659,1123,470,578,376
"1619","ENSMUSG00000015522|Arnt",1484,1238,1583,1543,1531,1495,1427,1603,3014,1467,1662,1080
"1620","ENSMUSG00000015533|Itga2",2,6,6,3,3,7,4,8,15,2,2,11
"1621","ENSMUSG00000015536|Mocs2",3315,3118,2860,3632,3457,3482,3366,3707,6698,3111,3195,2949
"1622","ENSMUSG00000015542|Nat9",873,726,567,661,543,835,711,991,1070,582,676,632
"1623","ENSMUSG00000015568|Lpl",1104,992,658,531,421,1043,772,993,1380,492,461,698
"1624","ENSMUSG00000015575|Atp6v0e",886,749,635,792,786,782,749,911,1322,681,768,735
"1626","ENSMUSG00000015597|Zfp318",1190,1182,1337,1452,1332,1219,1081,1244,2607,1088,1345,1015
"1627","ENSMUSG00000015599|Ttbk1",108,40,16,21,28,51,32,33,27,41,67,28
"1628","ENSMUSG00000015605|Srf",612,459,452,620,457,427,593,509,919,536,539,455
"1629","ENSMUSG00000015619|Gata3",3,1,1,4,5,6,13,9,6,4,6,5
"1630","ENSMUSG00000015627|Gata5",11,7,3,7,9,11,10,4,20,12,9,3
"1631","ENSMUSG00000015647|Lama5",402,319,322,332,360,304,294,342,491,270,375,244
"1632","ENSMUSG00000015652|Steap1",6,4,7,7,7,7,16,1,27,9,15,4
"1633","ENSMUSG00000015653|Steap2",267,341,511,549,390,512,443,447,1131,553,401,365
"1634","ENSMUSG00000015656|Hspa8",69511,19302,20567,43750,69547,12771,37051,30202,43974,38820,70205,11327
"1635","ENSMUSG00000015659|Serac1",239,177,162,214,233,204,222,216,362,192,246,121
"1637","ENSMUSG00000015668|Pdzd11",713,491,381,473,513,620,515,584,860,496,542,464
"1638","ENSMUSG00000015671|Psma2",2660,2628,2177,2527,2370,2791,2482,2901,5359,2388,2136,2316
"1639","ENSMUSG00000015672|Mrpl32",613,530,519,625,509,653,611,592,1220,561,546,490
"1640","ENSMUSG00000015697|Setdb1",1326,1224,1084,1220,1265,1370,1314,1216,2138,1044,1273,1038
"1641","ENSMUSG00000015702|Anxa9",37,29,33,30,24,54,34,55,36,26,49,34
"1643","ENSMUSG00000015711|Prune",556,614,574,561,526,537,552,671,1256,504,682,543
"1644","ENSMUSG00000015714|Lass2",12360,10279,10000,11004,9980,10886,12109,12914,20622,10701,10507,8695
"1646","ENSMUSG00000015733|Capza2",2764,2772,2972,3372,2668,3143,2775,3140,6156,2711,2486,2688
"1647","ENSMUSG00000015745|Plekho1",174,163,152,238,187,188,188,210,321,150,206,149
"1648","ENSMUSG00000015747|Vps45",422,358,243,270,373,380,339,416,484,273,333,263
"1649","ENSMUSG00000015748|Prpf3",318,185,278,329,313,241,336,227,540,355,368,251
"1650","ENSMUSG00000015749|Anp32e",617,593,460,520,739,704,631,762,796,577,625,580
"1651","ENSMUSG00000015750|Aph1a",1058,1149,1190,1547,1122,1328,1168,1344,2130,1165,1220,993
"1652","ENSMUSG00000015755|Tab2",1906,2305,2007,1921,1736,3045,2186,2688,3952,1500,1724,2512
"1653","ENSMUSG00000015757|Ppil4",903,793,801,891,800,915,968,812,1602,858,774,727
"1654","ENSMUSG00000015759|Cnih",2061,1716,1567,1655,1630,2011,1878,2015,2942,1668,1565,1514
"1655","ENSMUSG00000015766|Eps8",165,142,141,156,135,209,185,195,270,109,114,208
"1656","ENSMUSG00000015776|Med22",1235,875,939,1364,1419,992,1288,936,2434,1253,1648,957
"1658","ENSMUSG00000015790|Surf1",1235,1043,942,1160,1155,1153,1122,1319,2258,1035,1195,1054
"1659","ENSMUSG00000015804|Med28",656,680,527,513,601,677,675,766,1086,583,620,577
"1660","ENSMUSG00000015806|Qdpr",12946,13145,9424,8551,9099,9545,11991,17421,15995,9194,9482,7710
"1661","ENSMUSG00000015812|Gnrh1",4,5,6,9,13,1,6,3,7,3,6,3
"1663","ENSMUSG00000015837|Sqstm1",12894,13276,10898,10238,13595,12350,14812,17683,22042,9908,12946,11219
"1664","ENSMUSG00000015839|Nfe2l2",2677,1997,2695,2178,2023,2091,2780,2780,4868,1946,2575,2001
"1665","ENSMUSG00000015843|Rxrg",147,132,98,145,98,205,174,171,172,130,154,171
"1666","ENSMUSG00000015846|Rxra",18140,18073,18272,19944,18480,18349,14111,16754,35518,17156,18372,15891
