Gene_name	Exon_length	Sample_CTR2_liver_ZT14_F	Sample_CTR2_liver_ZT18_F	Sample_CTR2_liver_ZT22_F	Sample_CTR1_liver_ZT02_F	Sample_CTR1_liver_ZT06_F	Sample_CTR1_liver_ZT10_F	Sample_CTR1_liver_ZT14_F	Sample_CTR1_liver_ZT18_F	Sample_CTR1_liver_ZT22_F	Sample_CTR2_liver_ZT02_F	Sample_CTR2_liver_ZT06_F	Sample_CTR2_liver_ZT10_F	Sample_GFM2_liver_ZT14_F	Sample_GFM2_liver_ZT18_F	Sample_GFM2_liver_ZT22_F	Sample_GFM1_liver_ZT02_F	Sample_GFM1_liver_ZT06_F	Sample_GFM1_liver_ZT10_F	Sample_GFM1_liver_ZT14_F	Sample_GFM1_liver_ZT18_F	Sample_GFM1_liver_ZT22_F	Sample_GFM2_liver_ZT02_F	Sample_GFM2_liver_ZT06_F	Sample_GFM2_liver_ZT10_F
9515	ENSMUSG00000033931|Rbm34	3429	457	421	489	554	394	491	462	459	420	587	337	405	475	340	426	383	331	389	415	365	339	345	437	374
9516	ENSMUSG00000033933|Vhl	2997	660	556	502	477	369	390	660	554	459	522	282	420	451	559	503	364	463	362	427	522	351	389	540	425
9517	ENSMUSG00000033938|Ndufb7	4522	1655	1760	2104	1909	1783	2031	1814	1918	1633	1960	1912	1642	1943	2123	2047	2222	1446	1928	1754	1666	2075	1606	1791	1898
9518	ENSMUSG00000033940|Brk1	1092	1237	1271	1433	1202	1283	1330	1286	1376	1223	1380	1283	1217	1325	1310	1452	1408	1210	1421	1110	1193	1214	1081	1408	1580
9519	ENSMUSG00000033943|Mga	15340	2313	2304	2319	2447	2492	2433	2004	2158	1964	2326	2195	2155	2125	1566	2163	1598	2059	2346	1608	1774	1690	1704	2350	2204
9520	ENSMUSG00000033948|Zswim5	6850	194	193	154	141	165	117	130	169	148	174	116	137	134	169	159	131	124	124	114	171	122	131	166	146
9521	ENSMUSG00000033949|Trim36	5560	23	9	18	15	17	23	13	13	7	22	13	18	13	17	7	7	22	14	11	13	11	13	18	10
9522	ENSMUSG00000033952|Aspm	11491	60	45	53	67	34	36	57	49	32	54	74	69	14	26	23	40	35	22	12	11	13	44	52	40
9523	ENSMUSG00000033953|Ppp3r1	3228	1974	1268	1685	1790	1633	1870	2020	1380	1478	1939	1319	1671	1968	1305	1604	1354	1214	1418	1489	1637	1270	1161	1693	1654
9524	ENSMUSG00000033955|Tnks1bp1	6184	3177	2681	2418	2335	2464	3827	3240	3241	2192	2634	2183	3328	3046	2473	2198	1585	1100	2409	2548	2379	1862	1447	1827	2182
9525	ENSMUSG00000033960|9430020K01Rik	6730	537	441	633	708	631	670	544	564	484	669	663	608	590	429	506	605	502	488	476	408	527	410	588	514
9526	ENSMUSG00000033961|Zfp446	5801	92	124	131	144	84	164	87	122	119	181	167	119	109	117	131	133	142	154	136	100	99	81	175	129
9527	ENSMUSG00000033963|4931417G12Rik	1359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9528	ENSMUSG00000033964|Zbtb41	8360	1867	1215	1993	1847	1627	1814	2089	1586	1427	2157	943	1704	1629	1414	1470	1195	1215	1102	1171	1657	1110	1369	1849	1320
9529	ENSMUSG00000033965|Slc16a2	4922	3323	3022	3904	4200	3416	3905	4001	3283	3385	4866	4672	4104	2696	2837	3428	3051	1718	2844	2398	1865	2683	3181	3433	3762
9530	ENSMUSG00000033966|Cdkl4	2931	3	14	11	10	13	14	5	7	8	7	17	7	20	1	2	12	6	21	10	2	4	8	8	15
9531	ENSMUSG00000033967|2310014L17Rik	3239	30	16	22	17	20	25	20	14	14	14	22	28	13	15	10	30	11	12	15	6	34	8	28	14
9532	ENSMUSG00000033970|Rfc3	3611	181	170	185	159	300	187	179	158	181	216	272	260	105	187	181	178	141	162	75	120	154	144	211	223
9533	ENSMUSG00000033972|Zfp944	2784	407	391	401	496	408	440	416	427	341	459	399	406	391	288	335	360	304	388	277	312	249	273	434	284
9534	ENSMUSG00000033981|Gria2	7038	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
9535	ENSMUSG00000033983|Coil	3669	165	170	198	227	171	211	170	185	151	222	174	157	126	157	173	200	162	122	145	131	145	123	194	166
9536	ENSMUSG00000033985|Tesk2	5368	952	652	550	563	836	711	905	569	584	633	631	645	862	603	709	583	559	784	569	702	630	525	661	633
9537	ENSMUSG00000033987|Dnahc17	18742	1	4	4	5	4	6	0	4	3	1	2	2	2	0	0	4	1	5	11	5	5	0	3	0
9538	ENSMUSG00000033991|Ttc37	5381	1018	1138	1159	1099	1171	1073	1055	1076	1047	1286	897	959	914	852	1008	1090	743	919	850	927	829	772	1152	859
9539	ENSMUSG00000033993|1700018A14Rik	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
9540	ENSMUSG00000033998|Kcnk1	2301	25	21	21	20	18	21	28	16	13	29	26	12	14	11	12	11	13	15	12	20	15	4	16	28
9541	ENSMUSG00000034000|Neu4	4503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9542	ENSMUSG00000034006|Pqlc1	6100	2434	2659	2884	3270	2963	2658	1990	2602	2329	3160	2262	2338	2277	2612	2836	3251	1821	3280	1851	2330	2739	2308	3101	2877
9543	ENSMUSG00000034007|Scaper	5249	318	346	559	550	483	780	277	400	388	572	654	539	545	268	418	439	391	509	416	267	339	338	471	526
9544	ENSMUSG00000034009|Rxfp1	2277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9545	ENSMUSG00000034021|Pds5b	9622	1144	1070	1025	950	1128	1026	1051	1032	951	1015	972	1031	969	885	908	835	962	847	814	971	890	782	995	893
9546	ENSMUSG00000034022|Cpsf1	4515	1877	1769	2393	2219	1948	1863	1767	1826	2107	2270	1883	1803	1587	1617	2040	2205	1443	2222	1622	1479	1906	1973	2375	2356
9547	ENSMUSG00000034023|Fancd2	8265	25	34	26	26	18	29	18	20	18	32	43	32	18	9	6	13	13	28	12	6	4	14	18	14
9548	ENSMUSG00000034024|Cct2	1962	3671	3954	4089	3699	4033	3558	3940	3951	3361	4137	3370	3275	3501	3615	3605	3590	3115	3623	3471	3929	3387	2454	4007	4201
9549	ENSMUSG00000034028|Cd226	2357	33	30	42	25	24	20	27	20	23	24	21	25	45	14	15	15	53	25	13	19	15	17	39	29
9550	ENSMUSG00000034031|1700106J16Rik	1219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9551	ENSMUSG00000034032|Rpap1	6636	309	460	563	512	349	495	379	441	371	499	545	437	344	386	462	544	294	475	441	301	418	364	511	439
9552	ENSMUSG00000034035|Ccdc17	2739	61	65	102	80	77	109	62	65	67	98	108	80	64	58	53	72	39	81	79	57	58	42	80	95
9553	ENSMUSG00000034037|Fgd5	8556	577	470	578	695	600	510	468	509	515	652	510	520	540	492	519	606	448	569	446	444	488	523	577	616
9554	ENSMUSG00000034039|Prss29	1178	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
9555	ENSMUSG00000034040|Wbscr17	8989	1	1	2	5	1	1	1	3	1	4	1	0	1	1	2	1	4	5	0	0	1	2	5	1
9556	ENSMUSG00000034041|Lyl1	1800	34	35	25	37	40	44	31	34	32	38	24	38	37	30	34	29	28	36	38	27	26	34	30	27
9557	ENSMUSG00000034042|Gpbp1l1	4591	3232	2468	2898	2764	3172	3350	2996	2433	2625	2970	2654	3121	3263	2018	2574	2358	2449	3110	2255	2559	2385	2451	3024	3139
9558	ENSMUSG00000034055|Phka1	6259	317	412	492	401	430	402	339	449	457	360	423	384	310	372	377	359	345	360	337	277	353	287	428	319
9559	ENSMUSG00000034057|Gm239	3114	0	0	0	2	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0
9560	ENSMUSG00000034059|Ypel4	2614	1	1	1	2	2	1	0	0	2	0	3	1	2	0	1	2	1	1	0	1	1	0	0	1
9561	ENSMUSG00000034063|4930590J08Rik	2802	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
9562	ENSMUSG00000034064|Poglut1	4658	406	530	710	553	461	504	414	573	575	552	556	405	455	461	591	516	556	538	437	443	458	361	556	532
9563	ENSMUSG00000034066|Farp2	5236	772	727	713	722	773	869	657	784	619	701	543	662	809	606	663	584	728	783	644	663	633	598	813	832
9564	ENSMUSG00000034071|Zfp551	2636	103	97	82	92	96	87	77	80	90	93	104	69	64	65	110	84	94	102	50	72	93	73	105	89
9565	ENSMUSG00000034075|Zdhhc5	5160	3609	3133	3759	3203	3523	3459	3586	3297	2945	3392	2969	3161	3496	3305	3714	3207	2641	3367	3310	3105	2994	2774	3506	3544
9566	ENSMUSG00000034083|Ccdc174	9188	371	312	487	415	341	389	357	361	328	464	309	369	378	304	354	325	320	281	302	312	304	274	377	296
9567	ENSMUSG00000034087|Nlrp4b	4485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9568	ENSMUSG00000034088|Hdlbp	7152	16468	18596	17750	17326	19713	14783	18361	16666	16250	17347	16407	15062	13786	16166	16519	17141	14861	17879	15078	18166	13772	12924	16797	17553
9569	ENSMUSG00000034098|Fstl5	6118	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9570	ENSMUSG00000034101|Ctnnd1	7319	3606	3711	4592	4664	4292	4402	3598	4048	3833	4809	4747	4084	3913	3478	4223	4252	3428	4207	3495	3516	3942	3950	4520	4445
9571	ENSMUSG00000034105|4632415K11Rik	2574	218	340	418	336	296	536	188	392	304	358	436	324	319	245	261	306	240	455	372	170	282	231	399	467
9572	ENSMUSG00000034107|Ano7	3217	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9573	ENSMUSG00000034108|Ccs	1057	3684	3409	4646	3921	3535	4426	3969	3658	3374	4077	4074	3614	3641	3840	3246	3070	2047	3571	3078	2922	3378	2939	3794	4525
9574	ENSMUSG00000034109|Golim4	8977	3249	3753	3697	3519	3424	5074	3734	4041	3039	3789	3898	3779	3707	3128	3529	3223	2035	3117	2495	3370	3406	2155	3039	2711
9575	ENSMUSG00000034110|Kctd7	4368	162	217	231	295	218	263	152	288	159	330	277	224	187	199	181	220	93	165	184	130	166	135	211	226
9576	ENSMUSG00000034111|Tmed8	7179	296	233	296	285	215	309	281	316	230	292	224	267	265	170	166	165	213	176	226	204	123	125	251	208
9577	ENSMUSG00000034112|Atp2c2	3223	0	0	2	1	1	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0
9578	ENSMUSG00000034115|Scn11a	5837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9579	ENSMUSG00000034116|Vav1	3688	262	222	271	217	223	220	171	241	172	259	234	239	163	169	253	182	290	232	174	129	147	251	267	219
9580	ENSMUSG00000034117|Gpr44	2644	0	1	0	2	0	1	0	0	0	2	0	1	3	0	0	0	0	1	0	0	0	1	0	1
9581	ENSMUSG00000034118|Tpst1	2789	923	1359	1061	820	1184	710	1049	1513	955	838	839	648	674	1009	851	685	523	609	606	772	693	537	608	660
9582	ENSMUSG00000034120|Srsf2	3086	4592	3696	5357	5004	4724	4664	4765	3974	3963	5417	4169	4696	3908	3693	4609	4491	2572	3369	3387	3882	3150	3132	4194	3659
9583	ENSMUSG00000034121|Mks1	4044	32	49	83	78	30	65	25	81	69	78	91	58	53	40	56	50	67	51	67	39	56	38	81	73
9584	ENSMUSG00000034122|Nlrp4d	2850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9585	ENSMUSG00000034126|Pomt2	5059	1208	1323	1261	1136	1138	1116	1280	1274	1061	1122	1011	977	1104	1145	1221	1073	1034	1111	1018	1201	1035	842	1134	1289
9586	ENSMUSG00000034127|Tspan8	1522	29	29	79	51	64	34	27	39	31	76	39	37	29	29	65	50	57	33	23	30	43	53	62	43
9587	ENSMUSG00000034135|Sik3	7102	1701	1721	1788	1669	1650	1715	1824	1554	1511	1663	1677	1572	1837	1351	1607	1531	1562	2069	1192	1787	1648	1612	1637	1691
9588	ENSMUSG00000034139|Serpini2	1411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
9589	ENSMUSG00000034145|Tmem63c	4300	2	3	0	0	1	0	1	1	0	2	0	1	0	4	0	1	0	2	1	2	1	3	0	3
9590	ENSMUSG00000034151|Zbbx	3034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9591	ENSMUSG00000034152|Exoc3	4596	1029	1074	1483	1487	1250	1474	1006	1321	1223	1534	1350	1096	1106	1192	1421	1412	982	1254	1227	956	1163	961	1397	1344
9592	ENSMUSG00000034154|Ino80	6803	907	687	880	886	854	884	709	632	690	854	899	914	825	602	743	795	663	920	687	712	556	666	809	803
9593	ENSMUSG00000034156|Bzrap1	9499	20	12	23	28	27	34	20	30	20	36	11	24	16	4	12	13	11	15	8	12	14	9	12	9
9594	ENSMUSG00000034157|2310044G17Rik	4098	2001	1700	1753	1438	1065	2070	2511	1879	1333	1497	997	1765	2299	1706	1542	1018	777	1007	2050	1907	1327	1040	1354	1122
9595	ENSMUSG00000034158|Lrrc58	8604	9735	8277	10213	9449	8826	7620	9265	9181	8995	9741	5808	6677	7895	10457	13406	7571	8225	6459	6006	13731	9698	8740	8791	6442
9596	ENSMUSG00000034159|2310007B03Rik	2368	1	10	9	7	6	2	1	9	9	16	19	1	0	0	7	16	15	8	0	3	7	5	3	5
9597	ENSMUSG00000034160|Ogt	8045	3427	3055	3308	3067	3752	3411	2942	3322	2794	3431	3500	3242	2797	2364	3339	3629	2639	2953	2295	2775	2117	2813	3393	2587
9598	ENSMUSG00000034161|Scx	1136	4	2	7	7	4	5	2	5	3	7	4	2	3	6	6	5	2	3	2	2	1	2	5	10
9599	ENSMUSG00000034163|Zfc3h1	7848	1410	1671	1617	1400	1802	1343	1439	1545	1587	1462	1605	1371	1044	1146	1693	1430	1470	1319	745	1465	1360	1120	1871	1200
9600	ENSMUSG00000034164|Emid1	2890	4	14	13	7	15	17	10	13	11	14	18	15	13	5	12	7	12	6	3	4	11	6	11	4
9601	ENSMUSG00000034165|Ccnd3	2113	880	850	858	828	752	906	822	972	716	861	573	778	976	886	813	802	721	936	686	731	765	668	899	887
9602	ENSMUSG00000034168|Irf2bpl	4112	1508	1415	930	948	961	1298	1310	1317	1011	1055	1616	1238	1545	881	1158	991	878	1161	1167	1250	1176	553	1000	1057
9603	ENSMUSG00000034171|Faah	7834	5442	4748	5039	5242	5258	4838	4988	4979	4590	5246	4674	4374	5484	5080	5601	5701	4020	6251	4952	4622	5812	4872	5968	6225
9604	ENSMUSG00000034173|2410018M08Rik	2622	90	105	55	48	60	164	81	54	54	38	84	152	196	23	41	38	100	110	34	40	48	38	60	74
9605	ENSMUSG00000034175|Rhbdd3	2790	384	352	341	450	397	444	350	352	321	443	407	388	402	296	375	444	236	461	284	324	328	377	452	455
9606	ENSMUSG00000034177|Rnf43	7634	1058	805	1442	1548	1269	1730	1150	835	653	1704	1338	1747	1313	1104	1041	1013	623	1840	836	1058	858	652	1397	1542
9607	ENSMUSG00000034185|6430628N08Rik	1605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9608	ENSMUSG00000034187|Nsf	8972	661	801	917	923	725	815	633	732	805	823	771	668	566	691	773	787	604	719	654	698	615	568	775	838
9609	ENSMUSG00000034189|Hsdl1	3168	491	470	463	478	509	562	421	507	423	496	460	482	470	472	533	417	378	514	406	458	406	358	412	491
9610	ENSMUSG00000034190|Chmp7	2706	1335	1326	1488	1509	1437	1400	1350	1358	1259	1599	1279	1428	1195	1212	1506	1357	1031	1449	1110	1176	1322	1246	1637	1513
9611	ENSMUSG00000034192|Lsm3	1257	128	112	164	154	104	225	136	151	111	186	158	118	143	147	115	117	89	125	150	93	130	93	134	121
9612	ENSMUSG00000034194|R3hcc1	2766	230	249	346	330	223	364	246	262	246	325	366	275	310	252	251	294	241	338	296	220	205	232	346	405
9613	ENSMUSG00000034201|Gas2l1	7499	691	801	743	687	657	468	617	700	691	717	477	533	465	585	660	659	668	639	472	693	466	541	655	545
9614	ENSMUSG00000034203|Chchd4	1245	514	396	437	432	354	475	529	411	354	464	272	442	568	388	417	352	376	394	477	407	297	364	383	359
9615	ENSMUSG00000034205|Loxl2	5303	98	99	93	121	145	92	55	82	80	134	91	111	81	115	164	114	66	121	93	52	79	87	108	125
9616	ENSMUSG00000034206|Polq	8551	20	18	35	22	8	14	14	23	15	20	26	18	6	16	6	4	2	3	3	3	8	11	9	3
9617	ENSMUSG00000034209|Rasl10a	1413	2	1	2	1	2	2	0	0	3	2	2	2	1	2	6	1	1	0	0	1	1	0	0	1
9618	ENSMUSG00000034210|4732418C07Rik	8201	829	874	1067	1042	936	964	839	972	933	1092	897	890	843	805	864	813	840	796	700	810	779	737	928	913
9619	ENSMUSG00000034211|Mrps17	2330	956	1078	1305	1134	940	1269	1070	1206	1016	1274	1110	1077	1301	1062	1248	1167	910	1076	1094	855	974	894	1291	1210
9620	ENSMUSG00000034212|Ankmy1	3246	1	1	3	5	2	3	6	3	3	3	1	0	5	3	2	5	8	4	2	2	0	2	3	1
9621	ENSMUSG00000034216|Vps18	4786	679	709	807	725	796	601	659	688	598	766	723	594	579	548	850	691	611	689	477	544	701	637	848	809
9622	ENSMUSG00000034218|Atm	10338	1293	1063	962	972	1265	1282	1057	985	929	1071	937	1374	1110	654	844	795	973	1123	756	808	824	763	1067	1094
9623	ENSMUSG00000034219|Sept14	1381	0	1	3	1	0	2	2	1	3	1	0	2	0	0	2	1	0	1	2	1	1	2	1	2
9624	ENSMUSG00000034220|Gpc1	3661	117	253	204	167	139	130	175	174	153	161	131	189	142	131	151	145	96	181	150	134	132	140	232	295
9625	ENSMUSG00000034224|Slc38a8	3499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9626	ENSMUSG00000034226|Rhov	1703	1	2	1	1	1	2	2	0	0	0	1	0	0	1	3	1	0	0	0	0	0	0	1	0
9627	ENSMUSG00000034227|Foxj1	2623	11	16	25	31	40	26	27	32	9	49	24	20	16	10	21	23	8	29	17	14	19	14	15	4
9628	ENSMUSG00000034235|Usp54	9535	223	271	269	243	250	230	155	248	230	245	214	222	207	150	182	218	235	225	146	232	198	168	300	164
9629	ENSMUSG00000034239|Gm884	11841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9630	ENSMUSG00000034243|Golgb1	15055	3938	4081	4258	5042	3505	5648	4140	3796	3915	4478	4298	5280	5076	2278	2690	3264	3680	3859	3215	3300	2467	3533	5031	3795
9631	ENSMUSG00000034245|Hdac11	4204	2336	1616	1855	1887	2712	2196	1688	1662	1828	1999	2252	2688	2203	1036	1329	1573	1356	2181	1032	802	1234	1363	2043	3023
9632	ENSMUSG00000034247|Plekhm1	5132	688	653	668	708	745	598	634	677	663	739	670	728	568	514	622	581	665	675	449	621	659	691	702	731
9633	ENSMUSG00000034248|Slc25a37	4162	1521	1047	934	994	1240	1329	1175	1033	907	1097	1036	1479	1156	1023	957	777	335	766	964	990	809	674	639	612
9634	ENSMUSG00000034252|Senp6	9817	1769	1866	2427	2382	2072	2269	1817	2048	1977	2351	1935	2000	2020	1356	1822	1800	1501	1815	1434	1788	1630	1565	2185	1661
9635	ENSMUSG00000034254|Agpat1	3001	427	370	397	359	284	533	328	446	249	396	312	371	489	355	323	261	197	362	428	317	225	212	283	238
9636	ENSMUSG00000034255|Arhgap27	9535	126	110	101	98	144	128	114	132	108	110	127	113	117	111	95	110	102	112	83	112	80	117	124	99
9637	ENSMUSG00000034258|Mfsd7c	3435	252	213	206	216	478	195	289	196	197	259	187	220	278	230	236	217	634	356	104	211	320	243	636	413
9638	ENSMUSG00000034259|Exosc4	2148	501	644	635	597	471	628	533	542	487	582	548	547	638	489	554	664	415	634	573	495	413	396	569	574
9639	ENSMUSG00000034263|2010321M09Rik	3333	367	507	479	446	432	410	399	425	446	495	466	355	421	448	504	489	327	393	399	298	393	311	463	451
9640	ENSMUSG00000034265|Zdhhc14	3115	208	238	174	123	180	143	164	240	172	153	167	151	167	191	177	158	145	149	155	192	175	137	161	173
9641	ENSMUSG00000034266|Batf	955	20	9	24	16	21	21	15	11	12	19	15	18	13	16	19	14	19	12	14	11	18	17	15	14
9642	ENSMUSG00000034269|Setd5	12481	2293	1607	2034	2098	2162	1937	2076	1690	1624	2177	1754	2160	2252	1320	1642	1583	1520	1831	1337	1763	1378	1548	1883	1618
9643	ENSMUSG00000034271|Jdp2	1881	141	49	73	57	58	67	86	83	53	80	43	49	91	65	54	45	79	43	63	72	43	171	69	47
9644	ENSMUSG00000034274|Thoc5	3355	566	614	690	632	493	638	565	620	632	660	565	536	470	673	648	644	377	534	583	502	555	412	606	597
9645	ENSMUSG00000034275|Igsf9b	4751	1	2	4	1	1	0	0	3	2	3	2	1	0	0	0	2	2	1	1	2	1	2	1	5
9646	ENSMUSG00000034278|Dnajc17	5191	66	113	105	101	82	132	67	109	82	91	131	81	66	72	99	109	99	98	65	72	78	85	103	102
9647	ENSMUSG00000034282|Evpl	6384	32	44	64	60	51	70	29	49	48	56	66	34	29	37	29	33	21	26	26	33	27	29	35	36
9648	ENSMUSG00000034285|Nipsnap1	2649	6835	5974	8023	8614	8704	8737	6250	6747	6873	9478	8746	7108	7573	7066	8314	8544	6661	8350	6424	5926	8223	6770	8822	8962
9649	ENSMUSG00000034290|Nek9	5386	2557	2542	2568	2399	2474	2636	2584	2376	2266	2544	2127	2336	2365	2134	2383	2177	2058	2509	2270	2152	2089	2140	2526	2519
9650	ENSMUSG00000034292|Traf3ip1	3496	274	306	362	315	169	352	248	323	234	317	265	202	268	248	199	237	191	258	248	211	189	215	331	263
9651	ENSMUSG00000034295|Fhod3	8366	84	125	62	54	92	60	72	129	67	48	50	63	71	94	86	57	134	59	74	109	94	70	102	96
9652	ENSMUSG00000034297|Med13	12440	3313	2226	3202	3048	2706	2809	2893	2519	2694	3357	2368	2532	2977	2121	2612	2472	2400	2425	2064	2864	2229	2421	2889	2542
9653	ENSMUSG00000034300|Fam53c	4517	611	432	601	535	451	428	641	477	505	554	386	459	521	435	450	426	386	419	394	480	379	546	516	438
9654	ENSMUSG00000034303|Ccdc15	3525	72	82	80	79	70	88	62	108	63	87	96	66	77	56	48	67	69	71	62	50	50	67	55	55
9655	ENSMUSG00000034308|Sdr42e1	2957	2741	3825	6651	5433	4137	5336	4174	4762	5039	6087	5699	4756	3542	3859	5785	4439	3017	3882	4424	3005	5397	4642	7777	6027
9656	ENSMUSG00000034310|Tmem132d	9282	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
9657	ENSMUSG00000034311|Kif4	5514	33	28	48	41	25	29	34	33	29	52	62	35	24	15	17	25	22	20	14	5	21	36	25	21
9658	ENSMUSG00000034312|Iqsec1	7561	1129	1028	1417	1332	1127	994	931	1219	1099	1392	1078	1076	963	1173	1166	1163	829	1132	742	776	986	1266	1155	1060
9659	ENSMUSG00000034317|Trim59	3352	18	15	16	22	21	10	3	13	14	23	20	20	9	11	16	14	26	9	5	4	13	9	17	13
9660	ENSMUSG00000034320|Slc26a2	8445	378	444	403	398	435	448	322	423	372	460	449	481	351	271	420	319	284	342	340	371	281	251	419	410
9661	ENSMUSG00000034321|Exosc1	1622	251	284	333	327	194	273	253	277	241	338	202	221	272	225	243	272	209	181	249	209	212	205	273	200
9662	ENSMUSG00000034324|Tmem132c	6732	1	2	3	0	1	0	0	1	2	1	1	1	0	0	1	1	0	7	1	0	6	5	0	3
9663	ENSMUSG00000034327|Kctd9	4746	290	260	294	360	302	361	258	240	237	393	323	312	290	237	259	263	243	228	237	287	254	255	384	267
9664	ENSMUSG00000034329|Brip1	7768	182	145	127	91	238	160	133	125	92	134	172	219	88	110	109	106	199	236	74	88	116	112	229	282
9665	ENSMUSG00000034330|Plcg2	4296	220	160	211	226	167	158	132	174	157	217	169	201	130	163	228	152	196	198	156	121	144	188	220	158
9666	ENSMUSG00000034333|Zbed4	5764	197	157	276	247	132	191	205	231	147	264	127	141	173	232	130	153	168	135	194	119	109	104	164	112
9667	ENSMUSG00000034334|Fam151b	1381	139	106	110	113	132	125	124	106	135	147	104	119	143	101	114	107	82	124	106	84	118	130	165	194
9668	ENSMUSG00000034336|Ina	3240	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
9669	ENSMUSG00000034339|Gm5689	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9670	ENSMUSG00000034341|Wbp2	3177	2524	2242	2487	2502	2338	2690	2231	2326	2195	2493	2645	2376	2565	2057	2312	2599	2290	2765	2186	2254	2366	2082	2265	2527
9671	ENSMUSG00000034342|Cbl	5083	316	288	326	361	412	311	261	296	294	356	262	299	271	240	263	275	378	270	309	277	257	255	339	341
9672	ENSMUSG00000034343|Ube2f	4624	1144	1123	1305	1128	871	858	1096	1242	1036	1199	735	770	825	1254	1100	996	782	726	875	962	810	825	1100	815
9673	ENSMUSG00000034345|Gtf2h5	3855	642	643	895	721	675	796	706	708	653	781	777	624	769	637	721	706	515	719	671	640	661	554	743	813
9674	ENSMUSG00000034349|Smc4	5225	791	616	598	609	635	762	645	548	561	755	681	777	557	400	474	454	474	516	310	474	474	462	716	512
9675	ENSMUSG00000034353|Ramp1	3022	175	142	145	129	169	154	169	123	130	168	129	150	116	117	143	144	144	143	117	103	135	112	112	120
9676	ENSMUSG00000034354|Mtmr3	10446	2344	1993	2110	2228	2656	1962	2150	1902	2119	2434	2158	2071	1880	1837	2305	2312	1644	2227	1424	2239	2129	1976	2190	2160
9677	ENSMUSG00000034359|Skint2	3023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9678	ENSMUSG00000034361|Cpne2	3198	414	380	409	360	464	271	390	327	400	422	333	363	253	257	237	292	199	300	246	180	286	322	403	385
9679	ENSMUSG00000034362|Csta	2783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9680	ENSMUSG00000034371|Dak	2253	8176	9648	9142	8844	8400	11780	9042	10179	8369	8646	6417	7124	6294	11778	8108	9079	2784	9611	9135	11660	9702	3709	4483	5292
9681	ENSMUSG00000034377|Tulp4	18746	1854	1663	1641	1578	1742	1695	1793	1627	1535	1622	1352	1703	1507	1212	1502	1406	1382	1770	1515	1566	1336	1267	1588	1585
9682	ENSMUSG00000034379|Wdr5b	1784	67	111	156	121	84	111	68	101	104	176	145	86	75	82	88	98	108	87	93	77	83	75	141	115
9683	ENSMUSG00000034382|AI661453	5242	511	509	499	570	559	310	418	490	422	479	490	548	318	438	553	514	346	529	329	603	544	380	486	563
9684	ENSMUSG00000034384|Barhl2	2597	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
9685	ENSMUSG00000034387|D630042P16Rik	2543	1	0	2	3	1	0	0	0	2	0	0	1	0	0	0	0	8	0	0	0	0	0	2	0
9686	ENSMUSG00000034390|Cmip	4732	1337	1252	1346	1161	1174	1099	1365	1190	1088	1281	917	1420	1025	923	1194	922	853	1093	1006	1212	844	974	888	1176
